time,time_label,geo,geo_label,na_item,na_item_label,unit,unit_label,freq,freq_label,OBS_VALUE
1995,1995,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1163428.9
1996,1996,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1179317.6
1997,1997,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1198776.9
1998,1998,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1218452.2
1999,1999,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1237827.6
2000,2000,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1285922.1
2001,2001,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1310582.2
2002,2002,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1315526.7
2003,2003,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1316061.0
2004,2004,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1337861.8
2005,2005,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1348360.1
2006,2006,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1374453.2
2007,2007,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1396350.2
2008,2008,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1384827.3
2009,2009,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1308258.5
2010,2010,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1331905.3
2011,2011,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1342324.8
2012,2012,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1304420.3
2013,2013,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1284774.0
2014,2014,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1283880.5
2015,2015,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1295847.9
2016,2016,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1313563.0
2017,2017,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1337766.9
2018,2018,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1351030.7
2019,2019,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1360524.1
2020,2020,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1247623.0
2021,2021,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1359474.6
2022,2022,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1426628.9
2023,2023,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1439874.2
2024,2024,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1447422.3
2025,2025,IT,Italy,B1G,"Value added, gross",CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1453299.9
1995,1995,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1289613.1
1996,1996,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1306965.9
1997,1997,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1332134.5
1998,1998,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1356171.1
1999,1999,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1378927.6
2000,2000,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1432458.9
2001,2001,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1461200.2
2002,2002,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1465144.5
2003,2003,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1466119.6
2004,2004,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1487730.5
2005,2005,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1499073.1
2006,2006,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1526048.6
2007,2007,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1548363.9
2008,2008,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1532522.0
2009,2009,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1451219.3
2010,2010,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1473410.0
2011,2011,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1483657.0
2012,2012,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1437289.2
2013,2013,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1411158.9
2014,2014,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1411139.4
2015,2015,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1423637.4
2016,2016,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1441236.7
2017,2017,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1464349.8
2018,2018,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1476454.8
2019,2019,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1482791.2
2020,2020,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1351294.0
2021,2021,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1471978.9
2022,2022,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1542945.6
2023,2023,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1557183.8
2024,2024,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1569377.2
2025,2025,IT,Italy,B1GQ,Gross domestic product at market prices,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1577845.3
