DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-01,29553.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-02,28257.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-03,28293.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-04,26854.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-05,27233.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-06,27981.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-07,31514.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-08,26398.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-09,28667.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-10,28288.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-11,26781.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2008-12,26630.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-01,27374.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-02,25445.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-03,26586.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-04,24124.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-05,25781.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-06,26317.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-07,29560.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-08,25344.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-09,26846.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-10,27015.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-11,26580.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2009-12,26633.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-01,27947.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-02,26254.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-03,28184.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-04,25006.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-05,26104.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-06,26811.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-07,31572.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-08,24737.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-09,26732.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-10,27461.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-11,27281.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2010-12,28076.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-01,28603.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-02,27169.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-03,28893.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-04,26134.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-05,27068.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-06,27537.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-07,30247.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-08,25973.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-09,28839.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-10,27436.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-11,27093.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2011-12,27282.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-01,28093.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-02,27985.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-03,27641.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-04,24728.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-05,26141.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-06,27456.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-07,30569.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-08,26663.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-09,26404.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-10,26780.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-11,26106.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2012-12,26627.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-01,28003.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-02,25926.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-03,27237.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-04,24659.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-05,25665.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-06,26133.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-07,29878.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-08,25471.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-09,26072.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-10,26362.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-11,25668.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2013-12,26072.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-01,26945.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-02,25020.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-03,26228.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-04,24003.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-05,25189.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-06,26295.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-07,28272.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-08,23669.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-09,26176.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-10,26376.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-11,25185.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2014-12,25648.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-01,26705.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-02,25367.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-03,26733.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-04,24075.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-05,24931.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-06,26339.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-07,32068.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-08,25131.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-09,26485.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-10,25907.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-11,25675.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2015-12,25818.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-01,26559.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-02,25702.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-03,26228.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-04,23766.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-05,24826.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-06,25314.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-07,29144.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-08,24361.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-09,26486.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-10,25768.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-11,25909.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2016-12,26188.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-01,28280.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-02,25256.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-03,26585.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-04,23730.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-05,25636.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-06,27941.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-07,30019.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-08,26912.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-09,26138.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-10,26377.000,,
ESTAT:NRG_CB_EM(1.0),21/07/26 23:00:00,M,AIM,E7000,GWH,IT,2017-11,26625.000,,
