DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-01,0.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-02,0.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-03,0.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-04,0.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-05,30.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-06,12.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-07,11.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-08,7.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-09,12.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-10,11.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-11,10.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2014-12,15.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2015-01,13.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2015-02,15.000,,
ESTAT:NRG_CB_GASM(1.0),21/07/26 11:00:00,M,DL,G3000,MIO_M3,IT,2015-03,20.000,,
