DATAFLOW,LAST UPDATE,freq,siec,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2007-S1,12.69,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2007-S2,11.926,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2008-S1,12.609,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2008-S2,14.237,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2009-S1,15.735,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2009-S2,12.031,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2010-S1,11.81,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2010-S2,12.12,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2011-S1,12.7,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2011-S2,15.15,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2012-S1,17.78,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2012-S2,17.17,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2013-S1,18.7,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2013-S2,16.75,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2014-S1,16.97,,
ESTAT:NRG_PC_203(1.0),24/04/26 23:00:00,S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,IT,2014-S2,15.7,,
