DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2004,6.316,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2005,7.549,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2006,8.328,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2007,9.807,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2008,11.492,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2009,12.775,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2010,13.023,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2011,12.881,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2012,15.441,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2013,16.741,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2014,17.082,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2015,17.525,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2016,17.415,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2017,18.267,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2018,17.796,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2019,18.181,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2020,20.359,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2021,18.888,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2022,18.826,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2023,19.179,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2024,19.385,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN,PC,IT,2025,20.5,p,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2004,16.086,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2005,16.293,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2006,15.926,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2007,15.954,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2008,16.645,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2009,18.807,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2010,20.091,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2011,23.546,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2012,27.42,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2013,31.302,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2014,33.42,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2015,33.459,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2016,34.012,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2017,34.104,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2018,33.93,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2019,34.969,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2020,38.081,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2021,35.996,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2022,37.102,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2023,38.905,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2024,40.654,,
