source,sector,gas,year,value
,Agriculture,All GHG,1990,44.88
,Agriculture,All GHG,1991,42.54
,Agriculture,All GHG,1992,41.92
,Agriculture,All GHG,1993,40.55
,Agriculture,All GHG,1994,40.05
,Agriculture,All GHG,1995,39.05
,Agriculture,All GHG,1996,39.45
,Agriculture,All GHG,1997,38.88
,Agriculture,All GHG,1998,38.74
,Agriculture,All GHG,1999,38.91
,Agriculture,All GHG,2000,38.83
,Agriculture,All GHG,2001,34.66
,Agriculture,All GHG,2002,36.98
,Agriculture,All GHG,2003,35.91
,Agriculture,All GHG,2004,36.45
,Agriculture,All GHG,2005,35.16
,Agriculture,All GHG,2006,35.05
,Agriculture,All GHG,2007,35.1
,Agriculture,All GHG,2008,34.87
,Agriculture,All GHG,2009,33.81
,Agriculture,All GHG,2010,33.9
,Agriculture,All GHG,2011,33.1
,Agriculture,All GHG,2012,33.69
,Agriculture,All GHG,2013,33.03
,Agriculture,All GHG,2014,32.65
,Agriculture,All GHG,2015,32.95
,Agriculture,All GHG,2016,33.45
,Agriculture,All GHG,2017,33.32
,Agriculture,All GHG,2018,32.77
,Agriculture,All GHG,2019,32.76
,Agriculture,All GHG,2020,33.83
,Agriculture,All GHG,2021,32.34
,Agriculture,All GHG,2022,31.69
,Agriculture,All GHG,2023,31.48
,Agriculture,CH4,1990,31.06
,Agriculture,CH4,1991,29.05
,Agriculture,CH4,1992,28.56
,Agriculture,CH4,1993,27.5
,Agriculture,CH4,1994,27.3
,Agriculture,CH4,1995,26.52
,Agriculture,CH4,1996,26.68
,Agriculture,CH4,1997,26.45
,Agriculture,CH4,1998,26.26
,Agriculture,CH4,1999,26.34
,Agriculture,CH4,2000,26.47
,Agriculture,CH4,2001,23.56
,Agriculture,CH4,2002,25.0
,Agriculture,CH4,2003,24.26
,Agriculture,CH4,2004,24.43
,Agriculture,CH4,2005,23.73
,Agriculture,CH4,2006,23.72
,Agriculture,CH4,2007,23.68
,Agriculture,CH4,2008,24.02
,Agriculture,CH4,2009,24.05
,Agriculture,CH4,2010,24.16
,Agriculture,CH4,2011,23.38
,Agriculture,CH4,2012,23.56
,Agriculture,CH4,2013,22.95
,Agriculture,CH4,2014,22.72
,Agriculture,CH4,2015,22.89
,Agriculture,CH4,2016,23.27
,Agriculture,CH4,2017,23.24
,Agriculture,CH4,2018,23.34
,Agriculture,CH4,2019,23.34
,Agriculture,CH4,2020,23.82
,Agriculture,CH4,2021,23.12
,Agriculture,CH4,2022,22.67
,Agriculture,CH4,2023,22.43
,Agriculture,N2O,1990,13.83
,Agriculture,N2O,1991,13.48
,Agriculture,N2O,1992,13.36
,Agriculture,N2O,1993,13.05
,Agriculture,N2O,1994,12.75
,Agriculture,N2O,1995,12.54
,Agriculture,N2O,1996,12.77
,Agriculture,N2O,1997,12.43
,Agriculture,N2O,1998,12.47
,Agriculture,N2O,1999,12.57
,Agriculture,N2O,2000,12.35
,Agriculture,N2O,2001,11.1
,Agriculture,N2O,2002,11.98
,Agriculture,N2O,2003,11.65
,Agriculture,N2O,2004,12.02
,Agriculture,N2O,2005,11.42
,Agriculture,N2O,2006,11.33
,Agriculture,N2O,2007,11.42
,Agriculture,N2O,2008,10.85
