Settore,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Agricoltura e pesca,363.543,363.801,372.399,395.959,400.258,345.228,353.138,374.377,385.813,402.58,421.926,443.938,420.464,443.852,445.83,461.221,473.259,486.586,487.532,485.813,482.373,507.911,509.372,488.134,461.994,489.252,478.762,515.083,502.437,520.413,542.609,577.279,568.9879999999999,544.5749999999999,574.825
Industria,9537.145,9541.702,9570.507,9445.057,9838.863,10281.513,10238.089999999998,10622.958,10924.162000000002,11508.770000000002,12196.647,12313.414,12304.986,12413.414,12398.709000000004,12447.379,12670.851,12568.359,12179.362999999998,10370.336,10994.667,11012.554999999998,10345.918,9886.587,9709.201,9687.446,9738.349,9940.621,9980.236,10278.145,10086.375,10107.554,9599.118,9177.372,9168.774
Siderurgia,1668.874,1631.814,1616.681,1598.366,1604.299,1688.822,1542.82,1588.048,1618.487,1578.246,1749.441,1792.433,1716.767,1709.974,1723.56,1753.654,1864.832,1863.801,1859.415,1352.623,1605.761,1774.721,1700.086,1573.517,1578.246,1499.484,1570.249,1610.032,1625.836,1628.076,1426.7,1721.299,1572.357,1566.635,1523.99
Estrattive,108.77,108.942,110.146,101.806,100.172,89.424,88.736,95.185,94.669,84.953,89.94,88.65,89.596,91.144,94.497,91.574,93.465,91.574,88.306,78.848,75.666,74.205,63.801,58.555,55.288,53.912,52.365,52.064,52.886,53.926,47.872,50.209,46.27,46.045,47.524
Metalli non ferrosi,529.665,504.127,425.967,410.662,443.68,464.23,461.393,463.801,467.842,450.043,475.15,491.316,483.147,469.819,476.182,484.523,494.669,477.472,481.341,437.833,393.207,397.936,328.891,207.739,216.853,213.5,212.984,219.796,217.385,175.055,210.944,301.917,260.748,231.215,232.484
Meccanica,1539.982,1553.826,1575.065,1552.7089999999998,1681.341,1761.049,1793.723,1905.589,1993.551,2038.951,2163.542,2181.341,2241.1,2298.882,2345.227,2389.166,2450.73,2431.7290000000003,2354.772,1954.858,2160.275,2169.82,2025.366,1987.275,1966.552,2017.369,2041.1,2104.813,2124.182,2175.673,2095.808,2063.804,1976.871,1884.173,1820.811
Agroalimentare,644.712,668.444,716.595,717.025,737.145,822.958,854.256,876.01,920.894,960.619,1001.204,1035.598,1062.769,1077.816,1092.175,1118.143,1104.299,1105.331,1102.837,1079.794,1099.57,1084.867,1036.973,1027.773,1029.407,1044.54,1046.432,1067.297,1077.622,1157.043,1231.78,1254.146,1231.531,1197.885,1237.397
Tessile e abbigliamento,840.327,837.489,854.6,835.598,892.175,902.837,911.178,955.116,960.533,937.403,985.383,995.787,950.817,906.019,841.617,784.093,768.358,723.13,650.731,532.846,544.626,521.41,474.893,459.415,450.301,449.871,443.078,444.049,440.22,453.887,385.58,426.081,420.109,384.732,366.737
Minerali non metalliferi,972.227,990.112,1014.617,963.027,965.176,1013.07,1017.455,1040.069,1082.631,1119.948,1177.816,1197.85,1230.61,1250.473,1255.89,1262.081,1284.867,1271.711,1201.462,1007.223,1020.636,986.586,859.157,813.5,788.908,772.829,758.899,765.705,767.5,765.466,740.998,839.744,786.309,764.175,773.136
Chimica e petrolchimica,1704.557,1660.447,1627.601,1611.866,1647.979,1706.191,1709.114,1744.11,1753.568,1793.981,1887.016,1824.936,1739.983,1729.149,1670.765,1634.996,1619.776,1564.23,1506.879,1254.6,1336.285,1297.077,1278.074,1276.268,1221.238,1200.43,1196.131,1228.169,1243.646,1174.688,1189.435,1226.918,1205.573,1148.297,1152.311
