year,month,demand_GWh
2015,4,24300.303
2015,7,31891.048
2015,1,26892.092
2015,9,26645.569
2015,8,25043.203
2015,2,25478.724
2015,12,26081.865
2015,5,25266.996
2015,10,26223.133
2015,6,26313.45
2015,11,25923.084
2015,3,26837.355
2016,1,26740.805
2016,2,25777.285
2016,6,25843.903
2016,3,26506.342
2016,4,24420.872
2016,9,26638.45
2016,10,26083.328
2016,12,26488.05
2016,5,25457.333
2016,7,29565.65
2016,8,24507.952
2016,11,26230.896
2017,4,23942.616
2017,9,26076.214
2017,10,26307.93
2017,1,27940.512
2017,3,26736.416
2017,8,26799.192
2017,11,26636.564
2017,5,25938.782
2017,12,26925.33
2017,6,28007.244
2017,2,25211.117
2017,7,30026.325
2018,4,24459.3
2018,5,26225.0
2018,12,26385.2
2018,2,26076.3
2018,6,26969.4
2018,3,27786.5
2018,9,26845.0
2018,1,27468.2
2018,8,26331.9
2018,11,26130.3
2018,7,30168.4
2018,10,26585.6
2019,3,26500.0
2019,4,24210.0
2019,12,25667.4
2019,5,25655.9
2019,6,27818.0
2019,7,30964.3
2019,1,28390.0
2019,8,26129.5
2019,9,26517.9
2019,10,26395.4
2019,2,25460.0
2019,11,25916.1
2020,2,25641.2
2020,1,27394.5
2020,5,22626.0
2020,6,23988.5
2020,11,25476.1
2020,8,25778.9
2020,12,25895.5
2020,10,25995.0
2020,9,26345.7
2020,3,23693.4
2020,4,19650.3
2020,7,28695.2
2021,9,26970.2
2021,2,24947.9
2021,4,24462.3
2021,10,26361.0
2021,12,27459.7
2021,7,30415.6
2021,5,24972.8
2021,8,26646.2
2021,3,26617.3
2021,1,27057.6
2021,11,26625.4
2021,6,27382.8
2022,9,25714.6
2022,7,31016.7
2022,5,26160.4
2022,6,28027.6
2022,12,24675.3
2022,2,25453.3
2022,11,24589.4
2022,1,27389.4
2022,3,27471.7
2022,10,24419.3
2022,4,24519.8
2022,8,25570.8
2023,10,25430.8
2023,6,25367.6
2023,7,29716.7
2023,8,25009.4
2023,3,25944.2
2023,4,23035.9
2023,1,25981.7
2023,11,25086.0
2023,12,24965.0
2023,5,24439.0
2023,2,24773.9
2023,9,25865.9
