year,month,region,sector,tension_type,monthly_imcei,consumption_Gwh
2015,1,Abruzzo,ALIMENTARE,MT,9.132781,5.722934
2015,1,Abruzzo,MECCANICA,MT,6.401812,2.862515
2015,1,Emilia-Romagna,SIDERURGIA,MT,25.568674,1.798201
2015,1,Friuli-Venezia Giulia,MECCANICA,MT,6.516742,2.913905
2015,1,Lombardia,METALLI NON FERROSI,MT,32.336316,23.092935
2015,1,Lombardia,CHIMICA,MT,29.211193,15.880666
2015,1,Marche,METALLI NON FERROSI,MT,2.387835,1.705269
2015,1,Puglia,CHIMICA,MT,13.69448,7.445004
2015,1,Veneto,METALLI NON FERROSI,MT,20.813834,14.864171
2015,1,Lombardia,ALTRI,AT,12.255985,36.21
2015,1,Piemonte,CERAMICHE E VETRARIE,AT,6.448205,4.68
2015,1,Lombardia,MECCANICA,AT,22.997607,44.05
2015,1,Friuli-Venezia Giulia,CHIMICA,AT,2.860389,7.93
2015,1,Emilia-Romagna,ALIMENTARE,AT,45.862938,6.67
2015,1,Friuli-Venezia Giulia,METALLI NON FERROSI,AT,4.899565,10.71
2015,1,Friuli-Venezia Giulia,ALTRI,AT,11.08488,32.75
2015,1,Liguria,METALLI NON FERROSI,AT,0.123518,0.27
2015,1,Friuli-Venezia Giulia,MECCANICA,AT,1.785512,3.42
2015,1,Veneto,CARTARIA,AT,24.223172,6.99
2015,1,Friuli-Venezia Giulia,CEMENTO CALCE E GESSO,AT,2.235646,3.26
2015,1,Abruzzo,ALTRI,AT,1.272646,3.76
2015,1,Puglia,CHIMICA,AT,1.680884,4.66
2015,1,Toscana,CHIMICA,AT,3.762151,10.43
2015,1,Toscana,CEMENTO CALCE E GESSO,AT,3.703217,5.4
2015,1,Abruzzo,MECCANICA,AT,0.010442,0.02
2015,1,Trentino-Alto Adige,METALLI NON FERROSI,AT,2.621336,5.73
2015,1,Sardegna,MECCANICA,AT,1.853383,3.55
2015,1,Basilicata,MEZZI DI TRASPORTO,AT,2.899718,2.76
2015,1,Sicilia,METALLI NON FERROSI,AT,1.271783,2.78
2015,1,Basilicata,SIDERURGIA,AT,2.106581,26.19
2015,1,Sardegna,CEMENTO CALCE E GESSO,AT,2.633399,3.84
2015,1,Basilicata,ALIMENTARE,MT,2.640772,1.654804
2015,1,Emilia-Romagna,ALTRI,MT,21.604264,42.853999
2015,1,Emilia-Romagna,ALIMENTARE,MT,2.904213,1.819886
2015,1,Marche,ALTRI,MT,0.718686,1.425578
2015,1,Piemonte,CARTARIA,MT,9.134813,4.831746
2015,1,Trentino-Alto Adige,CARTARIA,MT,1.320962,0.698707
2015,1,Umbria,CARTARIA,MT,1.121471,0.593188
2015,1,Puglia,ALIMENTARE,AT,0,0
2015,1,Lombardia,CERAMICHE E VETRARIE,AT,18.338806,13.31
2015,1,Lombardia,CARTARIA,AT,11.678411,3.37
2015,1,Piemonte,CEMENTO CALCE E GESSO,AT,5.959436,8.69
2015,1,Liguria,SIDERURGIA,AT,0.911324,11.33
2015,1,Liguria,CERAMICHE E VETRARIE,AT,9.520748,6.91
2015,1,Veneto,CERAMICHE E VETRARIE,AT,16.244517,11.79
2015,1,Emilia-Romagna,SIDERURGIA,AT,0.678868,8.44
2015,1,Puglia,CERAMICHE E VETRARIE,AT,0.688911,0.5
2015,1,Marche,SIDERURGIA,AT,0.49789,6.19
2015,1,Lazio,SIDERURGIA,AT,0.103761,1.29
2015,1,Sicilia,CEMENTO CALCE E GESSO,AT,5.595972,8.16
2015,1,Sardegna,ALTRI,AT,0.775095,2.29
2015,1,Basilicata,ALTRI,AT,1.049256,3.1
2015,1,Toscana,MECCANICA,AT,5.977812,11.45
2015,1,Abruzzo,METALLI NON FERROSI,MT,0.901384,0.643722
2015,1,Basilicata,CARTARIA,MT,2.882723,1.524781
2015,1,Calabria,ALTRI,MT,1.155467,2.291972
2015,1,Campania,ALIMENTARE,MT,5.548461,3.476868
2015,1,Campania,CHIMICA,MT,4.249173,2.310063
