year,region,province,activity,class,consumption_GWh
2015,Abruzzo,Chieti,Manifatturiera di base,Cartaria,29.153226
2015,Abruzzo,Chieti,Manifatturiera non di base,Altre manifatturiere,3.827055
2015,Abruzzo,Chieti,Manifatturiera non di base,Alimentare,82.583799
2015,Abruzzo,Chieti,Energia ed acqua,Elettricità e gas,42.567402
2015,Abruzzo,Chieti,Energia ed acqua,Acquedotti,23.532758
2015,Abruzzo,Chieti,Energia ed acqua,Estrazione combustibili,5.076652
2015,Abruzzo,Chieti,Manifatturiera non di base,"Tessile, abbigl. e calzature",10.664126
2015,Abruzzo,Chieti,Manifatturiera di base,Siderurgica,4.481008
2015,Abruzzo,Chieti,Manifatturiera di base,Chimica,40.621358
2015,Abruzzo,Chieti,Manifatturiera non di base,Mezzi di trasporto,204.24974
2015,Abruzzo,Chieti,Manifatturiera di base,Metalli non ferrosi,15.018302
2015,Abruzzo,Chieti,,,8.349592
2015,Abruzzo,Chieti,Manifatturiera di base,Materiali da costruzione,262.102583
2015,Abruzzo,Chieti,,,0.0
2015,Abruzzo,Chieti,Manifatturiera non di base,Legno e mobilio,6.063874
2015,Abruzzo,Chieti,Manifatturiera non di base,Lavorazione plastica e gomma,96.054968
2015,Abruzzo,Chieti,Manifatturiera non di base,Meccanica,157.341896
2015,Abruzzo,Chieti,Energia ed acqua,Raffinazione e cokerie,2.061407
2015,Abruzzo,L'Aquila,,,0.0
2015,Abruzzo,L'Aquila,Manifatturiera non di base,Meccanica,150.637584
2015,Abruzzo,L'Aquila,,,12.332952
2015,Abruzzo,L'Aquila,Manifatturiera di base,Cartaria,25.333086
2015,Abruzzo,L'Aquila,Manifatturiera non di base,Legno e mobilio,4.212714
2015,Abruzzo,L'Aquila,Energia ed acqua,Raffinazione e cokerie,0.009416
2015,Abruzzo,L'Aquila,Manifatturiera non di base,"Tessile, abbigl. e calzature",10.229326
2015,Abruzzo,L'Aquila,Manifatturiera non di base,Mezzi di trasporto,22.220507
2015,Abruzzo,L'Aquila,Manifatturiera di base,Siderurgica,0.496323
2015,Abruzzo,L'Aquila,Energia ed acqua,Acquedotti,59.772285
2015,Abruzzo,L'Aquila,Manifatturiera di base,Materiali da costruzione,80.494299
2015,Abruzzo,L'Aquila,Manifatturiera non di base,Altre manifatturiere,6.667208
2015,Abruzzo,L'Aquila,Manifatturiera non di base,Alimentare,41.59464
2015,Abruzzo,L'Aquila,Manifatturiera di base,Metalli non ferrosi,1.952216
2015,Abruzzo,L'Aquila,Energia ed acqua,Elettricità e gas,17.92481
2015,Abruzzo,L'Aquila,Manifatturiera di base,Chimica,53.085191
2015,Abruzzo,L'Aquila,Manifatturiera non di base,Lavorazione plastica e gomma,51.575057
2015,Abruzzo,L'Aquila,Energia ed acqua,Estrazione combustibili,0.412632
2015,Abruzzo,Pescara,,,0.0
