id,name,fuel,capacity_mw,co2_tonnes_yr,co2_source,owner,commissioning_year,latitude,longitude
WRI1002854,Brindisi Nord power station,Coal,640.0,3606400,Climate TRACE,Edipower SpA,1974,40.6432,17.9802
WRI1002970,TORREVALDALIGA South,Gas,1140.0,3339651,EU ETS verified (EUTL 2023),Tirreno,2004,42.1241,11.7624
CT-189,Enipower Mantova power station,Gas,780.0,2228600,Climate TRACE,Enipower Mantova SpA,2005,45.1503,10.8349
GOGPT_ferreraerbognonerefine_italy,Ferrera Erbognone Refinery power station,Gas,1006.0,2206441,EU ETS verified (EUTL 2023),Eni SpA [100%],2004,45.09963,8.86632
GOGPT_ravenna_italy,Ravenna power station,Gas,773.0,1802993,EU ETS verified (EUTL 2023),Enipower SpA [100%],2003,44.448517,12.2374747
CT-190,S.E.F. Ferrara power station,Gas,762.0,1783500,Climate TRACE,Società Enipower Ferrara SRL,2006,44.8641,11.5944
WRI1002910,MONCALIERI,Gas,780.0,1695240,Climate TRACE,Iren SpA,2005,44.993,7.6755
WRI1002885,Andrea Palladio power station (FUSINA),Coal,976.0,1664829,EU ETS verified (EUTL 2023),Enel SpA,1971,45.4314,12.2468
WRI1002876,E.ON C.TE LIVORNO FERRARIS,Gas,804.0,1493925,Climate TRACE,EP Produzione Centrale Livorno Ferraris SpA,,45.2372,8.1932
WRI1002964,TERMINI IMERESE C.LE,Gas,1080.0,1299505,EU ETS verified (EUTL 2023),Enel SpA [100%],2004,37.9684,13.7512
WRI1002971,TORVISCOSA,Gas,867.0,1268838,EU ETS verified (EUTL 2023),Edison,2006,45.817,13.2891
WRI1002962,TAVAZZANO,Gas,1950.0,1252900,EU ETS verified (EUTL 2023),E. On,2005,45.3325,9.4364
WRI1002959,Sulcis power station,Coal,590.0,1239365,EU ETS verified (EUTL 2023),Enel SpA,1997,39.1961,8.4002
GOGPT_livornoferraris_italy,Livorno Ferraris power station,Gas,805.0,1226922,EU ETS verified (EUTL 2023),EP Produzione Centrale Livorno Ferraris SpA [100%],2008,45.281729,8.084918
WRI1002865,CENTRALE DI SCANDALE,Gas,814.0,1089150,Climate TRACE,Ergosud,2010,39.1022,17.0325
WRI1002949,SARMATO,Gas,180.0,1042494,EU ETS verified (EUTL 2023),EON,1998,45.0522,9.5072
WRI1002958,SPARANISE,Gas,760.0,1024920,Climate TRACE,EGL Italia,2007,41.1783,14.1129
WRI1002917,OSTIGLIA,Gas,1168.0,998588,EU ETS verified (EUTL 2023),E On,2013,45.0603,11.1374
WRI1002894,ISAB ENERGY,Gas,576.0,997420,Climate TRACE,ISAB Energy SRL,1998,37.1399,15.2158
WRI1002973,TURBIGO,Oil,1285.0,954808,EU ETS verified (EUTL 2023),Edipower,2008,45.5201,8.7422
WRI1002935,RIZZICONI,Gas,768.0,876610,Climate TRACE,EGL Italia,2008,38.4453,15.99
CT-197,Priolo-Melili power station,Gas,480.0,817080,Climate TRACE,Brown2Green Sicily SRL,2010,37.1794,15.1958
WRI1002983,VOGHERA,Gas,400.0,748310,Climate TRACE,Engie Italia SpA,2005,45.0296,8.9723
GOGPT_roselectra_italy,Roselectra power station,Gas,400.0,725498,EU ETS verified (EUTL 2023),ENGIE SA,2007,43.38134,10.44855
WRI1002924,PORTO CORSINI,Gas,718.0,662848,Climate TRACE,ENEL,2002,44.4836,12.2652
WRI1002976,VADO Ligure,Gas,1353.0,656495,Climate TRACE,Tirreno Power,2007,44.2755,8.4305
GOGPT_torinonord_italy,Torino Nord power station,Gas,395.0,654812,EU ETS verified (EUTL 2023),Iren Energia SpA [100%],2011,45.10383,7.61308
CT-201,Rosignano power station,Gas,536.0,609070,Climate TRACE,Cogeneration Rosignano SpA,1997,43.3813,10.4485
