country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
ITA,Italy,ACCEGLIO,WRI1021706,19.0,44.4742,7.0183,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1015906,,,,,,,,,,36.22,49.22,46.09,55.36,36.73,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,ACERRA,WRI1021322,72.0,40.9319,14.385,Other,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,1053275|1067259,,,,611.231,640.545,628.252,,,JRC-PPDB-OPEN,,,,,266.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,ALFONSINE,WRI1021523,31.0,44.5715,11.989,Solar,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Industry About,1086116,,,,,,,,,,51.27,50.83,53.51,52.09,49.94,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ITA,Italy,ALTOMONTE,WRI1002845,808.0,39.7118,16.215,Gas,,,,2006.0,Edison,Edison,http://www.edison.it/en/altomonte-cs-thermoelectric-power-plant,GEODB,1041672,,,,2710.064,2897.406,3980.458,,,JRC-PPDB-OPEN,,,,,3076.17,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,ANAPO C.LE,WRI1002846,500.0,37.1183,15.1394,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,GEODB,1015920,,,,430.809,444.111,461.109,,,JRC-PPDB-OPEN,827.82,850.76,750.05,1251.9,354.38,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,API ENERGIA IGCC,WRI1002847,280.0,37.2814,13.521,Gas,,,,2001.0,Edipower,IGCC,http://www.ogj.com/articles/print/volume-94/issue-50/in-this-issue/general-interest/italian-igcc-project-sets-pace-for-new-refining-era.html,WRI,,,,,11.0,,,,,ENTSOE,,,,,1066.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,ARDENNO,WRI1021354,56.0,46.1507,9.6301,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1015926,,,,,,,,,,160.44,213.1,173.14,184.96,118.15,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,ASSEMINI,WRI1002848,177.0,39.2269,8.9972,Oil,,,,1992.0,Italy Ministry of Economy and Finance,ENEL,https://www.futur-e.enel.it/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3Dassemini-eng.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1445864757474&ssbinary=true,CARMA,1015929,,,,,,,,,,,,,,261.9,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,AUGUSTA C.LE,WRI1002849,210.0,37.2083,15.1778,Oil,,,,1959.0,ENEL,ENEL,https://www.futur-e.enel.it/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3Daugusta-eng.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1445864757502&ssbinary=true,CARMA,1015930,,,,,,,,,,,,,,310.73,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,AVISE,WRI1002850,126.5,45.7089,7.1399,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,CARMA,1015933,,,,288.124,287.704,257.515,,,JRC-PPDB-OPEN,296.34,329.88,310.04,375.29,240.1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,AZOTATI,WRI1002851,240.0,45.4511,12.2239,Gas,,,,1993.0,Edison,Edison IT,https://www.edison.it/en/marghera-azotati-thermoelectric-power-plant,CARMA,1023059,,,,112.302,283.673,242.353,,,JRC-PPDB-OPEN,,,,,913.71,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,Acquacandida Solar Power Plant,WRI1026386,1.0,40.424,17.4977,Solar,,,,,OPDE Photovoltaics,9ren,http://www.9ren.it/en/about-us/where-we-operate/our-plants/,Industry About,,,,,,,,,,,1.73,1.74,1.77,1.73,1.6,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ITA,Italy,Adrano,WKS0072936,8.8,37.649,14.803,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,17.01,16.89,16.88,16.76,17.83,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ITA,Italy,Adriatic Arena Solar Power Plant,WRI1026387,2.2,43.9028,12.865,Solar,,,,,Solarig Holding,9ren,http://www.9ren.it/en/about-us/where-we-operate/our-plants/,Industry About,,,,,,,,,,,3.77,3.68,3.65,3.67,3.51,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
