Società,Partita IVA,Sede Legale,Settori Attività
A.E.S. FANO DISTRIBUZIONE GAS SRL,02462970415,Via Luigi Einaudi 1 - 61032 Fano (Pesaro e Urbino), p) distribuzione del gas naturale; q) misura del gas naturale
A.G.Re. SpA,00916580152,Via OLONA 28 - 20016 Pero (Milano), p) distribuzione del gas naturale; q) misura del gas naturale
A.S.A. - AZIENDA SERVIZI AMBIENTALI SPA,01177760491,Via del Gazometro  9 - 57122 Livorno (Livorno), p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse
A.S.GA AZIENDA SERVIZI GAGGIANO S.R.L.,12901350152,Via VIA ROMA 36 - 20083 Gaggiano (Milano), p) distribuzione del gas naturale; q) misura del gas naturale
A.S.M. CODOGNO SRL,10565220158,Viale TRIESTE 66 - 26845 Codogno (Lodi)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade"
A.S.S.M. S.P.A. - TOLENTINO,01210690432,Via Roma 36 - 62029 Tolentino (Macerata), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione
A.S.SE.M. SPA,01210650436,Località COLOTTO 11 - 62027 San Severino Marche (Macerata)," a) produzione dell'energia elettrica - (   ) ; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse"
AcegasApsAmga S.p.A.,00930530324,Via del Teatro 5 - 34121 Trieste (Trieste)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
ACQUAMBIENTE MARCHE SRL,02119730428,Via Recanatese 27/i - 60022 Castelfidardo (Ancona)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse"
ACQUI RETE GAS S.r.l.,03387410040,Via VIVARO 4/B - 12051 Alba (Cuneo), p) distribuzione del gas naturale; q) misura del gas naturale
ADISTRIBUZIONEGAS S.r.l.,01655600664,Via Luigi Galvani 17/A - 47122 Forlì (Forlì-Cesena), p) distribuzione del gas naturale; q) misura del gas naturale
ADRIGAS,00353660400,Via Chiabrera 34/G - 47924 Rimini (Rimini)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
AEMME LINEA DISTRIBUZIONE SRL,13476050151,Via Viale Carlo Cattaneo  45 - 20081 Abbiategrasso (Milano)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
ALTO GARDA SERVIZI SPA,01581060223,Via ARDARO 27 - 38066 Riva del Garda (Trento)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica"
AMAG RETI GAS S.P.A.,02524710064,Via Damiano Chiesa 18 - 15121 Alessandria (Alessandria), a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale
AMALFITANA GAS S.R.L.,04445980727,Via SAN LEONARDO traversa Migliaro 120 - 84131 Salerno (Salerno), p) distribuzione del gas naturale; q) misura del gas naturale
AMC Reti Gas,02796070064,Via Orti 2 - 15033 Casale Monferrato (Alessandria)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro - ( La Società AMC Reti Gas S.r.l. è stata costituita in data 29/12/2025 con iscrizione in CCIAA il 30/12/2025, al momento inattiva. Essa svolgerà le attività di distribuzione e misura gas naturale che verranno flaggate con data decorrenza al momento di piena operatività. ) "
AMEA S.P.A.,02066710605,Viale San Francesco d'Assisi 15/C - 03018 Paliano (Frosinone)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse"
AMG ENERGIA SPA,04797170828,Via TIRO A SEGNO 5 - 90123 Palermo (Palermo)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro - ( L'ttività altro comprende: ""gestione del servizio energia negli edifici di proprietà e/o pertinenza del Comune di Palermo"". ) "
