name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Italy,IT,IT,2021-01-01 00:00:00,2020-12-31,2021-01-01,146.9087,676.0000,21.73,4.84,595.5,590.6,196.8798,1694.1,2898.27,-,-,-,C,-0.3,74.62,[]
Italy,IT,IT,2020-12-31 00:00:00,2020-12-30,2020-12-31,147.4996,676.0000,21.82,4.9,799.3,794.4,196.8798,1694.1,2898.27,-,-,-,C,-0.38,74.92,[]
Italy,IT,IT,2020-12-30 00:00:00,2020-12-29,2020-12-30,148.2442,676.0000,21.93,6.73,957.1,950.3,196.8798,1694.1,2898.27,-,-,-,C,-0.56,75.3,[]
Italy,IT,IT,2020-12-29 00:00:00,2020-12-28,2020-12-29,149.346,676.0000,22.09,2.87,1012.8,1010,196.8798,1694.1,2898.27,-,-,-,C,-0.52,75.86,[]
Italy,IT,IT,2020-12-28 00:00:00,2020-12-27,2020-12-28,150.3653,676.0000,22.24,6.42,871.2,864.8,196.8798,1694.1,2898.27,-,-,-,C,-0.44,76.37,[]
Italy,IT,IT,2020-12-27 00:00:00,2020-12-26,2020-12-27,151.2333,676.0000,22.37,6.42,637.6,631.2,196.8798,1694.1,2898.27,-,-,-,C,-0.32,76.82,[]
Italy,IT,IT,2020-12-26 00:00:00,2020-12-25,2020-12-26,151.8677,676.0000,22.47,7.18,348.5,341.3,196.8798,1694.1,2898.27,-,-,-,C,-0.17,77.14,[]
Italy,IT,IT,2020-12-25 00:00:00,2020-12-24,2020-12-25,152.2115,676.0000,22.52,7.13,426.1,418.9,196.8798,1694.1,2898.27,-,-,-,C,-0.21,77.31,[]
Italy,IT,IT,2020-12-24 00:00:00,2020-12-23,2020-12-24,152.6329,676.0000,22.58,5.29,889.6,884.3,196.8798,1694.1,2898.27,-,-,-,C,-0.45,77.53,[]
Italy,IT,IT,2020-12-23 00:00:00,2020-12-22,2020-12-23,153.5201,676.0000,22.71,2.09,1002.2,1000.1,196.8798,1694.1,2898.27,-,-,-,C,-0.51,77.98,[]
