entity_kind,company_eic,facility_eic,entity_name,name,code,url,longitude,latitude,type,updatedAt,gasDayStart,gasDayEnd,gasInStorage,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,status,trend,full,info
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-01,2016-01-02,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-02,2016-01-03,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-03,2016-01-04,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-04,2016-01-05,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-05,2016-01-06,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-06,2016-01-07,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-07,2016-01-08,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-08,2016-01-09,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-09,2016-01-10,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-10,2016-01-11,-,-,-,-,-,-,-,-,-,N,-,-,[]
