name,code,url,updatedAt,gasDayStart,gasDayEnd,sendOut,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,inventory.lng,inventory.gwh,dtmi.lng,dtmi.gwh
Italy,IT,IT,2023-10-26 15:30:30,2021-12-31,2022-01-01,165.8,514.5,-,-,-,[],C,206.55,1317.77,427.16,2725.24
Italy,IT,IT,2023-10-26 15:30:29,2021-12-30,2021-12-31,207.4,514.5,-,-,-,[],C,231.41,1475.39,427.16,2723.42
Italy,IT,IT,2023-10-26 15:30:28,2021-12-29,2021-12-30,197.4,514.5,-,-,-,[],C,223.43,1424.8,427.16,2723.97
Italy,IT,IT,2023-10-26 15:30:27,2021-12-28,2021-12-29,175.5,514.5,-,-,-,[],C,152.79,977.02,427.16,2731.49
Italy,IT,IT,2023-10-26 15:30:26,2021-12-27,2021-12-28,175.5,514.5,-,-,-,[],C,179.52,1146.47,427.16,2727.98
Italy,IT,IT,2023-10-26 15:30:25,2021-12-26,2021-12-27,143.1,514.5,-,-,-,[],C,107.23,688.2,427.16,2741.5
Italy,IT,IT,2023-10-26 15:30:24,2021-12-25,2021-12-26,143.2,514.5,-,-,-,[],C,80.02,515.71,427.16,2752.95
Italy,IT,IT,2023-10-26 15:30:23,2021-12-24,2021-12-25,240.9,514.5,-,-,-,[],C,101.41,651.28,427.16,2743.33
Italy,IT,IT,2023-10-26 15:30:22,2021-12-23,2021-12-24,241,514.5,-,-,-,[],C,137.79,881.95,427.16,2734.12
Italy,IT,IT,2023-10-26 15:30:21,2021-12-22,2021-12-23,241,514.5,-,-,-,[],C,94.18,605.51,427.16,2746.33
Italy,IT,IT,2023-10-26 15:30:19,2021-12-21,2021-12-22,241.3,514.5,-,-,-,[],C,69.19,447.09,427.16,2760.21
Italy,IT,IT,2023-10-26 15:30:19,2021-12-20,2021-12-21,241.2,514.5,-,-,-,[],C,105.55,677.64,427.16,2742.4
Italy,IT,IT,2023-10-26 15:30:18,2021-12-19,2021-12-20,176.1,514.5,-,-,-,[],C,142.49,911.82,427.16,2733.48
Italy,IT,IT,2023-10-26 15:30:17,2021-12-18,2021-12-19,175.9,514.5,-,-,-,[],C,109.17,700.59,427.16,2741.27
Italy,IT,IT,2023-10-26 15:30:16,2021-12-17,2021-12-18,241.7,514.5,-,-,-,[],C,54.29,352.72,427.16,2775.24
Italy,IT,IT,2023-10-26 15:30:15,2021-12-16,2021-12-17,240.9,514.5,-,-,-,[],C,90.95,585.12,427.16,2748.1
Italy,IT,IT,2023-10-26 15:30:14,2021-12-15,2021-12-16,240.6,514.5,-,-,-,[],C,127.41,816.29,427.16,2736.73
Italy,IT,IT,2023-10-26 15:30:13,2021-12-14,2021-12-15,241.1,514.5,-,-,-,[],C,122.74,786.69,427.16,2737.84
Italy,IT,IT,2023-10-26 15:30:12,2021-12-13,2021-12-14,240.9,514.5,-,-,-,[],C,59.18,383.76,427.16,2769.97
Italy,IT,IT,2023-10-26 15:30:11,2021-12-12,2021-12-13,176,514.5,-,-,-,[],C,95.94,616.78,427.16,2746.13
Italy,IT,IT,2023-10-26 15:30:10,2021-12-11,2021-12-12,176.1,514.5,-,-,-,[],C,122.24,783.5,427.16,2737.89
Italy,IT,IT,2023-10-26 15:30:09,2021-12-10,2021-12-11,241,514.5,-,-,-,[],C,148.87,952.34,427.16,2732.6
Italy,IT,IT,2023-10-26 15:30:08,2021-12-09,2021-12-10,241.2,514.5,-,-,-,[],C,139.9,895.46,427.16,2734.13
Italy,IT,IT,2023-10-26 15:30:07,2021-12-08,2021-12-09,193.9,514.5,-,-,-,[],C,80.94,521.74,427.16,2753.48
Italy,IT,IT,2023-10-26 15:30:06,2021-12-07,2021-12-08,222.6,514.5,-,-,-,[],C,110.07,706.38,427.16,2741.32
Italy,IT,IT,2023-10-26 15:30:05,2021-12-06,2021-12-07,208.1,514.5,-,-,-,[],C,143.81,920.31,427.16,2733.6
Italy,IT,IT,2023-10-26 15:30:04,2021-12-05,2021-12-06,143,514.5,-,-,-,[],C,175.51,1121.27,427.16,2728.97
Italy,IT,IT,2023-10-26 15:30:03,2021-12-04,2021-12-05,110,514.5,-,-,-,[],C,197.28,1259.29,427.16,2726.67
Italy,IT,IT,2023-10-26 15:30:02,2021-12-03,2021-12-04,182.6,514.5,-,-,-,[],C,73,471.41,427.16,2758.46
Italy,IT,IT,2023-10-26 15:30:01,2021-12-02,2021-12-03,192.5,514.5,-,-,-,[],C,100.57,646.24,427.16,2744.83
Italy,IT,IT,2023-10-26 15:30:00,2021-12-01,2021-12-02,192.4,514.5,-,-,-,[],C,129.86,831.91,427.16,2736.48
Italy,IT,IT,2023-10-26 15:29:59,2021-11-30,2021-12-01,242,514.5,-,-,-,[],C,151.39,968.42,427.16,2732.48
Italy,IT,IT,2023-10-26 15:29:58,2021-11-29,2021-11-30,241.6,514.5,-,-,-,[],C,48.22,314.35,427.16,2784.69
Italy,IT,IT,2023-10-26 15:29:57,2021-11-28,2021-11-29,187.1,514.5,-,-,-,[],C,85.06,547.9,427.16,2751.48
Italy,IT,IT,2023-10-26 15:29:56,2021-11-27,2021-11-28,187.1,514.5,-,-,-,[],C,113.45,727.96,427.16,2740.9
Italy,IT,IT,2023-10-26 15:29:56,2021-11-26,2021-11-27,239.9,514.5,-,-,-,[],C,141.54,906.02,427.16,2734.32
Italy,IT,IT,2023-10-26 15:29:55,2021-11-25,2021-11-26,240.4,514.5,-,-,-,[],C,177.93,1136.74,427.16,2728.99
Italy,IT,IT,2023-10-26 15:29:54,2021-11-24,2021-11-25,241.5,514.5,-,-,-,[],C,147.2,941.97,427.16,2733.5
Italy,IT,IT,2023-10-26 15:29:53,2021-11-23,2021-11-24,240.6,514.5,-,-,-,[],C,110.04,706.39,427.16,2742.11
Italy,IT,IT,2023-10-26 15:29:52,2021-11-22,2021-11-23,241.6,514.5,-,-,-,[],C,146.17,935.43,427.16,2733.65
Italy,IT,IT,2023-10-26 15:29:51,2021-11-21,2021-11-22,144.4,514.5,-,-,-,[],C,183.02,1169.1,427.16,2728.62
Italy,IT,IT,2023-10-26 15:29:51,2021-11-20,2021-11-21,230.9,514.5,-,-,-,[],C,170.46,1089.46,427.16,2730.11
Italy,IT,IT,2023-10-26 15:29:50,2021-11-19,2021-11-20,241.2,514.5,-,-,-,[],C,99.15,637.41,427.16,2746.1
Italy,IT,IT,2023-10-26 15:29:49,2021-11-18,2021-11-19,241.1,514.5,-,-,-,[],E,135.67,868.96,427.16,2735.94
Italy,IT,IT,2023-10-26 15:29:48,2021-11-17,2021-11-18,240.7,514.5,-,-,-,[],C,161.27,1031.22,427.16,2731.42
Italy,IT,IT,2023-10-26 15:29:47,2021-11-16,2021-11-17,241.3,514.5,-,-,-,[],C,67.72,438.16,427.16,2763.8
Italy,IT,IT,2023-10-26 15:29:46,2021-11-15,2021-11-16,241,514.5,-,-,-,[],C,104.28,669.97,427.16,2744.38
Italy,IT,IT,2023-10-26 15:29:45,2021-11-14,2021-11-15,166,514.5,-,-,-,[],C,141.13,903.59,427.16,2734.91
Italy,IT,IT,2023-10-26 15:29:45,2021-11-13,2021-11-14,209.7,514.5,-,-,-,[],C,166.23,1062.75,427.16,2730.94
Italy,IT,IT,2023-10-26 15:29:44,2021-11-12,2021-11-13,241.2,514.5,-,-,-,[],C,198.04,1264.4,427.16,2727.23
Italy,IT,IT,2023-10-26 15:29:43,2021-11-11,2021-11-12,241.1,514.5,-,-,-,[],C,234.53,1495.75,427.16,2724.28
Italy,IT,IT,2023-10-26 15:29:42,2021-11-10,2021-11-11,241,514.5,-,-,-,[],C,208.32,1329.6,427.16,2726.34
Italy,IT,IT,2023-10-26 15:29:41,2021-11-09,2021-11-10,241.1,514.5,-,-,-,[],C,166.35,1063.52,427.16,2730.95
Italy,IT,IT,2023-10-26 15:29:41,2021-11-08,2021-11-09,240.9,514.5,-,-,-,[],C,203.06,1296.26,427.16,2726.83
Italy,IT,IT,2023-10-26 15:29:40,2021-11-07,2021-11-08,176.8,514.5,-,-,-,[],C,232.42,1482.4,427.16,2724.47
Italy,IT,IT,2023-10-26 15:29:39,2021-11-06,2021-11-07,175.8,514.5,-,-,-,[],C,125.79,806.46,427.16,2738.59
Italy,IT,IT,2023-10-26 15:29:38,2021-11-05,2021-11-06,240.5,514.5,-,-,-,[],C,152.3,974.5,427.16,2733.21
Italy,IT,IT,2023-10-26 15:29:37,2021-11-04,2021-11-05,241.1,514.5,-,-,-,[],C,148.75,952.03,427.16,2733.91
Italy,IT,IT,2023-10-26 15:29:37,2021-11-03,2021-11-04,241.2,514.5,-,-,-,[],C,78.47,506.48,427.16,2757.08
Italy,IT,IT,2023-10-26 15:29:36,2021-11-02,2021-11-03,240.4,514.5,-,-,-,[],C,115.06,738.42,427.16,2741.38
Italy,IT,IT,2023-10-26 15:29:35,2021-11-01,2021-11-02,169.6,514.5,-,-,-,[],C,151.38,968.71,427.16,2733.48
Italy,IT,IT,2023-10-26 15:29:34,2021-10-31,2021-11-01,110.9,514.5,-,-,-,[],C,177.82,1136.39,427.16,2729.84
Italy,IT,IT,2023-10-26 15:29:33,2021-10-30,2021-10-31,102,514.5,-,-,-,[],C,136.47,874.25,427.16,2736.46
Italy,IT,IT,2023-10-26 15:29:33,2021-10-29,2021-10-30,212.1,514.5,-,-,-,[],C,64.4,417.36,427.16,2768.32
Italy,IT,IT,2023-10-26 15:29:32,2021-10-28,2021-10-29,194.5,514.5,-,-,-,[],C,96.58,621.36,427.16,2748.19
Italy,IT,IT,2023-10-26 15:29:31,2021-10-27,2021-10-28,221.1,514.5,-,-,-,[],C,126.29,809.72,427.16,2738.78
Italy,IT,IT,2023-10-26 15:29:30,2021-10-26,2021-10-27,196.7,514.5,-,-,-,[],C,159.64,1021.17,427.16,2732.42
Italy,IT,IT,2023-10-26 15:29:29,2021-10-25,2021-10-26,134.6,514.5,-,-,-,[],C,189.59,1211.06,427.16,2728.61
Italy,IT,IT,2023-10-26 15:29:29,2021-10-24,2021-10-25,132.3,514.5,-,-,-,[],C,210.18,1341.58,427.16,2726.56
Italy,IT,IT,2023-10-26 15:29:28,2021-10-23,2021-10-24,132.4,514.5,-,-,-,[],C,167.99,1074.12,427.16,2731.24
Italy,IT,IT,2023-10-26 15:29:27,2021-10-22,2021-10-23,241.1,514.5,-,-,-,[],C,109.32,702.2,427.16,2743.8
Italy,IT,IT,2023-10-26 15:29:26,2021-10-21,2021-10-22,241.1,514.5,-,-,-,[],C,145.66,932.61,427.16,2734.96
Italy,IT,IT,2023-10-26 15:29:25,2021-10-20,2021-10-21,241,514.5,-,-,-,[],C,182.01,1163.05,427.16,2729.57
Italy,IT,IT,2023-10-26 15:29:25,2021-10-19,2021-10-20,240.4,514.5,-,-,-,[],C,198.53,1267.79,427.16,2727.8
Italy,IT,IT,2023-10-26 15:29:24,2021-10-18,2021-10-19,241.6,514.5,-,-,-,[],C,113.26,727.22,427.16,2742.71
Italy,IT,IT,2023-10-26 15:29:23,2021-10-17,2021-10-18,132.3,514.5,-,-,-,[],C,150.03,960.37,427.16,2734.33
Italy,IT,IT,2023-10-26 15:29:22,2021-10-16,2021-10-17,152.1,514.5,-,-,-,[],C,170.22,1088.13,427.16,2730.62
Italy,IT,IT,2023-10-26 15:29:21,2021-10-15,2021-10-16,240.3,514.5,-,-,-,[],C,193.01,1232.88,427.16,2728.55
Italy,IT,IT,2023-10-26 15:29:21,2021-10-14,2021-10-15,240.3,514.5,-,-,-,[],C,165.93,1061.22,427.16,2731.94
Italy,IT,IT,2023-10-26 15:29:20,2021-10-13,2021-10-14,241.4,514.5,-,-,-,[],C,124.42,798.04,427.16,2739.84
Italy,IT,IT,2023-10-26 15:29:19,2021-10-12,2021-10-13,241.3,514.5,-,-,-,[],C,160.69,1028,427.16,2732.72
Italy,IT,IT,2023-10-26 15:29:18,2021-10-11,2021-10-12,241.2,514.5,-,-,-,[],C,119.76,768.53,427.16,2741.19
Italy,IT,IT,2023-10-26 15:29:17,2021-10-10,2021-10-11,154.3,514.5,-,-,-,[],C,92.3,594.43,427.16,2750.99
Italy,IT,IT,2023-10-26 15:29:16,2021-10-09,2021-10-10,165.3,514.5,-,-,-,[],C,115.67,742.59,427.16,2742.33
Italy,IT,IT,2023-10-26 15:29:16,2021-10-08,2021-10-09,165.5,514.5,-,-,-,[],C,140.37,899.19,427.16,2736.33
Italy,IT,IT,2023-10-26 15:29:15,2021-10-07,2021-10-08,165.2,514.5,-,-,-,[],C,165.43,1058.09,427.16,2732.11
Italy,IT,IT,2023-10-26 15:29:14,2021-10-06,2021-10-07,165,514.5,-,-,-,[],C,190.54,1217.28,427.16,2728.95
