name,code,url,updatedAt,gasDayStart,gasDayEnd,sendOut,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,inventory.lng,inventory.gwh,dtmi.lng,dtmi.gwh
Italy,IT,IT,2026-05-28 12:24:25,2015-01-01,2015-01-02,116.1,514.7,-,-,-,[],C,281.76,209.19,467.16,346.84
Italy,IT,IT,2026-05-28 12:24:25,2015-01-02,2015-01-03,137.4,514.7,-,-,-,[],C,295.97,223.45,467.16,352.69
Italy,IT,IT,2026-05-28 12:24:26,2015-01-03,2015-01-04,142.8,514.7,-,-,-,[],C,362.05,289.59,467.16,373.66
Italy,IT,IT,2026-05-28 12:24:26,2015-01-04,2015-01-05,142.9,514.7,-,-,-,[],C,396.66,324.27,467.16,381.9
Italy,IT,IT,2026-05-28 12:24:26,2015-01-05,2015-01-06,142.9,514.7,-,-,-,[],C,374.91,302.54,467.16,376.98
Italy,IT,IT,2026-05-28 12:24:26,2015-01-06,2015-01-07,142.9,514.7,-,-,-,[],C,352.96,280.65,467.16,371.45
Italy,IT,IT,2026-05-28 12:24:26,2015-01-07,2015-01-08,286.3,514.7,-,-,-,[],C,309.58,237.32,467.16,358.12
Italy,IT,IT,2026-05-28 12:24:26,2015-01-08,2015-01-09,286.2,514.7,-,-,-,[],C,405.12,332.89,467.16,383.87
Italy,IT,IT,2026-05-28 12:24:27,2015-01-09,2015-01-10,286.2,514.7,-,-,-,[],C,361.63,289.46,467.16,373.93
Italy,IT,IT,2026-05-28 12:24:27,2015-01-10,2015-01-11,286.3,514.7,-,-,-,[],C,318.23,246.15,467.16,361.35
Italy,IT,IT,2026-05-28 12:24:27,2015-01-11,2015-01-12,286.2,514.7,-,-,-,[],C,404.99,333.0,467.16,384.12
Italy,IT,IT,2026-05-28 12:24:27,2015-01-12,2015-01-13,286.2,514.7,-,-,-,[],C,370.51,298.54,467.16,376.42
Italy,IT,IT,2026-05-28 12:24:27,2015-01-13,2015-01-14,258.3,514.7,-,-,-,[],C,331.36,259.45,467.16,365.78
Italy,IT,IT,2026-05-28 12:24:27,2015-01-14,2015-01-15,286.3,514.7,-,-,-,[],C,313.15,241.3,467.16,359.97
Italy,IT,IT,2026-05-28 12:24:27,2015-01-15,2015-01-16,286.2,514.7,-,-,-,[],C,389.52,317.75,467.16,381.08
Italy,IT,IT,2026-05-28 12:24:27,2015-01-16,2015-01-17,231.2,514.7,-,-,-,[],C,354.39,282.73,467.16,372.7
Italy,IT,IT,2026-05-28 12:24:27,2015-01-17,2015-01-18,176.0,514.7,-,-,-,[],C,328.01,256.39,467.16,365.16
Italy,IT,IT,2026-05-28 12:24:27,2015-01-18,2015-01-19,176.1,514.7,-,-,-,[],C,301.2,229.65,467.16,356.19
Italy,IT,IT,2026-05-28 12:24:27,2015-01-19,2015-01-20,209.2,514.7,-,-,-,[],C,269.47,197.99,467.16,343.24
Italy,IT,IT,2026-05-28 12:24:27,2015-01-20,2015-01-21,209.3,514.7,-,-,-,[],C,237.65,166.25,467.16,326.81
Italy,IT,IT,2026-05-28 12:24:28,2015-01-21,2015-01-22,209.3,514.7,-,-,-,[],C,253.22,181.89,467.16,335.56
Italy,IT,IT,2026-05-28 12:24:28,2015-01-22,2015-01-23,209.4,514.7,-,-,-,[],C,318.67,247.42,467.16,362.71
Italy,IT,IT,2026-05-28 12:24:28,2015-01-23,2015-01-24,209.4,514.7,-,-,-,[],C,287.16,216.0,467.16,351.39
Italy,IT,IT,2026-05-28 12:24:28,2015-01-24,2015-01-25,176.3,514.7,-,-,-,[],C,360.81,289.71,467.16,375.1
Italy,IT,IT,2026-05-28 12:24:28,2015-01-25,2015-01-26,176.4,514.7,-,-,-,[],C,372.62,301.58,467.16,378.1
Italy,IT,IT,2026-05-28 12:24:28,2015-01-26,2015-01-27,176.0,514.7,-,-,-,[],C,345.71,274.69,467.16,371.19
Italy,IT,IT,2026-05-28 12:24:28,2015-01-27,2015-01-28,176.3,514.7,-,-,-,[],C,319.28,248.31,467.16,363.32
Italy,IT,IT,2026-05-28 12:24:28,2015-01-28,2015-01-29,185.3,514.7,-,-,-,[],C,290.89,219.99,467.16,353.3
Italy,IT,IT,2026-05-28 12:24:28,2015-01-29,2015-01-30,222.5,514.7,-,-,-,[],C,256.99,186.23,467.16,338.53
Italy,IT,IT,2026-05-28 12:24:28,2015-01-30,2015-01-31,176.7,514.7,-,-,-,[],C,230.29,159.69,467.16,323.94
Italy,IT,IT,2026-05-28 12:24:28,2015-01-31,2015-02-01,176.5,514.7,-,-,-,[],C,203.64,133.13,467.16,305.41
Italy,IT,IT,2026-05-28 12:24:28,2015-02-01,2015-02-02,187.4,514.7,-,-,-,[],C,229.03,158.56,467.16,323.42
Italy,IT,IT,2026-05-28 12:24:29,2015-02-02,2015-02-03,241.0,514.7,-,-,-,[],C,277.77,207.36,467.16,348.74
Italy,IT,IT,2026-05-28 12:24:29,2015-02-03,2015-02-04,132.2,514.7,-,-,-,[],C,258.03,187.65,467.16,339.74
Italy,IT,IT,2026-05-28 12:24:29,2015-02-04,2015-02-05,132.3,514.7,-,-,-,[],C,238.05,167.73,467.16,329.16
Italy,IT,IT,2026-05-28 12:24:29,2015-02-05,2015-02-06,99.4,514.7,-,-,-,[],C,223.05,152.78,467.16,319.99
Italy,IT,IT,2026-05-28 12:24:29,2015-02-06,2015-02-07,176.1,514.7,-,-,-,[],C,196.3,126.05,467.16,299.98
Italy,IT,IT,2026-05-28 12:24:29,2015-02-07,2015-02-08,38.6,514.7,-,-,-,[],C,190.66,120.42,467.16,295.06
Italy,IT,IT,2026-05-28 12:24:29,2015-02-08,2015-02-09,38.6,514.7,-,-,-,[],C,184.69,114.48,467.16,289.57
Italy,IT,IT,2026-05-28 12:24:29,2015-02-09,2015-02-10,66.1,514.7,-,-,-,[],C,220.42,150.24,467.16,318.42
Italy,IT,IT,2026-05-28 12:24:29,2015-02-10,2015-02-11,241.0,514.7,-,-,-,[],C,326.78,256.63,467.16,366.87
Italy,IT,IT,2026-05-28 12:24:29,2015-02-11,2015-02-12,240.9,514.7,-,-,-,[],C,384.86,314.75,467.16,382.06
Italy,IT,IT,2026-05-28 12:24:29,2015-02-12,2015-02-13,241.0,514.7,-,-,-,[],C,348.41,278.32,467.16,373.18
Italy,IT,IT,2026-05-28 12:24:30,2015-02-13,2015-02-14,187.3,514.7,-,-,-,[],C,320.29,250.27,467.16,365.03
Italy,IT,IT,2026-05-28 12:24:30,2015-02-14,2015-02-15,99.3,514.7,-,-,-,[],C,305.0,235.04,467.16,360.0
Italy,IT,IT,2026-05-28 12:24:30,2015-02-15,2015-02-16,66.4,514.7,-,-,-,[],C,294.85,224.98,467.16,356.46
Italy,IT,IT,2026-05-28 12:24:30,2015-02-16,2015-02-17,212.8,514.7,-,-,-,[],C,262.65,192.86,467.16,343.03
Italy,IT,IT,2026-05-28 12:24:30,2015-02-17,2015-02-18,202.7,514.7,-,-,-,[],C,232.04,162.28,467.16,326.71
Italy,IT,IT,2026-05-28 12:24:30,2015-02-18,2015-02-19,113.6,514.7,-,-,-,[],C,289.98,220.26,467.16,354.84
Italy,IT,IT,2026-05-28 12:24:30,2015-02-19,2015-02-20,209.2,514.7,-,-,-,[],C,327.89,258.18,467.16,367.84
Italy,IT,IT,2026-05-28 12:24:30,2015-02-20,2015-02-21,176.3,514.7,-,-,-,[],C,301.21,231.57,467.16,359.15
Italy,IT,IT,2026-05-28 12:24:30,2015-02-21,2015-02-22,66.7,514.7,-,-,-,[],C,290.85,221.36,467.16,355.55
Italy,IT,IT,2026-05-28 12:24:30,2015-02-22,2015-02-23,77.6,514.7,-,-,-,[],C,278.88,209.5,467.16,350.94
Italy,IT,IT,2026-05-28 12:24:31,2015-02-23,2015-02-24,203.0,514.7,-,-,-,[],C,248.01,178.71,467.16,336.62
Italy,IT,IT,2026-05-28 12:24:31,2015-02-24,2015-02-25,154.7,514.7,-,-,-,[],C,224.38,155.18,467.16,323.09
Italy,IT,IT,2026-05-28 12:24:31,2015-02-25,2015-02-26,229.3,514.7,-,-,-,[],C,278.83,209.66,467.16,351.27
Italy,IT,IT,2026-05-28 12:24:31,2015-02-26,2015-02-27,163.0,514.7,-,-,-,[],C,303.75,234.61,467.16,360.82
Italy,IT,IT,2026-05-28 12:24:31,2015-02-27,2015-02-28,220.3,514.7,-,-,-,[],C,288.33,219.23,467.16,355.2
Italy,IT,IT,2026-05-28 12:24:31,2015-02-28,2015-03-01,66.2,514.7,-,-,-,[],C,399.59,330.55,467.16,386.45
Italy,IT,IT,2026-05-28 12:24:31,2015-03-01,2015-03-02,66.0,514.7,-,-,-,[],C,389.68,320.68,467.16,384.44
Italy,IT,IT,2026-05-28 12:24:31,2015-03-02,2015-03-03,236.7,514.7,-,-,-,[],C,353.59,284.65,467.16,376.08
Italy,IT,IT,2026-05-28 12:24:31,2015-03-03,2015-03-04,236.8,514.7,-,-,-,[],C,317.86,248.95,467.16,365.88
