entity_kind,company_eic,facility_eic,entity_name,name,code,publication_link,transparency_template,url,updatedAt,gasDayStart,gasDayEnd,sendOut,dtrs,contractedCapacity,availableCapacity,info,status,inventory.lng,inventory.gwh,dtmi.lng,dtmi.gwh
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-01,2015-01-02,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-02,2015-01-03,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-03,2015-01-04,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-04,2015-01-05,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-05,2015-01-06,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-06,2015-01-07,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-07,2015-01-08,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-08,2015-01-09,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-09,2015-01-10,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-10,2015-01-11,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-11,2015-01-12,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-12,2015-01-13,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-13,2015-01-14,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-14,2015-01-15,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-15,2015-01-16,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-16,2015-01-17,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-17,2015-01-18,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-18,2015-01-19,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-19,2015-01-20,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-20,2015-01-21,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-21,2015-01-22,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-22,2015-01-23,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-23,2015-01-24,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-24,2015-01-25,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-25,2015-01-26,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-26,2015-01-27,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-27,2015-01-28,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-28,2015-01-29,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-29,2015-01-30,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-30,2015-01-31,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-01-31,2015-02-01,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-01,2015-02-02,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-02,2015-02-03,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-03,2015-02-04,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-04,2015-02-05,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-05,2015-02-06,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-06,2015-02-07,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-07,2015-02-08,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-08,2015-02-09,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-09,2015-02-10,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-10,2015-02-11,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-11,2015-02-12,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-12,2015-02-13,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-13,2015-02-14,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-14,2015-02-15,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-15,2015-02-16,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-16,2015-02-17,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-17,2015-02-18,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-18,2015-02-19,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-19,2015-02-20,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-20,2015-02-21,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-21,2015-02-22,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-22,2015-02-23,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-23,2015-02-24,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-24,2015-02-25,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-25,2015-02-26,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-26,2015-02-27,-,-,-,-,[],N,-,-,-,-
company,59XFSRUITALIASTY,,SNAM LNG Srl,SNAM Energy Terminals,59XFSRUITALIASTY,,,59XFSRUITALIASTY/IT,2026-05-28 22:01:33,2015-02-27,2015-02-28,-,-,-,-,[],N,-,-,-,-
