entity_kind,company_eic,facility_eic,entity_name,name,code,url,longitude,latitude,type,updatedAt,gasDayStart,gasDayEnd,sendOut,dtrs,contractedCapacity,availableCapacity,info,status,inventory.lng,inventory.gwh,dtmi.lng,dtmi.gwh
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-01,2015-01-02,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-02,2015-01-03,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-03,2015-01-04,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-04,2015-01-05,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-05,2015-01-06,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-06,2015-01-07,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-07,2015-01-08,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-08,2015-01-09,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-09,2015-01-10,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-10,2015-01-11,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-11,2015-01-12,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-12,2015-01-13,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-13,2015-01-14,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-14,2015-01-15,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-15,2015-01-16,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-16,2015-01-17,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-17,2015-01-18,-,-,-,-,[],N,-,-,-,-
facility,59XFSRUITALIASTY,59WBWSINGAPORERX,Ravenna LNG Terminal (FSRU BW Singapore),Ravenna LNG Terminal (FSRU BW Singapore),59WBWSINGAPORERX,59WBWSINGAPORERX/IT/59XFSRUITALIASTY,12.3034,44.4764,FSRU,2026-05-28 22:01:33,2015-01-18,2015-01-19,-,-,-,-,[],N,-,-,-,-
