id,dataSet,dataSetLabel,indicator,periodType,periodFrom,periodTo,countryKey,countryLabel,bzKey,bzShort,bzLong,operatorKey,operatorLabel,tsoEicCode,directionKey,adjacentSystemsKey,adjacentSystemsLabel,year,month,day,unit,value,countPointPresents,flowStatus,pointsNames,lastUpdateDateTime
"1AggregatesITIT---------IT-TSO-0001entryLNG Terminals2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,"LNG Terminals","LNG Terminals",2022,1,1,kWh/d,109741551,3,Provisionnal,"Cavarzere (Porto Levante / Adriatic LNG)|OLT LNG / Livorno|Panigaglia","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryProduction2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Production,Production,2022,1,1,kWh/d,79845904,1,Provisionnal,"IT - Indigenous Production","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryStorage2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Storage,Storage,2022,1,1,kWh/d,680690460,2,Provisionnal,"UGS - IT - Snam Rete Gas/Edison|UGS - IT - Snam Rete Gas/STOGIT","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryTransmission2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Transmission,Transmission,2022,1,1,kWh/d,1042592413,3,Provisionnal,"Gela|Mazara del Vallo|Melendugno - IT / TAP","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionAT---------2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionAT---------,Austria,2022,1,1,kWh/d,324932856,1,Provisionnal,"Tarvisio (IT) / Arnoldstein (AT)","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionCH---------2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionCH---------,Switzerland,2022,1,1,kWh/d,0,1,Provisionnal,"Griespass (CH) / Passo Gries (IT)","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionSI---------2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionSI---------,Slovenia,2022,1,1,kWh/d,57206,1,Provisionnal,"Gorizia (IT) /Šempeter (SI)","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001exitDistribution2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Distribution,Distribution,2022,1,1,kWh/d,1458825423,1,Provisionnal,"Distribution (IT)","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001exitFinal Consumers2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,"Final Consumers","Final Consumers",2022,1,1,kWh/d,591484805,2,Provisionnal,"Industrial Consumers (IT)|Thermal Plants (IT)","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001exitStorage2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Storage,Storage,2022,1,1,kWh/d,73208,2,Provisionnal,"UGS - IT - Snam Rete Gas/Edison|UGS - IT - Snam Rete Gas/STOGIT","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001exitTransmission2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Transmission,Transmission,2022,1,1,kWh/d,51502240,3,Provisionnal,"Melendugno - IT / TAP|Rep. San Marino|SRG Delivery to other transmission networks","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionAT---------2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionAT---------,Austria,2022,1,1,kWh/d,0,1,Provisionnal,"Tarvisio (IT) / Arnoldstein (AT)","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionCH---------2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionCH---------,Switzerland,2022,1,1,kWh/d,117397186,2,Provisionnal,"Bizzarone|Griespass (CH) / Passo Gries (IT)","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionSI---------2022-01-01T00:00:00+00:002022-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionSI---------,Slovenia,2022,1,1,kWh/d,0,1,Provisionnal,"Gorizia (IT) /Šempeter (SI)","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryLNG Terminals2022-01-02T00:00:00+00:002022-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,"LNG Terminals","LNG Terminals",2022,1,2,kWh/d,109937737,3,Provisionnal,"Cavarzere (Porto Levante / Adriatic LNG)|OLT LNG / Livorno|Panigaglia","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryProduction2022-01-02T00:00:00+00:002022-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Production,Production,2022,1,2,kWh/d,79361226,1,Provisionnal,"IT - Indigenous Production","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryStorage2022-01-02T00:00:00+00:002022-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Storage,Storage,2022,1,2,kWh/d,840528066,2,Provisionnal,"UGS - IT - Snam Rete Gas/Edison|UGS - IT - Snam Rete Gas/STOGIT","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryTransmission2022-01-02T00:00:00+00:002022-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Transmission,Transmission,2022,1,2,kWh/d,1047801869,3,Provisionnal,"Gela|Mazara del Vallo|Melendugno - IT / TAP","2022-03-11 13:17"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionAT---------2022-01-02T00:00:00+00:002022-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionAT---------,Austria,2022,1,2,kWh/d,225806069,1,Provisionnal,"Tarvisio (IT) / Arnoldstein (AT)","2022-03-11 13:17"
