operatorLogoUrl,operatorKey,operatorLabel,operatorLabelLong,operatorTooltip,operatorCountryKey,operatorCountryLabel,operatorCountryFlag,operatorTypeLabel,operatorTypeLabelLong,participates,membershipLabel,tsoEicCode,tsoDisplayName,tsoShortName,tsoLongName,tsoStreet,tsoBuildingNumber,tsoPostOfficeBox,tsoZipCode,tsoCity,tsoContactName,tsoContactPhone,tsoContactEmail,tsoContactUrl,tsoContactRemarks,tsoGeneralWebsiteUrl,tsoGeneralWebsiteUrlRemarks,tsoTariffInformationUrl,tsoTariffInformationUrlRemarks,tsoTariffCalculatorUrl,tsoTariffCalculatorUrlRemarks,tsoCapacityInformationUrl,tsoCapacityInformationUrlRemarks,tsoGasQualityURL,tsoGasQualityURLRemarks,tsoAccessConditionsUrl,tsoAccessConditionsUrlRemarks,tsoContractDocumentsUrl,tsoContractDocumentsUrlRemarks,tsoMaintainanceUrl,tsoMaintainanceUrlRemarks,gasDayStartHour,gasDayStartHourRemarks,multiAnnualContractsIsAvailable,multiAnnualContractsRemarks,annualContractsIsAvailable,annualContractsRemarks,halfAnnualContractsIsAvailable,halfAnnualContractsRemarks,quarterlyContractsIsAvailable,quarterlyContractsRemarks,monthlyContractsIsAvailable,monthlyContractsRemarks,dailyContractsIsAvailable,dailyContractsRemarks,withinDayContractsIsAvailable,withinDayContractsRemarks,availableContractsRemarks,firmCapacityTariffIsApplied,firmCapacityTariffUnit,firmCapacityTariffRemarks,interruptibleCapacityTariffIsApplied,interruptibleCapacityTariffUnit,interruptibleCapacityTariffRemarks,auctionIsApplied,auctionTariffIsApplied,auctionCapacityTariffUnit,auctionRemarks,commodityTariffIsApplied,commodityTariffUnit,commodityTariffPrice,commodityTariffRemarks,othersTariffIsApplied,othersTariffRemarks,generalTariffInformationRemarks,generalCapacityRemark,firstComeFirstServedIsApplied,firstComeFirstServedRemarks,openSubscriptionWindowIsApplied,openSubscriptionWindowRemarks,firmTechnicalRemark,firmBookedRemark,firmAvailableRemark,interruptibleTotalRemark,interruptibleBookedRemark,interruptibleAvailableRemark,tsoGeneralRemarks,balancingModel,bMHourlyImbalanceToleranceIsApplied,bMHourlyImbalanceToleranceIsInformation,bMHourlyImbalanceToleranceIsRemarks,bMDailyImbalanceToleranceIsApplied,bMDailyImbalanceToleranceIsInformation,bMDailyImbalanceToleranceIsRemarks,bMAdditionalDailyImbalanceToleranceIsApplied,bMAdditionalDailyImbalanceToleranceIsInformation,bMAdditionalDailyImbalanceToleranceIsRemarks,bMCumulatedImbalanceToleranceIsApplied,bMCumulatedImbalanceToleranceIsInformation,bMCumulatedImbalanceToleranceIsRemarks,bMAdditionalCumulatedImbalanceToleranceIsApplied,bMAdditionalCumulatedImbalanceToleranceIsInformation,bMAdditionalCumulatedImbalanceToleranceIsRemarks,bMStatusInformation,bMStatusInformationFrequency,bMPenalties,bMCashOutRegime,bMRemarks,gridTransportModelType,gridTransportModelTypeRemarks,gridConversionFactorCapacityDefault,gridConversionFactorCapacityDefaultRemaks,gridGrossCalorificValueDefaultValue,gridGrossCalorificValueDefaultValueTo,gridGrossCalorificValueDefaultUnit,gridGrossCalorificValueDefaultRemarks,gridGasSourceDefault,lastUpdateDateTime,transparencyInformationURL,transparencyInformationUrlRemarks,transparencyGuidelinesInformationURL,transparencyGuidelinesInformationUrlRemarks,tsoUmmRssFeedUrlGas,tsoUmmRssFeedUrlOther,includeUmmInAcerRssFeed,id,dataSet
,---ASO-0001,"Aggregated Counterpa","Aggregated Counterparties","Aggregated Counterparties|                ",--,None,,ASO,"Artificial Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-11-09 00:11",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1---ASO-0001,1
,BE-TSO-0002,Unknown,Unknown,"Unknown|                ",BE,Belgium,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2018-11-27 00:04",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1BE-TSO-0002,1
,BE-ENA-0005,ENTOSGquestionnaire,ENTSOGquestionnaire,"ENTSOGquestionnaire|                ",BE,Belgium,,ENA,"Energy Association",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-03-16 14:06",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1BE-ENA-0005,1
http://www.entsog.eu/public/images/TP/logo_gasum.png,FI-TSO-0001,Gasum,"Gasum Ltd","Gasum Ltd|21X-FI-A-A0A0A-G",FI,Finland,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,21X-FI-A-A0A0A-G,,,,Revontulenpuisto,"2 C","P.O.Box 21",02100,Espoo,"Jouni Haikarainen","+358 20 44 78481",Jouni.Haikarainen@Gasum.com,,"Senior Vice President, Natural Gas Business Unit",http://www.gasum.com/,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,0,"Starts at 0 a.m. Finnish time ",,,1,,,,,,,,,,,,,1,MWh/h,"Customer orders annually the needed capacity.",1,MWh/h,"On bi-lateral contract basis with some customers",,,,,,,,,1,,,,1,"Capacity is allocated on order basis.",,,,,,,,,,Hourly,,,"Negative imbalance is not taken into account, only positive imbalance (gas use above allocated capacity) is charged.",,,"Negative imbalance is not taken into account, only positive imbalance (gas use above allocated capacity) is charged.",,,"Negative imbalance is not taken into account, only positive imbalance (gas use above allocated capacity) is charged.",,,"Negative imbalance is not taken into account, only positive imbalance (gas use above allocated capacity) is charged.",,,"Negative imbalance is not taken into account, only positive imbalance (gas use above allocated capacity) is charged.","Online webpages",Realtime,"No direct penalties, but balancing cost is charged equally to all customers in case of capacity deficit.",Hourly,-,Entry-Exit,"Only Entry, no Exit",1,"Capacity data is converted into unit kWh/d (GCV) in TP. In Gasum´s website capacity unit is GWh/d (NCV).",11.08,,kWh/Nm3,"Typical value",Russia,"2022-06-22 00:06",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1FI-TSO-0001,1
http://www.entsog.eu/public/images/TP/logo_jordgastransport.png,DE-TSO-0013,"JGT (TSO)","jordgasTransport GmbH","jordgasTransport GmbH|21X000000001189W",DE,Germany,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,21X000000001189W,,,,,,,30021,Hannover,"Herr Michael Kleemiß",+495116406072339,,http://jordgastransport.de/en/home-en.html,,http://jordgastransport.de/en/home-en.html,,http://jordgastransport.de/en/grid-information/networkcode-tariff.html,"Regulation (EU) 2017/460, Article 29&30 Information",http://jordgastransport.de/en/grid-information/networkcode-tariff.html,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",http://jordgastransport.de/en/grid-information/transparency.html,,http://transparenz.jordgastransport.de/mts.web/netzkarte/Index?lang=en&inst=statoil,"Regulation (EU) No 2015/703, Article 16 information",http://jordgastransport.de/en/downloads-61.html,,http://jordgastransport.de/en/downloads-61.html,,http://jordgastransport.de/en/grid-information/maintenance.html,,6,,,,1,,,,1,,1,,1,,1,,,1,EUR/kWh/h/a,"Remark Firm",1,EUR/kWh/h/a,"Interruptible Remark",,1,EUR/kWh/h/a,,1,EUR/kWh/h/a,0,"Secondary Remark",1,,,,,,,,,,,,,,,DailyWithHourlyConstraints,1,false,,1,false,,,false,,1,false,,1,false,,,,,,,MarketArea,,1,,1,,kWh/Nm³,,,"2023-09-04 00:07",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1DE-TSO-0013,1
,GR-TSO-0006,?UNICE,"?UNICE LABORATORIES S.A.","?UNICE LABORATORIES S.A.|                ",GR,Greece,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-02-23 00:11",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1GR-TSO-0006,1
http://www.transportgas-srbija.rs/wp-content/uploads/Transportgas-Srbija-logo-ico.png,RS-TSO-0004,TransportSrbija,"Transportgas Srbija LLC","Transportgas Srbija LLC|                ",RS,Serbia,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-09-01 00:12",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1RS-TSO-0004,1
,AT-H2O-0001,"RAG Austria AG","RAG Austria AG","RAG Austria AG|                ",AT,Austria,,H2FO,"Hydrogen Facility Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-10-16 00:11",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AT-H2O-0001,1
http://www.entsog.eu/public/images/TP/logo_MMBF.png,HU-SSO-0002,"MMBF Storage","MMBF Storage","MMBF Storage|                ",HU,Hungary,,SSO,"Storage System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-05-08 00:01",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1HU-SSO-0002,1
,AL-SSO-0001,"SSO UGS Dumrea","Underground Natural Gas Storage in Dumrea Area","Underground Natural Gas Storage in Dumrea Area|                ",AL,Albania,,SSO,"Storage System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AL-SSO-0001,1
