operatorLogoUrl,operatorKey,operatorLabel,operatorLabelLong,operatorTooltip,operatorCountryKey,operatorCountryLabel,operatorCountryFlag,operatorTypeLabel,operatorTypeLabelLong,participates,membershipLabel,tsoEicCode,tsoDisplayName,tsoShortName,tsoLongName,tsoStreet,tsoBuildingNumber,tsoPostOfficeBox,tsoZipCode,tsoCity,tsoContactName,tsoContactPhone,tsoContactEmail,tsoContactUrl,tsoContactRemarks,tsoGeneralWebsiteUrl,tsoGeneralWebsiteUrlRemarks,tsoTariffInformationUrl,tsoTariffInformationUrlRemarks,tsoTariffCalculatorUrl,tsoTariffCalculatorUrlRemarks,tsoCapacityInformationUrl,tsoCapacityInformationUrlRemarks,tsoGasQualityURL,tsoGasQualityURLRemarks,tsoAccessConditionsUrl,tsoAccessConditionsUrlRemarks,tsoContractDocumentsUrl,tsoContractDocumentsUrlRemarks,tsoMaintainanceUrl,tsoMaintainanceUrlRemarks,gasDayStartHour,gasDayStartHourRemarks,multiAnnualContractsIsAvailable,multiAnnualContractsRemarks,annualContractsIsAvailable,annualContractsRemarks,halfAnnualContractsIsAvailable,halfAnnualContractsRemarks,quarterlyContractsIsAvailable,quarterlyContractsRemarks,monthlyContractsIsAvailable,monthlyContractsRemarks,dailyContractsIsAvailable,dailyContractsRemarks,withinDayContractsIsAvailable,withinDayContractsRemarks,availableContractsRemarks,firmCapacityTariffIsApplied,firmCapacityTariffUnit,firmCapacityTariffRemarks,interruptibleCapacityTariffIsApplied,interruptibleCapacityTariffUnit,interruptibleCapacityTariffRemarks,auctionIsApplied,auctionTariffIsApplied,auctionCapacityTariffUnit,auctionRemarks,commodityTariffIsApplied,commodityTariffUnit,commodityTariffPrice,commodityTariffRemarks,othersTariffIsApplied,othersTariffRemarks,generalTariffInformationRemarks,generalCapacityRemark,firstComeFirstServedIsApplied,firstComeFirstServedRemarks,openSubscriptionWindowIsApplied,openSubscriptionWindowRemarks,firmTechnicalRemark,firmBookedRemark,firmAvailableRemark,interruptibleTotalRemark,interruptibleBookedRemark,interruptibleAvailableRemark,tsoGeneralRemarks,balancingModel,bMHourlyImbalanceToleranceIsApplied,bMHourlyImbalanceToleranceIsInformation,bMHourlyImbalanceToleranceIsRemarks,bMDailyImbalanceToleranceIsApplied,bMDailyImbalanceToleranceIsInformation,bMDailyImbalanceToleranceIsRemarks,bMAdditionalDailyImbalanceToleranceIsApplied,bMAdditionalDailyImbalanceToleranceIsInformation,bMAdditionalDailyImbalanceToleranceIsRemarks,bMCumulatedImbalanceToleranceIsApplied,bMCumulatedImbalanceToleranceIsInformation,bMCumulatedImbalanceToleranceIsRemarks,bMAdditionalCumulatedImbalanceToleranceIsApplied,bMAdditionalCumulatedImbalanceToleranceIsInformation,bMAdditionalCumulatedImbalanceToleranceIsRemarks,bMStatusInformation,bMStatusInformationFrequency,bMPenalties,bMCashOutRegime,bMRemarks,gridTransportModelType,gridTransportModelTypeRemarks,gridConversionFactorCapacityDefault,gridConversionFactorCapacityDefaultRemaks,gridGrossCalorificValueDefaultValue,gridGrossCalorificValueDefaultValueTo,gridGrossCalorificValueDefaultUnit,gridGrossCalorificValueDefaultRemarks,gridGasSourceDefault,lastUpdateDateTime,transparencyInformationURL,transparencyInformationUrlRemarks,transparencyGuidelinesInformationURL,transparencyGuidelinesInformationUrlRemarks,tsoUmmRssFeedUrlGas,tsoUmmRssFeedUrlOther,includeUmmInAcerRssFeed,id,dataSet
,IT-ETO-0001,Snam4Mobility,"Snam4Mobility S.p.A.","Snam4Mobility S.p.A.|                ",IT,Italy,,ETO,"Energy Transition Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-ETO-0001,1
,IT-ETO-0002,"SNAM S.p.A.","SNAM S.p.A.","SNAM S.p.A.|                ",IT,Italy,,ETO,"Energy Transition Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-ETO-0002,1
,IT-ETO-0003,Snam4Environment,Snam4Environment,"Snam4Environment|                ",IT,Italy,,ETO,"Energy Transition Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-ETO-0003,1
http://www.entsog.eu/public/images/TP/logo_adriaticlng.png,IT-LSO-0001,"GNL Adriatico","Terminale GNL Adriatico","Terminale GNL Adriatico|                ",IT,Italy,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-LSO-0001,1
http://www.entsog.eu/public/images/TP/logo_gnlitalia.png,IT-LSO-0002,"GNL Italia","GNL Italia","GNL Italia|                ",IT,Italy,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-LSO-0002,1
http://www.entsog.eu/public/images/TP/logo_Brindisi.png,IT-LSO-0003,"Brindisi LNG","Brindisi LNG S.p.A.","Brindisi LNG S.p.A.|                ",IT,Italy,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-LSO-0003,1
http://www.entsog.eu/public/images/TP/logo_olt.png,IT-LSO-0004,OLT,"OLT Offshore LNG Toscana S.p.A","OLT Offshore LNG Toscana S.p.A|21X000000001109G",IT,Italy,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-LSO-0004,1
,IT-LSO-0005,Sorgenia,"Sorgenia S.p.A.","Sorgenia S.p.A.|17X100A100R02995",IT,Italy,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-LSO-0005,1
"http://www.entsog.eu/public/images/TP/logo_API Nova Energia.png",IT-LSO-0006,"API Nova Energia","API Nova Energia S.r.l.","API Nova Energia S.r.l.|                ",IT,Italy,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-LSO-0006,1
,IT-LSO-0007,"LNG Medgas Terminal ","LNG Medgas Terminal S.r.l.","LNG Medgas Terminal S.r.l.|                ",IT,Italy,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-LSO-0007,1
,IT-LSO-0008,"GasNatural Rigassifi","gasNatural Rigassificazione S.p.A.","gasNatural Rigassificazione S.p.A.|                ",IT,Italy,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-LSO-0008,1
