id,dataSet,indicator,periodType,periodFrom,periodTo,operatorKey,tsoEicCode,operatorLabel,pointKey,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,interruptionType,restorationInformation,capacityType,capacityBookingStatus,isCamRelevant,isNA,originalPeriodFrom,isCmpRelevant,bookingPlatformKey,bookingPlatformLabel,bookingPlatformURL,interruptionCalculationRemark,isArchived
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001FNC-00006exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",FNC-00006,"Thermal Plants (IT)",21Y0000000000549,exit,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity information per point are available at www.snamretegas.it at the following path: Business & Services/Thermal year/Transportation capacity.",,385915145,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00040exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00040,"Tarvisio (IT) / Arnoldstein (AT)",21Z000000000004A,exit,kWh/d,,,0,"2022-03-11 12:21",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00093entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00093,"Mazara del Vallo",21Z000000000080V,entry,kWh/d,,,691231271,"2022-03-11 12:21",,Confirmed,,,,,,,,,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00283exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00283,"Rep. San Marino",21Z000000000276E,exit,kWh/d,,,1659153,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001LNG-00019entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",LNG-00019,Panigaglia,21Z0000000000430,entry,kWh/d,,,70819,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001UGS-00023entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",UGS-00023,"UGS - IT - Snam Rete Gas/Edison",21Z000000000273K,entry,kWh/d,,,17019819,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001FNC-00005exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",FNC-00005,"Industrial Consumers (IT)",21Y0000000000573,exit,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity information per point are available at www.snamretegas.it at the following path: Business & Services/Thermal year/Transportation capacity.",,205569660,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00008entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00008,"Melendugno - IT / TAP",21Z000000000474A,entry,kWh/d,,,268443627,"2022-03-11 12:21",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00040entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00040,"Tarvisio (IT) / Arnoldstein (AT)",21Z000000000004A,entry,kWh/d,,,324932856,"2022-03-11 12:21",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00049entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00049,"Gorizia (IT) /Šempeter (SI)",21Z000000000044Z,entry,kWh/d,,,57206,"2022-03-11 12:21",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
