time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,sunshine_duration,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,lat,lon
2015-01-01T00:00,6.2,65,0.1,0.4,0.0,0.0,0.0,0.0,0.03,1,1021.3,1020.2,46,43,4,0,25.4,12,43.9,0.0,0.0,0.0,0.0,0.0,0.05,0.34,5.5,0.321,Bari,41.1171,16.8719
2015-01-01T01:00,5.9,68,0.5,0.3,0.0,0.0,0.0,0.0,0.03,1,1021.7,1020.6,37,37,0,0,24.7,8,41.8,0.0,0.0,0.0,0.0,0.0,0.05,0.3,5.4,0.32,Bari,41.1171,16.8719
2015-01-01T02:00,5.7,70,0.7,0.1,0.0,0.0,0.0,0.0,0.03,1,1022.2,1021.1,30,30,0,0,24.5,1,41.8,0.0,0.0,0.0,0.0,0.0,0.04,0.27,5.5,0.319,Bari,41.1171,16.8719
2015-01-01T03:00,5.3,71,0.5,-0.5,0.0,0.0,0.0,0.0,0.03,1,1022.8,1021.7,32,31,0,0,25.9,1,42.1,0.0,0.0,0.0,0.0,0.0,0.04,0.26,5.3,0.319,Bari,41.1171,16.8719
2015-01-01T04:00,5.3,69,0.1,-0.6,0.0,0.0,0.0,0.0,0.03,1,1023.3,1022.2,22,21,0,0,25.9,359,41.4,0.0,0.0,0.0,0.0,0.0,0.04,0.27,5.3,0.318,Bari,41.1171,16.8719
2015-01-01T05:00,5.2,69,-0.0,-0.6,0.0,0.0,0.0,0.0,0.03,1,1023.2,1022.1,29,29,0,0,25.2,360,39.6,0.0,0.0,0.0,0.0,0.0,0.04,0.27,5.2,0.317,Bari,41.1171,16.8719
2015-01-01T06:00,5.2,69,-0.0,-0.4,0.0,0.0,0.0,0.0,0.03,1,1023.0,1021.9,25,25,0,0,23.8,1,37.4,0.0,0.0,0.0,0.0,0.0,0.04,0.27,5.2,0.316,Bari,41.1171,16.8719
2015-01-01T07:00,5.3,68,-0.1,-0.1,0.0,0.0,0.0,0.0,0.03,1,1023.5,1022.4,33,32,0,0,22.0,360,36.4,0.0,0.0,0.0,0.0,0.0,0.04,0.28,5.2,0.315,Bari,41.1171,16.8719
2015-01-01T08:00,5.4,67,-0.2,0.2,0.0,0.0,0.0,0.0,0.02,1,1024.0,1022.9,33,32,0,0,20.9,1,35.6,0.0,0.0,0.0,0.0,0.0,0.04,0.29,5.3,0.315,Bari,41.1171,16.8719
2015-01-01T09:00,6.3,65,0.1,1.2,0.0,0.0,0.0,0.0,0.02,1,1024.9,1023.8,34,34,0,0,20.5,2,39.2,14.0,3.0,11.0,44.6,0.0,0.05,0.34,5.6,0.315,Bari,41.1171,16.8719
2015-01-01T10:00,6.7,63,0.1,1.6,0.0,0.0,0.0,0.0,0.02,1,1025.4,1024.3,27,27,0,0,20.6,4,38.5,106.0,51.0,55.0,293.5,3600.0,0.08,0.37,6.1,0.315,Bari,41.1171,16.8719
2015-01-01T11:00,6.9,62,0.2,1.9,0.0,0.0,0.0,0.0,0.02,0,1025.9,1024.8,13,12,0,0,20.2,4,38.5,222.0,112.0,110.0,374.3,3600.0,0.11,0.38,6.7,0.315,Bari,41.1171,16.8719
2015-01-01T12:00,7.1,62,0.2,2.1,0.0,0.0,0.0,0.0,0.02,1,1025.4,1024.3,32,32,0,0,19.4,11,39.6,314.0,182.0,132.0,470.6,3600.0,0.14,0.39,7.3,0.315,Bari,41.1171,16.8719
2015-01-01T13:00,7.2,61,0.1,2.5,0.0,0.0,0.0,0.0,0.02,1,1025.3,1024.2,36,35,0,0,18.1,7,37.8,413.0,303.0,110.0,703.9,3600.0,0.16,0.4,8.0,0.315,Bari,41.1171,16.8719
2015-01-01T14:00,7.2,60,0.1,2.5,0.0,0.0,0.0,0.0,0.02,1,1024.9,1023.8,24,24,0,0,17.7,5,36.0,414.0,311.0,103.0,727.7,3600.0,0.16,0.4,8.5,0.315,Bari,41.1171,16.8719
2015-01-01T15:00,7.1,61,0.0,2.4,0.0,0.0,0.0,0.0,0.02,1,1025.3,1024.2,30,29,0,0,17.7,358,34.9,320.0,202.0,118.0,534.9,3600.0,0.14,0.4,8.4,0.314,Bari,41.1171,16.8719
2015-01-01T16:00,6.7,60,-0.5,2.1,0.0,0.0,0.0,0.0,0.02,1,1025.6,1024.5,27,27,0,0,16.4,351,33.8,214.0,119.0,95.0,417.9,3600.0,0.1,0.39,8.0,0.313,Bari,41.1171,16.8719
2015-01-01T17:00,6.2,60,-1.1,1.7,0.0,0.0,0.0,0.0,0.02,1,1025.9,1024.8,24,23,0,0,15.1,348,31.0,113.0,64.0,49.0,413.0,3600.0,0.07,0.38,7.4,0.312,Bari,41.1171,16.8719
2015-01-01T18:00,5.7,60,-1.5,1.4,0.0,0.0,0.0,0.0,0.02,1,1026.5,1025.4,28,28,0,0,13.5,344,27.0,10.0,3.0,7.0,52.8,209.55,0.04,0.37,6.7,0.311,Bari,41.1171,16.8719
2015-01-01T19:00,5.4,59,-2.0,1.2,0.0,0.0,0.0,0.0,0.02,0,1027.2,1026.1,14,14,0,0,12.4,343,25.2,0.0,0.0,0.0,0.0,0.0,0.04,0.37,6.2,0.31,Bari,41.1171,16.8719
2015-01-01T20:00,5.4,58,-2.2,1.2,0.0,0.0,0.0,0.0,0.02,1,1027.7,1026.6,21,20,0,0,12.1,343,24.1,0.0,0.0,0.0,0.0,0.0,0.04,0.38,6.0,0.309,Bari,41.1171,16.8719
2015-01-01T21:00,5.8,59,-1.6,1.9,0.0,0.0,0.0,0.0,0.02,0,1028.2,1027.1,5,4,0,0,10.6,342,22.3,0.0,0.0,0.0,0.0,0.0,0.03,0.38,5.9,0.308,Bari,41.1171,16.8719
2015-01-01T22:00,5.9,59,-1.6,2.1,0.0,0.0,0.0,0.0,0.02,0,1028.6,1027.5,1,1,0,0,9.6,340,20.2,0.0,0.0,0.0,0.0,0.0,0.03,0.38,5.8,0.308,Bari,41.1171,16.8719
2015-01-01T23:00,5.9,59,-1.5,2.2,0.0,0.0,0.0,0.0,0.02,0,1028.9,1027.8,0,0,0,0,8.9,333,18.4,0.0,0.0,0.0,0.0,0.0,0.02,0.38,5.7,0.307,Bari,41.1171,16.8719
2015-01-02T00:00,5.9,59,-1.4,2.2,0.0,0.0,0.0,0.0,0.02,0,1028.6,1027.5,0,0,0,0,8.9,317,18.7,0.0,0.0,0.0,0.0,0.0,0.02,0.38,5.6,0.306,Bari,41.1171,16.8719
2015-01-02T01:00,5.8,61,-1.3,1.9,0.0,0.0,0.0,0.0,0.02,0,1028.8,1027.7,1,0,0,0,10.4,314,19.8,0.0,0.0,0.0,0.0,0.0,0.03,0.36,5.5,0.305,Bari,41.1171,16.8719
2015-01-02T02:00,5.7,61,-1.2,1.7,0.0,0.0,0.0,0.0,0.02,0,1029.0,1027.9,1,0,0,0,11.5,311,20.2,0.0,0.0,0.0,0.0,0.0,0.03,0.36,5.5,0.305,Bari,41.1171,16.8719
2015-01-02T03:00,5.6,61,-1.3,1.5,0.0,0.0,0.0,0.0,0.02,0,1028.9,1027.8,1,0,0,0,11.7,313,21.2,0.0,0.0,0.0,0.0,0.0,0.03,0.35,5.5,0.304,Bari,41.1171,16.8719
