time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,sunshine_duration,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,lat,lon
2016-01-01T00:00,11.7,94,10.7,11.6,0.0,0.0,0.0,0.0,0.0,0,1026.1,1022.0,19,14,4,3,2.5,315,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.08,9.1,0.258,Cagliari,39.2238,9.1217
2016-01-01T01:00,11.1,97,10.6,11.0,0.0,0.0,0.0,0.0,0.0,3,1025.9,1021.8,100,100,12,25,1.9,338,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.04,8.7,0.258,Cagliari,39.2238,9.1217
2016-01-01T02:00,9.8,100,9.7,9.4,0.0,0.0,0.0,0.0,0.0,3,1025.5,1021.4,100,100,26,79,2.3,342,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.258,Cagliari,39.2238,9.1217
2016-01-01T03:00,8.8,100,8.8,8.2,0.0,0.0,0.0,0.0,0.0,3,1025.3,1021.2,100,100,51,93,2.5,352,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.258,Cagliari,39.2238,9.1217
2016-01-01T04:00,8.7,100,8.7,7.9,0.0,0.0,0.0,0.0,0.0,3,1025.6,1021.5,100,100,92,97,3.3,354,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.258,Cagliari,39.2238,9.1217
2016-01-01T05:00,8.8,99,8.7,8.0,0.0,0.0,0.0,0.0,0.0,3,1025.0,1020.9,100,96,95,93,3.2,360,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,8.9,0.258,Cagliari,39.2238,9.1217
2016-01-01T06:00,9.3,98,8.9,8.6,0.0,0.0,0.0,0.0,0.0,3,1024.8,1020.7,100,84,96,89,2.9,360,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,9.0,0.258,Cagliari,39.2238,9.1217
2016-01-01T07:00,9.8,96,9.2,9.3,0.0,0.0,0.0,0.0,0.0,3,1024.7,1020.6,99,83,95,54,2.6,16,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.05,9.1,0.258,Cagliari,39.2238,9.1217
2016-01-01T08:00,10.3,94,9.5,9.8,0.0,0.0,0.0,0.0,0.0,3,1024.8,1020.7,97,88,95,0,2.8,50,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.07,9.0,0.258,Cagliari,39.2238,9.1217
2016-01-01T09:00,9.7,96,9.0,9.0,0.0,0.0,0.0,0.0,0.0,3,1025.1,1021.0,94,82,92,0,3.2,63,7.9,1.0,0.0,1.0,0.0,0.0,0.0,0.05,9.1,0.259,Cagliari,39.2238,9.1217
2016-01-01T10:00,10.3,95,9.6,9.6,0.1,0.1,0.0,0.0,0.0,51,1025.5,1021.4,97,83,97,0,4.4,81,8.6,44.0,16.0,28.0,136.6,2296.58,0.02,0.06,9.6,0.26,Cagliari,39.2238,9.1217
2016-01-01T11:00,12.0,91,10.6,11.5,0.5,0.5,0.0,0.0,0.0,53,1025.6,1021.6,100,73,98,0,5.0,111,10.1,92.0,32.0,60.0,121.9,1856.15,0.05,0.12,10.8,0.262,Cagliari,39.2238,9.1217
2016-01-01T12:00,13.3,85,10.9,13.1,0.0,0.0,0.0,0.0,0.0,3,1025.9,1021.9,87,81,65,0,3.4,122,12.2,164.0,61.0,103.0,163.4,3103.03,0.09,0.22,11.9,0.263,Cagliari,39.2238,9.1217
2016-01-01T13:00,14.1,81,10.9,13.8,0.0,0.0,0.0,0.0,0.0,3,1025.7,1021.7,90,84,63,0,4.3,175,14.0,222.0,129.0,93.0,292.1,3600.0,0.12,0.31,12.7,0.264,Cagliari,39.2238,9.1217
2016-01-01T14:00,14.5,80,11.1,14.0,0.0,0.0,0.0,0.0,0.0,3,1024.5,1020.5,90,85,31,53,5.4,188,15.5,214.0,99.0,115.0,213.8,3600.0,0.12,0.33,13.1,0.264,Cagliari,39.2238,9.1217
2016-01-01T15:00,15.0,78,11.2,14.5,0.1,0.1,0.0,0.0,0.0,51,1024.0,1020.0,100,93,22,95,6.0,197,17.3,221.0,92.0,129.0,210.9,3600.0,0.13,0.38,13.6,0.265,Cagliari,39.2238,9.1217
2016-01-01T16:00,14.9,80,11.4,14.6,0.2,0.2,0.0,0.0,0.0,51,1023.7,1019.7,100,98,30,95,5.4,200,18.0,119.0,34.0,85.0,93.7,1012.08,0.08,0.34,13.5,0.266,Cagliari,39.2238,9.1217
2016-01-01T17:00,14.6,83,11.7,14.5,0.3,0.3,0.0,0.0,0.0,51,1023.5,1019.5,100,99,43,98,4.6,198,14.4,74.0,7.0,67.0,28.3,0.0,0.05,0.29,13.3,0.269,Cagliari,39.2238,9.1217
2016-01-01T18:00,14.4,82,11.4,14.1,0.0,0.0,0.0,0.0,0.0,3,1023.5,1019.5,100,94,48,98,5.2,168,12.6,25.0,3.0,22.0,27.8,0.0,0.03,0.3,12.9,0.269,Cagliari,39.2238,9.1217
2016-01-01T19:00,13.9,87,11.8,13.8,0.0,0.0,0.0,0.0,0.0,3,1023.5,1019.5,99,85,25,96,4.8,167,11.5,0.0,0.0,0.0,0.0,0.0,0.02,0.21,12.5,0.27,Cagliari,39.2238,9.1217
2016-01-01T20:00,13.3,92,12.0,13.2,0.0,0.0,0.0,0.0,0.0,3,1023.7,1019.7,92,72,25,75,4.7,171,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,12.2,0.27,Cagliari,39.2238,9.1217
2016-01-01T21:00,12.7,94,11.8,12.6,0.0,0.0,0.0,0.0,0.0,3,1023.7,1019.7,95,42,17,81,4.6,162,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.08,11.5,0.27,Cagliari,39.2238,9.1217
2016-01-01T22:00,12.2,96,11.5,12.0,0.0,0.0,0.0,0.0,0.0,3,1023.8,1019.8,87,51,9,59,4.6,162,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.06,10.8,0.27,Cagliari,39.2238,9.1217
2016-01-01T23:00,11.7,98,11.3,11.4,0.0,0.0,0.0,0.0,0.0,2,1023.5,1019.5,71,47,27,29,4.9,163,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,10.3,0.27,Cagliari,39.2238,9.1217
2016-01-02T00:00,10.9,99,10.8,10.5,0.0,0.0,0.0,0.0,0.0,3,1023.2,1019.1,84,71,72,0,4.3,138,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.1,0.27,Cagliari,39.2238,9.1217
2016-01-02T01:00,10.7,99,10.6,10.1,0.0,0.0,0.0,0.0,0.0,3,1022.8,1018.7,100,98,89,0,5.6,135,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.2,0.27,Cagliari,39.2238,9.1217
2016-01-02T02:00,11.1,98,10.9,10.7,0.0,0.0,0.0,0.0,0.0,3,1022.2,1018.2,98,83,89,0,5.1,135,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,10.4,0.27,Cagliari,39.2238,9.1217
2016-01-02T03:00,11.4,100,11.3,11.0,0.0,0.0,0.0,0.0,0.0,3,1021.9,1017.9,97,80,81,0,5.4,138,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.27,Cagliari,39.2238,9.1217
2016-01-02T04:00,11.2,100,11.2,10.9,0.0,0.0,0.0,0.0,0.0,3,1021.6,1017.6,100,97,61,0,4.6,135,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.27,Cagliari,39.2238,9.1217
2016-01-02T05:00,11.5,100,11.4,11.2,0.0,0.0,0.0,0.0,0.0,3,1021.2,1017.2,98,96,24,0,5.3,152,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.27,Cagliari,39.2238,9.1217
2016-01-02T06:00,11.7,99,11.6,11.5,0.0,0.0,0.0,0.0,0.0,3,1020.7,1016.7,84,82,4,0,4.9,163,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.4,0.271,Cagliari,39.2238,9.1217
2016-01-02T07:00,11.3,99,11.1,11.0,0.0,0.0,0.0,0.0,0.0,3,1020.2,1016.2,100,100,0,0,4.4,145,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,10.4,0.271,Cagliari,39.2238,9.1217
2016-01-02T08:00,11.1,100,11.1,10.7,0.0,0.0,0.0,0.0,0.0,3,1020.1,1016.1,100,100,0,0,5.2,164,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.271,Cagliari,39.2238,9.1217
2016-01-02T09:00,11.5,99,11.4,11.4,0.0,0.0,0.0,0.0,0.0,3,1020.3,1016.3,100,100,0,14,3.8,197,12.6,1.0,0.0,1.0,0.0,0.0,0.0,0.01,10.1,0.271,Cagliari,39.2238,9.1217
2016-01-02T10:00,12.2,99,12.1,12.4,0.0,0.0,0.0,0.0,0.0,3,1020.4,1016.4,100,100,0,24,2.9,173,11.9,51.0,19.0,32.0,162.4,3072.39,0.02,0.01,10.6,0.272,Cagliari,39.2238,9.1217
2016-01-02T11:00,13.3,98,13.0,13.4,0.0,0.0,0.0,0.0,0.0,3,1020.3,1016.3,91,89,1,14,5.6,165,12.6,152.0,87.0,65.0,331.1,3600.0,0.06,0.03,12.3,0.272,Cagliari,39.2238,9.1217
2016-01-02T12:00,14.3,92,13.0,14.0,0.0,0.0,0.0,0.0,0.0,2,1019.8,1015.8,74,70,1,13,8.7,197,16.6,262.0,163.0,99.0,436.1,3600.0,0.12,0.14,13.2,0.272,Cagliari,39.2238,9.1217
2016-01-02T13:00,15.8,83,12.8,15.3,0.0,0.0,0.0,0.0,0.0,2,1019.3,1015.3,60,30,0,42,9.8,216,21.2,359.0,238.0,121.0,537.8,3600.0,0.18,0.31,14.2,0.272,Cagliari,39.2238,9.1217
2016-01-02T14:00,16.8,76,12.5,15.6,0.0,0.0,0.0,0.0,0.0,3,1018.1,1014.2,95,19,0,92,13.7,235,27.4,418.0,309.0,109.0,665.3,3600.0,0.21,0.47,15.1,0.271,Cagliari,39.2238,9.1217
2016-01-02T15:00,17.3,72,12.1,15.4,0.0,0.0,0.0,0.0,0.0,1,1017.3,1013.4,42,16,0,29,17.4,248,29.5,340.0,216.0,124.0,493.2,3600.0,0.19,0.56,15.6,0.27,Cagliari,39.2238,9.1217
2016-01-02T16:00,17.2,69,11.4,14.6,0.0,0.0,0.0,0.0,0.0,2,1016.9,1013.0,53,51,0,2,20.4,261,33.5,247.0,130.0,117.0,356.4,3600.0,0.16,0.61,15.5,0.27,Cagliari,39.2238,9.1217
2016-01-02T17:00,16.6,71,11.3,14.2,0.0,0.0,0.0,0.0,0.0,2,1016.6,1012.7,64,63,5,0,19.8,269,34.6,134.0,46.0,88.0,184.0,3600.0,0.11,0.55,15.1,0.269,Cagliari,39.2238,9.1217
2016-01-02T18:00,15.9,76,11.7,14.3,0.0,0.0,0.0,0.0,0.0,1,1016.4,1012.4,36,23,5,13,14.4,267,33.8,41.0,13.0,28.0,118.9,2047.66,0.06,0.43,14.6,0.269,Cagliari,39.2238,9.1217
2016-01-02T19:00,15.2,82,12.2,14.2,0.0,0.0,0.0,0.0,0.0,1,1016.3,1012.3,42,40,9,2,12.1,258,29.9,0.0,0.0,0.0,0.0,0.0,0.04,0.31,14.0,0.269,Cagliari,39.2238,9.1217
2016-01-02T20:00,14.6,88,12.5,13.2,0.0,0.0,0.0,0.0,0.0,3,1016.7,1012.7,86,71,41,47,15.0,260,25.9,0.0,0.0,0.0,0.0,0.0,0.01,0.21,13.5,0.269,Cagliari,39.2238,9.1217
2016-01-02T21:00,14.3,93,13.2,13.3,0.3,0.3,0.0,0.0,0.0,51,1016.5,1012.5,99,75,35,93,13.8,261,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.12,13.3,0.271,Cagliari,39.2238,9.1217
2016-01-02T22:00,14.3,94,13.4,13.8,0.0,0.0,0.0,0.0,0.0,3,1015.9,1011.9,99,17,77,98,11.4,257,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,13.3,0.271,Cagliari,39.2238,9.1217
2016-01-02T23:00,14.1,95,13.3,13.4,0.0,0.0,0.0,0.0,0.0,3,1015.5,1011.5,100,15,100,100,12.1,260,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,13.2,0.271,Cagliari,39.2238,9.1217
2016-01-03T00:00,13.9,93,12.8,12.7,0.1,0.1,0.0,0.0,0.0,51,1015.4,1011.4,90,12,68,81,14.5,256,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.11,13.0,0.272,Cagliari,39.2238,9.1217
