time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,sunshine_duration,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,lat,lon
2020-01-01T00:00,6.1,79,2.7,3.8,0.0,0.0,0.0,0.0,0.0,0,1031.0,1029.6,2,2,0,0,4.6,18,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.6,0.374,Genova,44.4056,8.9463
2020-01-01T01:00,6.7,74,2.4,4.4,0.0,0.0,0.0,0.0,0.0,0,1030.9,1029.5,0,0,0,0,3.4,18,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5.3,0.374,Genova,44.4056,8.9463
2020-01-01T02:00,5.6,72,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0,1030.5,1029.1,4,4,0,38,3.5,24,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.8,0.374,Genova,44.4056,8.9463
2020-01-01T03:00,6.2,66,0.4,3.7,0.0,0.0,0.0,0.0,0.0,1,1030.3,1028.9,32,4,0,29,3.1,21,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.32,5.2,0.374,Genova,44.4056,8.9463
2020-01-01T04:00,5.5,68,0.0,2.7,0.0,0.0,0.0,0.0,0.0,2,1030.1,1028.7,50,1,0,49,4.1,15,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.29,5.4,0.373,Genova,44.4056,8.9463
2020-01-01T05:00,5.7,65,-0.4,3.2,0.0,0.0,0.0,0.0,0.0,2,1029.9,1028.5,72,2,0,71,1.9,22,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,5.5,0.373,Genova,44.4056,8.9463
2020-01-01T06:00,6.4,59,-1.0,3.6,0.0,0.0,0.0,0.0,0.0,1,1029.8,1028.4,45,5,0,42,4.0,27,13.3,0.0,0.0,0.0,0.0,0.0,0.01,0.4,5.7,0.373,Genova,44.4056,8.9463
2020-01-01T07:00,6.0,62,-0.7,3.0,0.0,0.0,0.0,0.0,0.0,0,1029.7,1028.3,12,3,0,10,5.4,20,16.6,0.0,0.0,0.0,0.0,0.0,0.01,0.35,5.8,0.373,Genova,44.4056,8.9463
2020-01-01T08:00,5.8,63,-0.7,2.9,0.0,0.0,0.0,0.0,0.0,0,1029.8,1028.4,1,1,0,0,4.3,24,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.34,5.8,0.373,Genova,44.4056,8.9463
2020-01-01T09:00,6.6,56,-1.6,3.8,0.0,0.0,0.0,0.0,0.0,0,1030.1,1028.7,1,1,0,0,3.2,27,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,5.7,0.373,Genova,44.4056,8.9463
