time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,sunshine_duration,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,lat,lon
2017-01-01T00:00,-3.2,98,-3.5,-6.4,0.0,0.0,0.0,0.0,0.0,3,1029.8,1010.9,100,93,0,0,4.1,315,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.0,0.425,Milano,45.4642,9.19
2017-01-01T01:00,-3.6,96,-4.1,-6.9,0.0,0.0,0.0,0.0,0.0,3,1029.5,1010.5,100,60,0,0,4.0,280,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.1,0.425,Milano,45.4642,9.19
2017-01-01T02:00,-2.7,97,-3.1,-6.1,0.0,0.0,0.0,0.0,0.0,3,1029.7,1010.8,100,100,0,0,6.1,310,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.7,0.353,Milano,45.4642,9.19
2017-01-01T03:00,-2.4,97,-2.9,-5.9,0.0,0.0,0.0,0.0,0.0,0,1028.8,1009.9,7,7,0,0,6.5,267,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.2,0.355,Milano,45.4642,9.19
2017-01-01T04:00,-2.7,99,-2.9,-6.3,0.0,0.0,0.0,0.0,0.0,1,1028.3,1009.4,48,48,0,0,7.8,257,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.355,Milano,45.4642,9.19
2017-01-01T05:00,-3.0,98,-3.3,-6.6,0.0,0.0,0.0,0.0,0.0,3,1028.0,1009.1,100,100,0,0,7.5,253,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.355,Milano,45.4642,9.19
2017-01-01T06:00,-3.1,98,-3.4,-6.6,0.0,0.0,0.0,0.0,0.0,3,1027.4,1008.5,100,100,0,0,6.2,263,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.355,Milano,45.4642,9.19
2017-01-01T07:00,-3.3,98,-3.6,-6.7,0.0,0.0,0.0,0.0,0.0,3,1027.2,1008.3,100,100,0,0,5.1,278,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.355,Milano,45.4642,9.19
2017-01-01T08:00,-3.6,98,-3.8,-6.9,0.0,0.0,0.0,0.0,0.0,3,1027.0,1008.1,100,100,0,0,5.1,278,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.355,Milano,45.4642,9.19
2017-01-01T09:00,-3.7,97,-4.1,-7.2,0.0,0.0,0.0,0.0,0.0,3,1026.9,1008.0,100,100,0,0,5.5,281,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.355,Milano,45.4642,9.19
2017-01-01T10:00,-3.6,96,-4.1,-7.0,0.0,0.0,0.0,0.0,0.0,3,1026.8,1007.9,100,100,0,0,5.1,278,12.6,17.0,0.0,17.0,0.0,0.0,0.0,0.02,0.0,0.355,Milano,45.4642,9.19
2017-01-01T11:00,-3.1,96,-3.6,-6.3,0.0,0.0,0.0,0.0,0.0,3,1026.8,1007.9,100,100,0,0,4.5,284,13.7,65.0,2.0,63.0,10.9,0.0,0.02,0.02,0.0,0.355,Milano,45.4642,9.19
2017-01-01T12:00,-2.0,96,-2.5,-5.0,0.0,0.0,0.0,0.0,0.0,3,1026.6,1007.8,100,100,0,0,4.0,280,14.0,144.0,21.0,123.0,73.9,416.39,0.04,0.02,0.1,0.355,Milano,45.4642,9.19
2017-01-01T13:00,-0.1,90,-1.6,-3.0,0.0,0.0,0.0,0.0,0.0,3,1025.6,1006.9,97,97,0,0,3.6,270,13.7,217.0,79.0,138.0,227.9,3600.0,0.06,0.06,0.2,0.355,Milano,45.4642,9.19
2017-01-01T14:00,2.6,80,-0.5,-0.2,0.0,0.0,0.0,0.0,0.0,0,1024.6,1006.1,0,1,0,0,3.7,281,13.3,288.0,176.0,112.0,480.4,3600.0,0.1,0.14,0.6,0.354,Milano,45.4642,9.19
2017-01-01T15:00,4.0,78,0.5,1.6,0.0,0.0,0.0,0.0,0.0,0,1023.6,1005.2,2,2,0,0,2.3,231,12.6,291.0,192.0,99.0,560.9,3600.0,0.1,0.18,1.0,0.354,Milano,45.4642,9.19
2017-01-01T16:00,4.3,78,0.9,1.9,0.0,0.0,0.0,0.0,0.0,0,1023.0,1004.7,2,2,0,0,3.1,225,10.1,243.0,179.0,64.0,648.4,3600.0,0.08,0.18,2.1,0.354,Milano,45.4642,9.19
2017-01-01T17:00,3.1,85,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0,1023.1,1004.7,3,3,0,0,4.1,232,8.6,130.0,82.0,48.0,476.6,3600.0,0.03,0.12,2.2,0.353,Milano,45.4642,9.19
2017-01-01T18:00,2.7,86,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0,1023.2,1004.8,0,0,0,0,3.0,256,5.0,24.0,11.0,13.0,156.5,2718.21,0.0,0.11,1.2,0.353,Milano,45.4642,9.19
2017-01-01T19:00,1.7,91,0.4,-0.6,0.0,0.0,0.0,0.0,0.0,0,1023.3,1004.8,7,7,0,0,1.6,243,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.7,0.353,Milano,45.4642,9.19
2017-01-01T20:00,-0.8,95,-1.6,-3.9,0.0,0.0,0.0,0.0,0.0,1,1023.4,1004.7,25,25,0,0,4.9,343,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.6,0.353,Milano,45.4642,9.19
2017-01-01T21:00,-1.9,94,-2.8,-5.2,0.0,0.0,0.0,0.0,0.0,1,1023.2,1004.5,46,46,0,0,5.4,340,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.6,0.353,Milano,45.4642,9.19
2017-01-01T22:00,-1.6,92,-2.8,-4.3,0.0,0.0,0.0,0.0,0.0,3,1023.3,1004.6,90,90,0,0,1.6,333,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.5,0.353,Milano,45.4642,9.19
2017-01-01T23:00,-1.4,89,-3.0,-4.3,0.0,0.0,0.0,0.0,0.0,3,1023.1,1004.4,100,100,0,0,2.6,344,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.5,0.353,Milano,45.4642,9.19
