time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,sunshine_duration,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,lat,lon
2022-01-01T00:00,10.8,73,6.1,8.8,0.0,0.0,0.0,0.0,0.0,0,1027.1,1023.2,2,2,0,0,7.2,252,14.4,0.0,0.0,0.0,0.0,0.0,0.01,0.35,10.4,0.231,Palermo,38.1157,13.3615
2022-01-01T01:00,10.4,78,6.7,8.5,0.0,0.0,0.0,0.0,0.0,0,1026.9,1023.0,0,0,0,0,7.3,237,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.28,10.2,0.231,Palermo,38.1157,13.3615
2022-01-01T02:00,11.0,84,8.4,9.6,0.0,0.0,0.0,0.0,0.0,0,1027.4,1023.5,0,15,0,0,6.9,242,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.21,10.4,0.234,Palermo,38.1157,13.3615
2022-01-01T03:00,10.5,84,7.8,9.1,0.0,0.0,0.0,0.0,0.0,1,1027.4,1023.4,31,31,0,0,5.5,247,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.21,10.2,0.234,Palermo,38.1157,13.3615
2022-01-01T04:00,10.4,84,7.9,9.1,0.0,0.0,0.0,0.0,0.0,1,1027.0,1023.1,23,23,0,0,5.5,238,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,10.1,0.234,Palermo,38.1157,13.3615
2022-01-01T05:00,9.9,86,7.7,8.5,0.0,0.0,0.0,0.0,0.0,1,1027.0,1023.0,33,33,0,0,5.5,247,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,9.9,0.234,Palermo,38.1157,13.3615
2022-01-01T06:00,10.4,83,7.7,9.1,0.0,0.0,0.0,0.0,0.0,1,1026.5,1022.6,32,32,0,0,5.1,231,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,9.8,0.234,Palermo,38.1157,13.3615
2022-01-01T07:00,10.4,83,7.6,9.2,0.0,0.0,0.0,0.0,0.0,0,1026.2,1022.3,16,16,0,0,4.3,228,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.22,9.8,0.234,Palermo,38.1157,13.3615
2022-01-01T08:00,9.7,85,7.3,8.1,0.0,0.0,0.0,0.0,0.0,0,1026.7,1022.7,18,18,0,0,6.5,264,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.18,9.6,0.234,Palermo,38.1157,13.3615
2022-01-01T09:00,10.9,88,8.9,9.9,0.0,0.0,0.0,0.0,0.0,1,1027.2,1023.3,32,32,0,0,5.0,249,15.8,13.0,4.0,9.0,62.2,406.02,0.0,0.16,9.5,0.234,Palermo,38.1157,13.3615
2022-01-01T10:00,13.8,85,11.3,13.5,0.0,0.0,0.0,0.0,0.0,1,1027.6,1023.7,25,25,0,0,5.4,266,15.1,110.0,56.0,54.0,324.4,3600.0,0.05,0.24,10.8,0.233,Palermo,38.1157,13.3615
2022-01-01T11:00,14.9,87,12.7,14.8,0.0,0.0,0.0,0.0,0.0,2,1028.1,1024.2,64,64,0,0,6.6,292,18.7,241.0,152.0,89.0,487.7,3600.0,0.11,0.23,12.5,0.233,Palermo,38.1157,13.3615
2022-01-01T12:00,15.5,86,13.2,15.6,0.0,0.0,0.0,0.0,0.0,1,1027.9,1024.0,43,43,0,0,6.2,306,19.1,328.0,196.0,132.0,474.5,3600.0,0.16,0.24,14.0,0.233,Palermo,38.1157,13.3615
2022-01-01T13:00,15.8,85,13.2,15.8,0.0,0.0,0.0,0.0,0.0,1,1027.3,1023.4,41,41,0,0,6.6,315,19.8,411.0,286.0,125.0,608.6,3600.0,0.21,0.28,15.2,0.232,Palermo,38.1157,13.3615
2022-01-01T14:00,15.2,84,12.6,15.0,0.0,0.0,0.0,0.0,0.0,1,1027.4,1023.5,32,20,0,0,6.9,332,20.5,408.0,273.0,135.0,570.7,3600.0,0.2,0.27,14.8,0.232,Palermo,38.1157,13.3615
