time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,sunshine_duration,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,lat,lon
2020-01-01T00:00,1.9,83,-0.8,-1.5,0.0,0.0,0.0,0.0,0.0,0,1030.0,1022.6,6,0,6,1,7.5,55,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.9,0.348,Roma,41.9028,12.4964
2020-01-01T01:00,1.2,84,-1.2,-1.9,0.0,0.0,0.0,0.0,0.0,0,1030.2,1022.8,12,0,6,7,5.6,50,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.11,2.5,0.349,Roma,41.9028,12.4964
2020-01-01T02:00,0.2,79,-3.1,-3.3,0.0,0.0,0.0,0.0,0.0,1,1029.6,1022.2,45,0,0,57,6.8,65,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.13,3.0,0.348,Roma,41.9028,12.4964
2020-01-01T03:00,0.1,78,-3.2,-3.8,0.0,0.0,0.0,0.0,0.0,3,1029.4,1022.0,85,0,0,85,8.9,69,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.7,0.348,Roma,41.9028,12.4964
2020-01-01T04:00,-0.3,80,-3.3,-4.4,0.0,0.0,0.0,0.0,0.0,1,1029.2,1021.8,43,0,0,43,10.5,49,16.2,0.0,0.0,0.0,0.0,0.0,0.01,0.12,2.3,0.348,Roma,41.9028,12.4964
2020-01-01T05:00,0.1,78,-3.4,-4.0,0.0,0.0,0.0,0.0,0.0,1,1029.2,1021.8,35,0,0,35,10.0,60,20.2,0.0,0.0,0.0,0.0,0.0,0.01,0.14,2.2,0.348,Roma,41.9028,12.4964
2020-01-01T06:00,-0.2,76,-3.8,-4.4,0.0,0.0,0.0,0.0,0.0,2,1029.1,1021.7,58,0,0,58,10.8,60,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.14,2.0,0.348,Roma,41.9028,12.4964
2020-01-01T07:00,-0.3,75,-4.2,-4.5,0.0,0.0,0.0,0.0,0.0,2,1029.3,1021.9,72,0,0,72,10.6,62,18.7,0.0,0.0,0.0,0.0,0.0,0.01,0.15,1.9,0.348,Roma,41.9028,12.4964
2020-01-01T08:00,-0.5,75,-4.4,-4.5,0.0,0.0,0.0,0.0,0.0,0,1029.3,1021.9,8,0,0,8,8.9,58,18.4,0.0,0.0,0.0,0.0,0.0,0.01,0.15,1.8,0.348,Roma,41.9028,12.4964
2020-01-01T09:00,-0.6,75,-4.5,-4.7,0.0,0.0,0.0,0.0,0.0,0,1029.4,1022.0,0,0,0,0,10.0,52,16.6,3.0,1.0,2.0,19.1,0.0,0.01,0.15,1.6,0.348,Roma,41.9028,12.4964
2020-01-01T10:00,2.0,69,-3.1,-2.2,0.0,0.0,0.0,0.0,0.0,0,1029.9,1022.5,0,0,0,0,10.6,35,19.1,90.0,57.0,33.0,461.0,3600.0,0.04,0.22,2.2,0.348,Roma,41.9028,12.4964
2020-01-01T11:00,4.7,65,-1.4,1.0,0.0,0.0,0.0,0.0,0.0,0,1030.5,1023.2,0,0,0,0,9.5,29,20.2,227.0,172.0,55.0,669.8,3600.0,0.08,0.3,3.4,0.348,Roma,41.9028,12.4964
2020-01-01T12:00,7.3,59,-0.3,3.9,0.0,0.0,0.0,0.0,0.0,0,1030.5,1023.2,0,0,0,0,8.2,29,20.2,339.0,275.0,64.0,775.4,3600.0,0.14,0.43,4.9,0.347,Roma,41.9028,12.4964
2020-01-01T13:00,9.4,53,0.2,6.2,0.0,0.0,0.0,0.0,0.0,0,1029.7,1022.5,0,0,0,0,7.4,29,19.1,407.0,338.0,69.0,823.2,3600.0,0.18,0.56,6.4,0.347,Roma,41.9028,12.4964
2020-01-01T14:00,11.0,51,1.1,8.5,0.0,0.0,0.0,0.0,0.0,0,1029.3,1022.2,0,0,0,0,3.5,24,18.4,419.0,350.0,69.0,831.7,3600.0,0.19,0.65,7.8,0.35,Roma,41.9028,12.4964
2020-01-01T15:00,11.8,52,2.2,9.5,0.0,0.0,0.0,0.0,0.0,0,1028.2,1021.1,0,0,0,0,3.0,14,11.2,377.0,310.0,67.0,806.0,3600.0,0.17,0.67,8.7,0.35,Roma,41.9028,12.4964
2020-01-01T16:00,11.7,55,2.9,9.5,0.0,0.0,0.0,0.0,0.0,0,1028.2,1021.1,0,0,0,0,3.6,37,10.4,281.0,222.0,59.0,729.2,3600.0,0.13,0.62,9.1,0.349,Roma,41.9028,12.4964
2020-01-01T17:00,10.0,66,4.0,7.7,0.0,0.0,0.0,0.0,0.0,0,1028.3,1021.1,0,0,0,0,5.6,75,9.0,150.0,106.0,44.0,570.6,3600.0,0.06,0.41,8.7,0.349,Roma,41.9028,12.4964
2020-01-01T18:00,7.7,65,1.6,4.8,0.0,0.0,0.0,0.0,0.0,0,1028.4,1021.2,0,0,0,0,6.5,93,12.2,26.0,14.0,12.0,187.3,2624.73,0.02,0.36,7.6,0.349,Roma,41.9028,12.4964
2020-01-01T19:00,6.5,70,1.5,3.9,0.0,0.0,0.0,0.0,0.0,0,1028.9,1021.6,0,0,0,0,5.0,90,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.29,6.5,0.349,Roma,41.9028,12.4964
2020-01-01T20:00,5.5,77,1.7,2.1,0.0,0.0,0.0,0.0,0.0,0,1029.3,1022.0,0,0,0,0,10.2,45,11.9,0.0,0.0,0.0,0.0,0.0,0.01,0.21,5.6,0.349,Roma,41.9028,12.4964
2020-01-01T21:00,5.0,81,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0,1029.4,1022.1,0,0,0,0,10.7,45,12.6,0.0,0.0,0.0,0.0,0.0,0.01,0.16,4.8,0.349,Roma,41.9028,12.4964
2020-01-01T22:00,6.0,80,2.8,3.4,0.0,0.0,0.0,0.0,0.0,0,1029.4,1022.1,0,0,0,0,6.4,52,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,4.3,0.349,Roma,41.9028,12.4964
2020-01-01T23:00,5.3,83,2.6,2.5,0.0,0.0,0.0,0.0,0.0,0,1029.6,1022.3,0,0,0,0,7.8,56,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.15,4.1,0.349,Roma,41.9028,12.4964
2020-01-02T00:00,3.8,87,1.9,1.0,0.0,0.0,0.0,0.0,0.0,0,1030.0,1022.7,0,0,0,0,6.8,65,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.8,0.35,Roma,41.9028,12.4964
2020-01-02T01:00,2.8,89,1.1,-0.2,0.0,0.0,0.0,0.0,0.0,0,1030.2,1022.8,0,0,0,0,7.4,61,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,3.6,0.35,Roma,41.9028,12.4964
2020-01-02T02:00,3.7,80,0.5,-0.1,0.0,0.0,0.0,0.0,0.0,0,1029.4,1022.1,0,0,0,2,11.8,50,14.8,0.0,0.0,0.0,0.0,0.0,0.01,0.16,3.3,0.348,Roma,41.9028,12.4964
2020-01-02T03:00,2.9,82,0.2,-1.1,0.0,0.0,0.0,0.0,0.0,0,1029.5,1022.1,0,0,0,0,13.0,48,22.7,0.0,0.0,0.0,0.0,0.0,0.01,0.13,3.4,0.348,Roma,41.9028,12.4964
2020-01-02T04:00,2.1,84,-0.4,-1.6,0.0,0.0,0.0,0.0,0.0,0,1029.5,1022.1,0,0,0,0,10.6,55,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.12,3.3,0.348,Roma,41.9028,12.4964
2020-01-02T05:00,1.3,85,-1.0,-2.3,0.0,0.0,0.0,0.0,0.0,0,1029.7,1022.3,0,0,0,0,8.7,60,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.348,Roma,41.9028,12.4964
