time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,sunshine_duration,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,lat,lon
2020-01-01T00:00,0.9,74,-3.4,-2.9,0.0,0.0,0.0,0.0,0.0,0,1030.5,1000.3,0,0,0,0,8.0,262,10.1,0.0,0.0,0.0,0.0,0.0,0.01,0.17,-1.7,0.456,Torino,45.0703,7.6869
2020-01-01T01:00,1.1,72,-3.4,-2.4,0.0,0.0,0.0,0.0,0.0,0,1030.5,1000.4,0,0,0,0,5.9,322,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.19,-1.8,0.456,Torino,45.0703,7.6869
2020-01-01T02:00,2.0,73,-2.4,-0.9,0.0,0.0,0.0,0.0,0.0,0,1030.5,1000.5,7,0,0,22,3.3,96,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19,-2.5,0.456,Torino,45.0703,7.6869
2020-01-01T03:00,0.9,78,-2.6,-2.0,0.0,0.0,0.0,0.0,0.0,2,1030.5,1000.3,59,0,0,59,2.6,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,-2.5,0.456,Torino,45.0703,7.6869
2020-01-01T04:00,-2.5,87,-4.3,-6.4,0.0,0.0,0.0,0.0,0.0,2,1031.0,1000.4,66,0,0,66,8.3,360,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-2.5,0.456,Torino,45.0703,7.6869
2020-01-01T05:00,1.0,74,-3.1,-2.3,0.0,0.0,0.0,0.0,0.0,2,1030.4,1000.2,55,0,0,55,5.0,360,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.17,-2.5,0.456,Torino,45.0703,7.6869
2020-01-01T06:00,2.2,68,-3.2,-1.2,0.0,0.0,0.0,0.0,0.0,1,1030.0,1000.0,48,0,0,48,5.6,220,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.23,-2.4,0.456,Torino,45.0703,7.6869
2020-01-01T07:00,-0.6,74,-4.7,-4.7,0.0,0.0,0.0,0.0,0.0,0,1029.7,999.4,0,0,0,0,9.4,220,12.2,0.0,0.0,0.0,0.0,0.0,0.01,0.15,-2.4,0.455,Torino,45.0703,7.6869
2020-01-01T08:00,-0.6,72,-5.0,-4.6,0.0,0.0,0.0,0.0,0.0,0,1030.0,999.7,0,0,0,0,8.2,195,11.9,0.0,0.0,0.0,0.0,0.0,0.01,0.16,-2.4,0.455,Torino,45.0703,7.6869
2020-01-01T09:00,1.1,65,-4.8,-2.7,0.0,0.0,0.0,0.0,0.0,0,1030.1,1000.0,0,0,0,0,7.3,237,10.4,0.0,0.0,0.0,0.0,0.0,0.01,0.23,-2.4,0.455,Torino,45.0703,7.6869
2020-01-01T10:00,1.5,63,-4.8,-2.0,0.0,0.0,0.0,0.0,0.0,0,1030.6,1000.5,0,0,0,0,4.9,216,9.4,28.0,17.0,11.0,234.7,2800.79,0.01,0.25,-2.4,0.455,Torino,45.0703,7.6869
2020-01-01T11:00,2.5,59,-4.8,-0.6,0.0,0.0,0.0,0.0,0.0,0,1031.2,1001.2,0,0,0,0,2.2,90,9.0,144.0,104.0,40.0,589.8,3600.0,0.04,0.3,-2.2,0.455,Torino,45.0703,7.6869
2020-01-01T12:00,5.0,52,-4.0,2.1,0.0,0.0,0.0,0.0,0.0,0,1031.8,1002.0,0,0,0,0,1.3,34,10.1,258.0,206.0,52.0,733.9,3600.0,0.09,0.42,-2.0,0.455,Torino,45.0703,7.6869
2020-01-01T13:00,7.9,44,-3.8,4.5,0.0,0.0,0.0,0.0,0.0,0,1031.7,1002.2,0,0,0,0,5.1,45,14.8,335.0,276.0,59.0,795.2,3600.0,0.14,0.6,-1.8,0.455,Torino,45.0703,7.6869
2020-01-01T14:00,9.5,44,-2.3,6.6,0.0,0.0,0.0,0.0,0.0,0,1030.5,1001.2,0,0,0,0,2.7,23,20.9,362.0,302.0,60.0,814.1,3600.0,0.16,0.67,-2.6,0.455,Torino,45.0703,7.6869
2020-01-01T15:00,10.4,42,-2.0,6.8,0.0,0.0,0.0,0.0,0.0,0,1030.2,1001.0,0,0,0,0,8.4,25,18.4,339.0,281.0,58.0,801.1,3600.0,0.17,0.73,-2.2,0.455,Torino,45.0703,7.6869
2020-01-01T16:00,9.2,47,-1.7,5.8,0.0,0.0,0.0,0.0,0.0,0,1030.5,1001.2,0,0,0,0,6.4,27,19.1,266.0,213.0,53.0,740.1,3600.0,0.12,0.62,-2.0,0.455,Torino,45.0703,7.6869
2020-01-01T17:00,4.4,65,-1.8,0.8,0.0,0.0,0.0,0.0,0.0,0,1031.1,1001.3,0,0,0,0,7.9,39,12.2,154.0,113.0,41.0,606.3,3600.0,0.06,0.3,-1.8,0.455,Torino,45.0703,7.6869
2020-01-01T18:00,1.4,71,-3.3,-2.4,0.0,0.0,0.0,0.0,0.0,0,1031.8,1001.7,0,0,0,0,8.4,25,13.3,35.0,21.0,14.0,268.1,3102.36,0.02,0.2,-1.8,0.455,Torino,45.0703,7.6869
2020-01-01T19:00,1.0,72,-3.6,-2.5,0.0,0.0,0.0,0.0,0.0,0,1032.1,1001.9,0,0,0,0,5.9,11,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.19,-1.8,0.455,Torino,45.0703,7.6869
2020-01-01T20:00,2.2,67,-3.3,-1.0,0.0,0.0,0.0,0.0,0.0,0,1032.4,1002.3,0,0,0,0,4.2,31,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.23,-1.8,0.455,Torino,45.0703,7.6869
2020-01-01T21:00,0.1,74,-3.9,-3.4,0.0,0.0,0.0,0.0,0.0,0,1032.7,1002.4,0,0,0,0,5.8,22,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16,-1.8,0.455,Torino,45.0703,7.6869
2020-01-01T22:00,-1.6,81,-4.5,-5.3,0.0,0.0,0.0,0.0,0.0,0,1033.3,1002.8,0,0,0,0,6.5,360,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.11,-1.8,0.455,Torino,45.0703,7.6869
2020-01-01T23:00,-2.2,83,-4.7,-5.9,0.0,0.0,0.0,0.0,0.0,0,1034.1,1003.5,0,0,0,0,6.5,3,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-1.8,0.455,Torino,45.0703,7.6869
2020-01-02T00:00,-2.0,82,-4.7,-5.5,0.0,0.0,0.0,0.0,0.0,0,1034.4,1003.8,0,0,0,0,5.9,349,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-1.9,0.455,Torino,45.0703,7.6869
2020-01-02T01:00,-0.8,77,-4.3,-4.1,0.0,0.0,0.0,0.0,0.0,0,1034.7,1004.2,0,0,0,0,4.7,4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,-1.9,0.455,Torino,45.0703,7.6869
2020-01-02T02:00,-2.8,87,-4.6,-6.3,0.0,0.0,0.0,0.0,0.0,0,1034.2,1003.5,0,0,0,0,5.8,360,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-2.5,0.454,Torino,45.0703,7.6869
2020-01-02T03:00,-3.2,86,-5.3,-6.9,0.0,0.0,0.0,0.0,0.0,0,1034.5,1003.8,0,0,0,0,6.4,16,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-2.5,0.454,Torino,45.0703,7.6869
2020-01-02T04:00,-2.6,83,-5.1,-6.3,0.0,0.0,0.0,0.0,0.0,0,1034.8,1004.1,0,0,0,0,6.3,347,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-2.5,0.454,Torino,45.0703,7.6869
