time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,sunshine_duration,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,lat,lon
2026-01-01T00:00,-0.9,94,-1.7,-4.0,0.0,0.0,0.0,0.0,0.0,0,1021.0,1011.8,7,7,0,0,5.1,343,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.4,0.328,Verona,45.4384,10.9916
2026-01-01T01:00,-1.3,97,-1.7,-4.6,0.0,0.0,0.0,0.0,0.0,0,1020.9,1011.7,0,0,0,0,7.1,345,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.1,0.328,Verona,45.4384,10.9916
2026-01-01T02:00,-0.8,92,-2.0,-3.9,0.0,0.0,0.0,0.0,0.0,0,1020.3,1011.1,5,5,0,0,4.8,349,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6,0.331,Verona,45.4384,10.9916
2026-01-01T03:00,-0.7,87,-2.5,-4.1,0.0,0.0,0.0,0.0,0.0,0,1020.2,1011.0,4,4,0,0,6.4,349,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.6,0.331,Verona,45.4384,10.9916
2026-01-01T04:00,-1.7,86,-3.7,-4.9,0.0,0.0,0.0,0.0,0.0,0,1020.2,1011.0,1,1,0,0,4.1,347,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.5,0.332,Verona,45.4384,10.9916
2026-01-01T05:00,-2.2,83,-4.8,-5.2,0.0,0.0,0.0,0.0,0.0,0,1019.8,1010.6,9,9,0,0,2.0,360,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.5,0.332,Verona,45.4384,10.9916
2026-01-01T06:00,-2.4,81,-5.2,-5.4,0.0,0.0,0.0,0.0,0.0,0,1019.6,1010.4,10,10,0,0,1.5,30,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.332,Verona,45.4384,10.9916
2026-01-01T07:00,-2.9,87,-4.7,-5.9,0.0,0.0,0.0,0.0,0.0,0,1019.3,1010.1,9,9,0,0,2.3,61,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.4,0.332,Verona,45.4384,10.9916
2026-01-01T08:00,-3.1,97,-3.5,-6.0,0.0,0.0,0.0,0.0,0.0,1,1019.2,1010.0,43,43,0,0,2.1,75,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.3,0.332,Verona,45.4384,10.9916
2026-01-01T09:00,-3.4,93,-4.3,-6.3,0.0,0.0,0.0,0.0,0.0,1,1019.2,1010.0,48,48,0,1,1.7,41,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.3,0.333,Verona,45.4384,10.9916
2026-01-01T10:00,-1.5,85,-3.7,-4.3,0.0,0.0,0.0,0.0,0.0,1,1019.4,1010.2,34,34,0,0,1.3,45,7.2,37.0,17.0,20.0,199.4,3504.43,0.0,0.08,-0.3,0.333,Verona,45.4384,10.9916
2026-01-01T11:00,0.1,78,-3.4,-2.7,0.0,0.0,0.0,0.0,0.0,2,1019.5,1010.4,55,55,5,0,1.6,174,9.0,130.0,72.0,58.0,364.6,3600.0,0.03,0.14,-0.3,0.333,Verona,45.4384,10.9916
2026-01-01T12:00,0.8,79,-2.5,-2.2,0.0,0.0,0.0,0.0,0.0,3,1019.3,1010.2,100,100,29,9,3.8,175,13.3,196.0,114.0,82.0,388.2,3600.0,0.06,0.14,-0.2,0.333,Verona,45.4384,10.9916
2026-01-01T13:00,1.3,81,-1.7,-1.7,0.0,0.0,0.0,0.0,0.0,3,1018.7,1009.6,100,100,61,0,4.0,180,14.0,191.0,54.0,137.0,153.9,2817.14,0.06,0.13,-0.1,0.333,Verona,45.4384,10.9916
2026-01-01T14:00,1.1,90,-0.4,-1.7,0.0,0.0,0.0,0.0,0.0,3,1017.6,1008.5,100,100,91,0,4.3,204,14.0,127.0,9.0,118.0,24.6,0.0,0.05,0.07,0.7,0.333,Verona,45.4384,10.9916
2026-01-01T15:00,0.9,91,-0.4,-1.6,0.0,0.0,0.0,0.0,0.0,3,1016.7,1007.6,100,100,100,49,2.4,216,13.3,74.0,0.0,74.0,0.0,0.0,0.03,0.06,0.7,0.333,Verona,45.4384,10.9916
2026-01-01T16:00,0.9,92,-0.3,-1.7,0.0,0.0,0.0,0.0,0.0,3,1015.9,1006.8,100,100,100,72,2.7,200,9.4,52.0,0.0,52.0,0.0,0.0,0.03,0.05,0.8,0.333,Verona,45.4384,10.9916
2026-01-01T17:00,0.2,95,-0.5,-2.5,0.0,0.0,0.0,0.0,0.0,3,1015.6,1006.5,100,100,100,15,3.1,211,10.8,35.0,0.0,35.0,0.0,0.0,0.02,0.03,0.9,0.333,Verona,45.4384,10.9916
2026-01-01T18:00,-0.2,99,-0.4,-2.9,0.0,0.0,0.0,0.0,0.0,3,1015.1,1006.0,100,100,100,4,3.5,336,9.0,3.0,0.0,3.0,0.0,0.0,0.01,0.01,0.9,0.333,Verona,45.4384,10.9916
2026-01-01T19:00,0.3,98,-0.1,-2.3,0.0,0.0,0.0,0.0,0.0,3,1014.5,1005.4,100,100,100,92,2.6,286,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.334,Verona,45.4384,10.9916
2026-01-01T20:00,0.1,97,-0.3,-2.9,0.0,0.0,0.0,0.0,0.0,3,1014.9,1005.8,100,100,100,95,5.1,219,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.7,0.321,Verona,45.4384,10.9916
2026-01-01T21:00,0.3,96,-0.3,-2.4,0.0,0.0,0.0,0.0,0.0,3,1014.2,1005.1,100,100,100,82,3.6,330,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.6,0.322,Verona,45.4384,10.9916
2026-01-01T22:00,0.5,98,0.2,-2.1,0.0,0.0,0.0,0.0,0.0,3,1013.7,1004.6,100,100,100,77,3.2,236,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.5,0.322,Verona,45.4384,10.9916
2026-01-01T23:00,0.3,98,0.0,-2.5,0.1,0.1,0.0,0.0,0.0,51,1013.1,1004.0,100,100,100,2,4.5,272,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.5,0.323,Verona,45.4384,10.9916
2026-01-02T00:00,0.4,100,0.4,-2.2,0.0,0.0,0.0,0.0,0.0,3,1012.2,1003.1,100,100,73,0,3.9,283,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.323,Verona,45.4384,10.9916
2026-01-02T01:00,0.6,100,0.5,-2.2,0.0,0.0,0.0,0.0,0.0,3,1011.2,1002.2,100,100,72,0,4.8,290,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.324,Verona,45.4384,10.9916
2026-01-02T02:00,-0.3,100,-0.3,-3.0,0.0,0.0,0.0,0.0,0.0,3,1011.1,1002.0,100,100,54,0,4.1,308,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.333,Verona,45.4384,10.9916
2026-01-02T03:00,0.6,99,0.5,-2.1,0.0,0.0,0.0,0.0,0.0,3,1010.0,1001.0,100,100,83,13,4.5,263,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.333,Verona,45.4384,10.9916
2026-01-02T04:00,0.8,99,0.7,-2.1,0.0,0.0,0.0,0.0,0.0,3,1009.8,1000.8,100,100,100,0,5.9,235,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.333,Verona,45.4384,10.9916
2026-01-02T05:00,1.0,99,0.9,-1.9,0.0,0.0,0.0,0.0,0.0,3,1009.0,1000.0,100,100,51,0,6.1,242,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.333,Verona,45.4384,10.9916
2026-01-02T06:00,1.1,99,0.9,-1.8,0.0,0.0,0.0,0.0,0.0,3,1008.2,999.2,100,100,13,0,6.0,245,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.4,0.333,Verona,45.4384,10.9916
2026-01-02T07:00,1.1,99,0.9,-1.9,0.0,0.0,0.0,0.0,0.0,3,1007.4,998.4,100,100,9,0,6.3,255,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.4,0.333,Verona,45.4384,10.9916
2026-01-02T08:00,0.9,99,0.8,-2.1,0.0,0.0,0.0,0.0,0.0,3,1007.5,998.5,100,100,19,0,6.7,239,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.333,Verona,45.4384,10.9916
2026-01-02T09:00,1.1,100,1.0,-1.7,0.0,0.0,0.0,0.0,0.0,3,1006.7,997.7,100,100,0,0,5.6,276,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.334,Verona,45.4384,10.9916
2026-01-02T10:00,1.7,98,1.4,-1.0,0.0,0.0,0.0,0.0,0.0,3,1006.4,997.4,100,100,0,0,5.4,240,12.6,16.0,0.0,16.0,0.0,0.0,0.01,0.01,1.7,0.334,Verona,45.4384,10.9916
2026-01-02T11:00,2.5,94,1.6,-0.2,0.0,0.0,0.0,0.0,0.0,3,1006.1,997.2,96,96,0,5,5.5,224,14.4,82.0,19.0,63.0,96.0,1079.91,0.03,0.04,2.2,0.334,Verona,45.4384,10.9916
2026-01-02T12:00,3.2,92,2.0,0.5,0.0,0.0,0.0,0.0,0.0,3,1005.8,996.9,92,84,1,48,6.4,223,17.6,194.0,101.0,93.0,343.1,3600.0,0.06,0.06,2.9,0.334,Verona,45.4384,10.9916
2026-01-02T13:00,4.1,87,2.1,1.5,0.0,0.0,0.0,0.0,0.0,3,1005.0,996.1,97,85,2,80,5.6,255,18.0,243.0,139.0,104.0,394.9,3600.0,0.08,0.11,3.7,0.333,Verona,45.4384,10.9916
2026-01-02T14:00,3.0,92,1.8,0.4,0.0,0.0,0.0,0.0,0.0,3,1004.8,995.9,100,100,96,0,5.3,208,17.6,226.0,124.0,102.0,338.2,3600.0,0.07,0.06,3.2,0.346,Verona,45.4384,10.9916
2026-01-02T15:00,2.8,93,1.7,0.7,0.0,0.0,0.0,0.0,0.0,3,1003.5,994.6,100,100,71,0,1.7,77,11.5,98.0,21.0,77.0,62.2,66.38,0.04,0.05,3.4,0.346,Verona,45.4384,10.9916
2026-01-02T16:00,3.0,91,1.7,0.8,0.0,0.0,0.0,0.0,0.0,3,1003.0,994.1,100,100,51,0,1.9,112,9.4,105.0,30.0,75.0,112.6,1576.53,0.04,0.07,3.7,0.345,Verona,45.4384,10.9916
2026-01-02T17:00,2.2,96,1.7,-0.1,0.0,0.0,0.0,0.0,0.0,3,1002.7,993.8,95,95,38,0,2.5,94,8.3,66.0,31.0,35.0,195.6,3600.0,0.02,0.03,3.6,0.345,Verona,45.4384,10.9916
2026-01-02T18:00,1.1,100,1.1,-1.3,0.0,0.0,0.0,0.0,0.0,3,1002.7,993.8,100,100,35,0,3.3,22,6.5,12.0,5.0,7.0,80.1,863.23,0.0,0.0,3.0,0.345,Verona,45.4384,10.9916
2026-01-02T19:00,0.8,99,0.7,-1.6,0.0,0.0,0.0,0.0,0.0,1,1002.6,993.6,45,41,7,0,2.4,13,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.6,0.345,Verona,45.4384,10.9916
2026-01-02T20:00,0.7,98,0.4,-1.7,0.0,0.0,0.0,0.0,0.0,3,1002.8,993.8,99,99,2,0,1.8,11,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.8,0.347,Verona,45.4384,10.9916
2026-01-02T21:00,1.8,93,0.8,-0.6,0.0,0.0,0.0,0.0,0.0,3,1002.4,993.5,100,100,13,0,2.4,17,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.8,0.347,Verona,45.4384,10.9916
