time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2017-01-01,1,6.7,-3.3,0.2,3.0,-7.3,-3.5,0.0,0.0,0.0,0.0,7.3,19.4,254,6.78,0.82,30747.5,Bologna,44.4949,11.3426
2017-01-02,3,6.2,-0.3,2.7,3.6,-3.3,-0.0,0.0,0.0,0.0,0.0,9.5,18.4,316,2.91,0.38,8910.04,Bologna,44.4949,11.3426
2017-01-03,61,7.9,-1.2,3.0,4.9,-5.1,0.1,3.1,3.1,0.0,6.0,9.6,24.8,321,5.13,0.59,23089.81,Bologna,44.4949,11.3426
2017-01-04,3,9.0,-2.6,2.3,6.2,-6.4,-1.1,0.0,0.0,0.0,0.0,12.6,23.8,221,6.94,0.87,30256.85,Bologna,44.4949,11.3426
2017-01-05,51,7.2,-3.7,1.9,1.5,-8.3,-2.7,0.2,0.2,0.0,2.0,19.6,50.8,321,7.08,1.3,30616.04,Bologna,44.4949,11.3426
2017-01-06,1,3.0,-4.2,-1.5,-1.2,-8.7,-6.0,0.0,0.0,0.0,0.0,11.3,27.0,54,7.31,1.06,31518.69,Bologna,44.4949,11.3426
2017-01-07,1,2.1,-5.8,-2.4,-1.7,-10.1,-6.6,0.0,0.0,0.0,0.0,9.3,22.3,150,7.26,0.79,31581.53,Bologna,44.4949,11.3426
2017-01-08,2,1.8,-5.5,-2.9,-1.5,-9.2,-6.7,0.0,0.0,0.0,0.0,9.1,17.3,204,6.32,0.6,31645.25,Bologna,44.4949,11.3426
2017-01-09,0,4.5,-5.7,-1.7,0.9,-9.7,-5.7,0.0,0.0,0.0,0.0,8.9,15.8,192,7.41,0.81,31710.07,Bologna,44.4949,11.3426
2017-01-10,71,1.9,-4.7,-1.9,-1.9,-8.8,-5.8,0.4,0.0,0.28,4.0,15.5,34.9,101,3.51,0.41,12663.8,Bologna,44.4949,11.3426
2017-01-11,3,1.1,-4.8,-2.5,-2.5,-8.6,-6.1,0.0,0.0,0.0,0.0,7.7,20.2,293,7.46,0.62,31845.97,Bologna,44.4949,11.3426
2017-01-12,3,2.9,-3.1,-0.5,-0.9,-6.5,-4.2,0.0,0.0,0.0,0.0,11.6,23.0,65,4.41,0.53,21603.45,Bologna,44.4949,11.3426
2017-01-13,73,2.5,-2.5,0.1,-1.4,-7.0,-4.0,6.5,5.3,0.84,18.0,19.9,47.9,294,1.46,0.38,0.0,Bologna,44.4949,11.3426
2017-01-14,3,8.1,-2.4,1.6,4.3,-6.4,-2.8,0.0,0.0,0.0,0.0,20.2,39.2,249,7.89,1.47,32063.68,Bologna,44.4949,11.3426
2017-01-15,75,4.4,-1.5,0.6,1.9,-5.3,-3.1,7.0,2.2,3.36,15.0,12.2,36.7,284,4.11,0.6,12020.08,Bologna,44.4949,11.3426
2017-01-16,51,3.6,-3.4,-0.0,-1.3,-8.0,-4.8,0.2,0.2,0.0,2.0,19.7,40.3,359,5.0,0.91,18000.0,Bologna,44.4949,11.3426
2017-01-17,51,3.9,0.9,2.1,-2.0,-5.1,-4.0,0.2,0.2,0.0,2.0,27.9,58.7,42,2.08,1.59,0.0,Bologna,44.4949,11.3426
2017-01-18,3,5.5,0.6,2.4,-0.8,-4.4,-2.8,0.0,0.0,0.0,0.0,25.0,51.8,40,5.22,1.35,29245.21,Bologna,44.4949,11.3426
2017-01-19,3,5.5,0.1,2.4,0.8,-3.6,-1.8,0.0,0.0,0.0,0.0,19.2,39.6,44,4.92,0.96,20160.65,Bologna,44.4949,11.3426
2017-01-20,3,4.3,-2.5,0.5,1.5,-6.5,-3.0,0.0,0.0,0.0,0.0,10.5,23.4,288,6.26,0.67,28364.93,Bologna,44.4949,11.3426
2017-01-21,2,4.1,-2.5,-0.1,1.0,-6.1,-3.5,0.0,0.0,0.0,0.0,7.6,18.7,278,6.68,0.66,32400.0,Bologna,44.4949,11.3426
2017-01-22,3,5.0,-2.2,1.3,2.0,-5.8,-2.0,0.0,0.0,0.0,0.0,8.4,18.4,283,5.79,0.64,25342.88,Bologna,44.4949,11.3426
2017-01-23,3,5.6,0.1,2.4,2.5,-3.4,-0.9,0.0,0.0,0.0,0.0,8.7,20.9,281,4.45,0.6,22377.48,Bologna,44.4949,11.3426
2017-01-24,3,8.8,-0.5,3.7,5.4,-3.9,0.2,0.0,0.0,0.0,0.0,9.7,22.0,290,8.1,1.08,32400.0,Bologna,44.4949,11.3426
2017-01-25,3,6.4,-1.3,1.6,3.4,-4.5,-1.7,0.0,0.0,0.0,0.0,9.6,22.3,296,6.45,0.74,25197.47,Bologna,44.4949,11.3426
2017-01-26,3,4.5,-2.7,0.6,1.6,-6.3,-2.6,0.0,0.0,0.0,0.0,9.4,18.0,311,5.28,0.57,26734.25,Bologna,44.4949,11.3426
2017-01-27,3,4.7,-2.6,0.5,1.5,-5.8,-2.8,0.0,0.0,0.0,0.0,7.2,16.9,265,8.26,0.8,32400.0,Bologna,44.4949,11.3426
2017-01-28,3,4.1,-1.8,0.8,1.1,-4.7,-2.1,0.0,0.0,0.0,0.0,7.6,17.3,246,4.51,0.51,12553.51,Bologna,44.4949,11.3426
2017-01-29,3,6.9,-0.9,2.1,4.2,-4.4,-0.6,0.0,0.0,0.0,0.0,9.4,18.0,166,7.82,0.81,30473.26,Bologna,44.4949,11.3426
2017-01-30,3,4.7,-2.6,1.1,2.4,-5.8,-1.6,0.0,0.0,0.0,0.0,6.8,19.4,76,6.79,0.65,23068.27,Bologna,44.4949,11.3426
2017-01-31,51,6.6,1.3,3.5,3.8,-1.4,0.9,0.9,0.9,0.0,6.0,10.4,24.8,6,4.92,0.57,25097.18,Bologna,44.4949,11.3426
2017-02-01,3,9.4,2.0,4.8,7.5,-0.8,2.5,0.0,0.0,0.0,0.0,9.7,21.2,5,4.73,0.6,24682.9,Bologna,44.4949,11.3426
2017-02-02,51,9.1,2.8,5.8,7.8,0.5,3.9,0.8,0.8,0.0,8.0,9.2,19.1,44,3.85,0.51,4942.03,Bologna,44.4949,11.3426
2017-02-03,51,15.0,3.9,8.9,12.8,1.7,6.9,0.8,0.8,0.0,5.0,13.8,43.2,169,7.08,1.06,26382.08,Bologna,44.4949,11.3426
2017-02-04,61,11.3,4.7,8.3,9.7,2.5,5.9,5.8,5.8,0.0,11.0,23.1,58.0,234,3.29,0.55,3598.27,Bologna,44.4949,11.3426
2017-02-05,63,7.7,2.6,5.5,5.5,-0.3,3.3,14.8,14.8,0.0,14.0,12.0,39.2,146,1.61,0.27,0.0,Bologna,44.4949,11.3426
2017-02-06,63,7.5,4.7,5.9,5.0,0.6,2.5,46.8,46.8,0.0,24.0,21.2,47.9,295,1.04,0.25,0.0,Bologna,44.4949,11.3426
2017-02-07,55,11.4,5.5,7.5,9.2,1.4,5.0,2.4,2.4,0.0,7.0,16.3,33.1,108,8.7,1.2,30229.92,Bologna,44.4949,11.3426
2017-02-08,3,9.0,2.0,5.3,5.1,-1.0,2.0,0.0,0.0,0.0,0.0,18.3,38.5,95,7.48,1.08,24475.9,Bologna,44.4949,11.3426
2017-02-09,51,5.4,0.4,3.2,2.3,-2.6,0.3,0.7,0.7,0.0,6.0,12.5,25.2,359,2.39,0.47,0.0,Bologna,44.4949,11.3426
2017-02-10,51,6.2,1.2,4.0,3.8,-1.9,1.4,1.3,1.3,0.0,11.0,8.4,19.1,304,2.71,0.45,0.0,Bologna,44.4949,11.3426
2017-02-11,3,7.3,4.2,5.6,5.3,1.6,3.4,0.0,0.0,0.0,0.0,6.1,16.2,301,4.37,0.61,1434.36,Bologna,44.4949,11.3426
2017-02-12,3,9.0,5.5,6.9,7.4,3.7,5.3,0.0,0.0,0.0,0.0,5.2,15.5,85,4.29,0.64,1676.79,Bologna,44.4949,11.3426
