time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2024-01-01,3,16.6,11.3,13.0,14.0,8.7,11.2,0.0,0.0,0.0,0.0,19.3,33.5,336,7.29,1.46,22872.54,Cagliari,39.2238,9.1217
2024-01-02,3,16.7,9.0,12.0,12.7,6.4,9.3,0.0,0.0,0.0,0.0,21.6,37.8,324,8.61,1.68,32400.0,Cagliari,39.2238,9.1217
2024-01-03,3,18.8,10.9,14.5,15.5,9.4,12.6,0.0,0.0,0.0,0.0,23.8,41.8,309,7.65,1.6,32400.0,Cagliari,39.2238,9.1217
2024-01-04,51,18.7,11.7,14.4,15.0,9.9,12.4,0.2,0.2,0.0,2.0,21.9,37.1,331,7.47,1.69,24212.38,Cagliari,39.2238,9.1217
2024-01-05,53,17.7,11.4,13.8,16.1,8.9,12.4,1.4,1.4,0.0,6.0,12.1,23.0,107,5.15,1.17,8584.28,Cagliari,39.2238,9.1217
2024-01-06,63,13.4,10.7,12.0,13.0,4.8,9.6,33.4,33.4,0.0,20.0,37.3,61.9,307,2.71,0.84,2034.64,Cagliari,39.2238,9.1217
2024-01-07,51,11.3,8.4,9.8,4.5,2.8,3.8,0.1,0.1,0.0,1.0,41.4,72.7,301,7.96,2.14,32400.0,Cagliari,39.2238,9.1217
2024-01-08,51,11.6,8.1,9.5,5.7,3.3,4.5,1.2,1.2,0.0,10.0,35.9,61.2,310,5.28,1.32,15023.17,Cagliari,39.2238,9.1217
2024-01-09,3,12.5,7.2,9.7,7.8,3.7,5.4,0.0,0.0,0.0,0.0,26.3,44.3,327,9.45,1.86,32400.0,Cagliari,39.2238,9.1217
2024-01-10,53,13.7,4.9,9.2,10.6,1.7,6.8,1.7,1.7,0.0,6.0,15.1,25.9,85,6.22,1.12,16938.54,Cagliari,39.2238,9.1217
2024-01-11,3,14.2,6.5,10.4,12.1,4.4,8.6,0.0,0.0,0.0,0.0,10.9,20.5,329,7.92,1.16,29137.0,Cagliari,39.2238,9.1217
2024-01-12,63,14.3,8.4,10.7,11.1,5.7,7.9,12.8,12.8,0.0,6.0,19.6,38.5,329,9.89,1.46,32400.0,Cagliari,39.2238,9.1217
2024-01-13,2,14.1,7.3,9.9,10.4,3.8,6.8,0.0,0.0,0.0,0.0,21.0,36.0,341,9.34,1.47,32400.0,Cagliari,39.2238,9.1217
