time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2025-01-01,3,12.1,0.5,4.9,11.0,-2.0,3.1,0.0,0.0,0.0,0.0,5.0,12.6,121,6.74,0.76,31006.47,Firenze,43.7696,11.2558
2025-01-02,53,12.4,3.9,8.6,9.7,1.6,6.1,2.3,2.3,0.0,12.0,17.7,45.7,184,4.39,0.74,22148.7,Firenze,43.7696,11.2558
2025-01-03,61,12.2,1.1,9.1,10.6,-1.8,6.5,6.8,6.8,0.0,13.0,20.4,46.8,220,2.19,0.55,6251.94,Firenze,43.7696,11.2558
2025-01-04,3,10.2,-2.6,1.9,8.0,-5.9,-0.9,0.0,0.0,0.0,0.0,7.1,14.0,60,7.87,0.82,31553.58,Firenze,43.7696,11.2558
2025-01-05,51,9.8,-1.5,5.3,8.9,-4.5,3.3,2.0,2.0,0.0,11.0,9.4,21.6,148,1.91,0.31,3358.7,Firenze,43.7696,11.2558
2025-01-06,53,15.7,7.7,11.3,13.4,6.0,9.4,1.4,1.4,0.0,8.0,18.7,43.9,172,5.48,0.86,20527.5,Firenze,43.7696,11.2558
2025-01-07,53,12.9,8.6,11.1,11.0,6.5,9.2,3.4,3.4,0.0,10.0,17.3,38.5,189,2.26,0.4,5954.1,Firenze,43.7696,11.2558
2025-01-08,53,13.5,8.5,10.9,11.7,6.4,8.8,1.8,1.8,0.0,10.0,17.1,39.2,192,2.34,0.59,0.0,Firenze,43.7696,11.2558
2025-01-09,63,15.4,11.6,12.8,13.6,9.5,10.8,7.2,7.2,0.0,10.0,21.8,49.7,187,2.98,0.7,11724.08,Firenze,43.7696,11.2558
2025-01-10,53,14.4,8.4,11.5,13.9,6.1,9.9,3.2,3.2,0.0,14.0,16.8,37.4,192,3.09,0.68,9175.39,Firenze,43.7696,11.2558
2025-01-11,3,11.2,5.3,8.1,7.3,0.6,4.7,0.0,0.0,0.0,0.0,21.3,46.4,23,4.63,1.14,8058.54,Firenze,43.7696,11.2558
2025-01-12,1,8.3,3.5,5.3,2.3,-1.6,0.0,0.0,0.0,0.0,0.0,23.8,52.9,21,8.27,1.86,32066.9,Firenze,43.7696,11.2558
2025-01-13,3,5.7,3.9,4.5,-0.4,-4.1,-1.9,0.0,0.0,0.0,0.0,37.6,82.1,35,4.7,1.77,21600.0,Firenze,43.7696,11.2558
2025-01-14,3,4.8,1.8,3.5,-1.3,-3.3,-2.3,0.0,0.0,0.0,0.0,30.6,69.8,29,5.35,1.28,27100.09,Firenze,43.7696,11.2558
2025-01-15,73,8.7,-1.5,2.3,4.7,-5.1,-1.9,1.0,0.3,0.49,2.0,19.1,41.4,25,4.98,1.0,22942.15,Firenze,43.7696,11.2558
2025-01-16,51,7.6,0.3,4.8,3.1,-3.8,0.6,0.2,0.2,0.0,2.0,21.7,47.9,24,4.91,0.88,18147.89,Firenze,43.7696,11.2558
2025-01-17,2,8.3,2.2,5.1,3.0,-1.7,0.2,0.0,0.0,0.0,0.0,25.4,57.2,24,8.19,1.32,32400.0,Firenze,43.7696,11.2558
2025-01-18,53,8.8,3.8,5.5,3.8,-1.8,0.9,2.8,2.8,0.0,7.0,23.2,53.6,26,3.88,1.18,11978.28,Firenze,43.7696,11.2558
2025-01-19,51,11.6,1.8,6.2,8.0,-1.2,2.9,0.1,0.1,0.0,1.0,19.6,43.2,33,8.46,1.11,29716.7,Firenze,43.7696,11.2558
2025-01-20,51,11.8,3.8,7.5,10.3,1.7,5.4,0.6,0.6,0.0,5.0,11.0,22.0,28,5.32,0.74,16888.57,Firenze,43.7696,11.2558
2025-01-21,51,12.1,2.2,6.9,11.2,-0.2,5.2,0.9,0.9,0.0,7.0,6.1,15.8,93,5.93,0.77,27117.33,Firenze,43.7696,11.2558
2025-01-22,53,9.8,4.9,7.5,8.9,3.1,6.0,2.0,2.0,0.0,8.0,10.2,22.3,112,1.58,0.33,0.0,Firenze,43.7696,11.2558
