time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2018-01-01,63,11.7,4.7,8.7,10.6,-1.2,5.8,15.2,15.2,0.0,13.0,30.3,69.5,6,4.76,0.66,18313.03,Genova,44.4056,8.9463
2018-01-02,3,13.9,4.1,8.3,9.8,-0.1,3.9,0.0,0.0,0.0,0.0,27.7,64.4,358,7.38,1.83,31461.08,Genova,44.4056,8.9463
2018-01-03,3,12.8,5.6,9.5,11.1,2.0,6.4,0.0,0.0,0.0,0.0,20.0,48.2,78,5.55,1.19,31517.19,Genova,44.4056,8.9463
2018-01-04,3,14.4,6.0,9.7,12.8,2.6,7.4,0.0,0.0,0.0,0.0,13.2,31.0,52,6.83,1.1,31577.83,Genova,44.4056,8.9463
2018-01-05,51,14.0,8.2,10.9,12.7,6.3,9.7,0.2,0.2,0.0,2.0,20.2,45.0,109,4.02,0.56,24889.88,Genova,44.4056,8.9463
2018-01-06,61,12.4,8.8,10.5,12.5,5.9,9.2,8.2,8.2,0.0,22.0,14.5,32.0,26,2.38,0.35,4673.35,Genova,44.4056,8.9463
2018-01-07,53,11.5,8.8,10.3,9.2,5.6,7.6,2.6,2.6,0.0,9.0,18.4,41.0,357,2.55,0.55,962.4,Genova,44.4056,8.9463
2018-01-08,63,14.6,9.6,12.0,14.3,6.0,9.5,16.5,16.5,0.0,17.0,20.9,70.2,23,3.1,0.95,9177.98,Genova,44.4056,8.9463
2018-01-09,63,12.7,9.6,10.6,9.6,6.0,8.0,61.2,61.2,0.0,24.0,25.4,65.5,146,2.16,0.41,4052.17,Genova,44.4056,8.9463
2018-01-10,63,10.7,9.1,9.8,9.4,7.6,8.2,15.8,15.8,0.0,20.0,14.1,40.3,139,3.92,0.49,20466.5,Genova,44.4056,8.9463
2018-01-11,51,11.2,7.7,9.0,8.2,3.9,5.8,0.7,0.7,0.0,5.0,20.9,48.2,351,5.08,0.85,31547.97,Genova,44.4056,8.9463
2018-01-12,51,11.5,5.8,9.1,7.2,1.5,4.6,0.1,0.1,0.0,1.0,26.7,61.9,355,6.6,1.66,29457.77,Genova,44.4056,8.9463
2018-01-13,1,11.9,5.2,7.3,7.9,0.6,3.2,0.0,0.0,0.0,0.0,19.7,44.6,351,7.53,1.36,32195.45,Genova,44.4056,8.9463
2018-01-14,3,10.2,4.3,6.5,7.6,0.3,2.9,0.0,0.0,0.0,0.0,15.9,33.8,359,5.54,1.08,17349.47,Genova,44.4056,8.9463
2018-01-15,51,9.2,4.3,6.7,7.6,0.2,3.7,2.2,2.2,0.0,8.0,16.6,34.2,3,4.81,0.69,30272.35,Genova,44.4056,8.9463
2018-01-16,51,12.7,6.2,9.2,10.6,3.8,7.1,0.9,0.9,0.0,4.0,17.6,41.8,133,5.52,0.77,31666.77,Genova,44.4056,8.9463
2018-01-17,1,13.7,5.8,9.3,10.2,1.3,5.9,0.0,0.0,0.0,0.0,17.2,46.1,348,8.08,1.74,32325.84,Genova,44.4056,8.9463
2018-01-18,1,10.8,4.1,7.6,6.9,-0.1,4.0,0.0,0.0,0.0,0.0,18.7,45.4,104,7.55,1.38,32364.01,Genova,44.4056,8.9463
2018-01-19,3,13.8,6.7,9.6,13.2,2.8,7.5,0.0,0.0,0.0,0.0,14.3,33.1,44,6.94,1.06,32400.0,Genova,44.4056,8.9463
2018-01-20,3,12.7,6.3,8.5,9.1,0.8,4.3,0.0,0.0,0.0,0.0,19.1,47.2,26,6.51,1.91,26684.81,Genova,44.4056,8.9463
2018-01-21,3,15.7,5.2,9.5,12.3,0.6,5.2,0.0,0.0,0.0,0.0,31.0,74.2,357,8.62,2.13,32400.0,Genova,44.4056,8.9463
2018-01-22,3,12.4,4.8,8.1,9.9,0.2,4.3,0.0,0.0,0.0,0.0,21.2,47.5,6,7.36,1.66,30650.92,Genova,44.4056,8.9463
2018-01-23,3,16.4,5.4,10.2,14.6,1.4,7.4,0.0,0.0,0.0,0.0,17.4,40.0,5,8.63,1.72,32400.0,Genova,44.4056,8.9463
2018-01-24,3,12.4,4.4,8.0,10.8,-0.5,4.8,0.0,0.0,0.0,0.0,25.6,54.7,356,8.36,1.23,32400.0,Genova,44.4056,8.9463
2018-01-25,61,11.9,9.6,10.8,10.3,8.2,9.1,8.9,8.9,0.0,22.0,17.8,40.7,148,3.52,0.5,13396.05,Genova,44.4056,8.9463
2018-01-26,61,12.4,8.6,10.6,10.6,6.4,8.5,15.4,15.4,0.0,24.0,21.2,48.2,117,3.48,0.61,14969.14,Genova,44.4056,8.9463
2018-01-27,61,11.3,6.4,8.2,8.9,2.0,4.7,8.7,8.7,0.0,14.0,22.1,47.2,353,2.53,0.56,5651.87,Genova,44.4056,8.9463
2018-01-28,3,14.0,7.1,10.1,12.9,4.6,8.6,0.0,0.0,0.0,0.0,13.2,36.4,40,9.37,1.21,32454.29,Genova,44.4056,8.9463
2018-01-29,51,12.4,7.4,10.0,10.7,5.3,8.5,0.4,0.4,0.0,3.0,12.4,31.7,129,5.22,0.72,21579.23,Genova,44.4056,8.9463
2018-01-30,51,11.3,8.9,10.1,9.0,7.0,8.3,1.7,1.7,0.0,14.0,13.6,33.8,152,4.31,0.66,12277.06,Genova,44.4056,8.9463
2018-01-31,53,10.6,9.0,9.8,8.8,7.4,8.1,3.6,3.6,0.0,16.0,14.1,33.8,150,3.97,0.56,17550.16,Genova,44.4056,8.9463
2018-02-01,55,10.9,8.0,9.9,8.8,6.0,7.0,7.8,7.8,0.0,23.0,24.9,65.2,195,2.52,0.41,1431.09,Genova,44.4056,8.9463
2018-02-02,53,10.4,7.3,8.5,7.2,3.7,5.6,2.2,2.2,0.0,11.0,19.1,44.6,354,4.26,0.89,77.65,Genova,44.4056,8.9463
2018-02-03,53,9.9,3.5,6.8,7.2,0.3,2.6,2.7,2.7,0.0,11.0,27.0,64.8,353,4.95,1.26,16003.33,Genova,44.4056,8.9463
2018-02-04,55,8.6,2.7,5.5,5.6,-0.5,2.9,5.4,5.4,0.0,10.0,11.2,30.2,71,4.58,0.69,20202.07,Genova,44.4056,8.9463
2018-02-05,73,5.9,3.6,4.8,3.5,-1.5,0.9,17.1,14.7,1.68,24.0,22.7,50.4,348,2.38,0.41,694.77,Genova,44.4056,8.9463
2018-02-06,73,7.4,3.3,4.9,2.0,-2.3,-0.2,14.4,13.5,0.63,14.0,28.2,65.2,350,4.82,0.86,3791.5,Genova,44.4056,8.9463
2018-02-07,71,9.5,3.8,5.7,5.4,-1.9,1.1,3.3,3.1,0.14,7.0,26.5,60.1,354,8.05,1.17,30969.47,Genova,44.4056,8.9463
2018-02-08,51,9.7,3.0,6.6,7.0,0.1,4.0,0.6,0.6,0.0,5.0,13.3,34.9,82,6.85,0.9,25322.11,Genova,44.4056,8.9463
2018-02-09,51,9.7,4.7,6.8,8.0,2.2,4.6,0.2,0.2,0.0,2.0,7.6,24.5,93,9.01,1.09,34011.07,Genova,44.4056,8.9463
2018-02-10,1,10.4,3.5,6.3,5.9,-0.9,2.2,0.0,0.0,0.0,0.0,23.6,56.2,357,10.36,1.5,34847.99,Genova,44.4056,8.9463
2018-02-11,3,10.3,1.3,6.8,7.5,-2.4,3.6,0.0,0.0,0.0,0.0,14.6,32.4,75,9.56,1.38,32234.8,Genova,44.4056,8.9463
2018-02-12,3,11.5,4.7,7.6,7.2,-0.2,3.3,0.0,0.0,0.0,0.0,26.3,64.8,1,10.6,1.78,33755.18,Genova,44.4056,8.9463
2018-02-13,51,9.0,2.7,5.7,6.0,-2.6,1.4,0.1,0.1,0.0,1.0,21.3,50.8,350,10.73,1.76,35099.81,Genova,44.4056,8.9463
2018-02-14,75,8.9,0.6,4.8,4.0,-3.2,0.8,6.9,2.3,3.22,9.0,18.4,44.3,1,12.22,1.63,35183.34,Genova,44.4056,8.9463
2018-02-15,51,8.4,-0.1,4.8,6.0,-4.7,1.7,0.5,0.5,0.0,4.0,10.0,25.9,63,4.33,0.86,7425.93,Genova,44.4056,8.9463
2018-02-16,3,10.6,4.6,8.0,8.8,1.9,6.1,0.0,0.0,0.0,0.0,11.0,27.4,96,6.63,0.94,22065.29,Genova,44.4056,8.9463
2018-02-17,53,9.1,7.2,8.0,7.7,3.7,5.3,2.1,2.1,0.0,9.0,16.6,36.4,351,1.47,0.49,0.0,Genova,44.4056,8.9463
2018-02-18,3,12.1,6.1,8.2,7.0,1.1,3.7,0.0,0.0,0.0,0.0,29.5,68.8,357,6.5,1.46,17968.23,Genova,44.4056,8.9463
2018-02-19,3,11.7,3.8,6.8,7.1,-0.4,2.2,0.0,0.0,0.0,0.0,21.3,50.4,355,12.68,2.26,35846.76,Genova,44.4056,8.9463
2018-02-20,3,11.0,2.0,5.7,6.3,-2.5,1.4,0.0,0.0,0.0,0.0,18.4,44.3,4,12.09,2.07,36891.39,Genova,44.4056,8.9463
2018-02-21,51,9.7,4.1,6.4,4.1,-1.1,1.6,0.1,0.1,0.0,1.0,22.6,54.7,358,10.66,2.18,25372.7,Genova,44.4056,8.9463
2018-02-22,51,8.8,4.8,6.4,4.9,-0.1,2.3,1.1,1.1,0.0,10.0,17.7,41.0,354,7.13,1.58,16657.58,Genova,44.4056,8.9463
2018-02-23,75,10.0,4.5,6.3,5.1,-1.5,0.9,7.3,4.1,2.24,15.0,29.4,68.8,7,9.27,2.03,26335.89,Genova,44.4056,8.9463
2018-02-24,71,10.5,5.1,7.5,4.7,-0.4,2.2,6.1,5.9,0.14,10.0,32.2,74.5,352,8.7,1.77,17725.85,Genova,44.4056,8.9463
2018-02-25,73,7.2,-0.4,3.8,3.0,-6.7,-1.1,4.6,1.3,2.31,17.0,22.3,51.8,356,2.82,1.04,0.0,Genova,44.4056,8.9463
2018-02-26,1,3.6,-2.5,-0.2,-1.5,-8.6,-5.9,0.0,0.0,0.0,0.0,30.3,70.9,19,15.18,2.28,38909.6,Genova,44.4056,8.9463
2018-02-27,3,2.9,-3.0,-0.5,-0.3,-8.5,-5.0,0.0,0.0,0.0,0.0,14.1,34.9,14,12.92,1.69,39011.85,Genova,44.4056,8.9463
