time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2016-01-01,3,6.2,-0.7,2.6,4.3,-3.3,0.1,0.0,0.0,0.0,0.0,5.5,12.2,167,5.58,0.54,30602.93,Milano,45.4642,9.19
2016-01-02,73,1.6,0.4,1.0,-0.7,-2.2,-1.5,7.8,4.8,2.1,16.0,7.3,13.7,84,0.85,0.16,0.0,Milano,45.4642,9.19
2016-01-03,73,4.5,0.1,1.9,1.6,-3.3,-1.0,1.9,1.1,0.56,5.0,9.8,23.4,156,4.5,0.42,19866.84,Milano,45.4642,9.19
2016-01-04,73,3.5,0.3,1.5,0.7,-2.6,-1.4,5.4,1.9,2.45,9.0,13.0,20.5,100,2.86,0.32,7418.5,Milano,45.4642,9.19
2016-01-05,3,3.8,-1.4,1.0,1.5,-4.5,-1.7,0.0,0.0,0.0,0.0,5.6,12.2,76,2.65,0.31,11680.71,Milano,45.4642,9.19
2016-01-06,51,6.5,-0.5,2.7,4.2,-3.9,0.1,0.1,0.1,0.0,1.0,8.5,17.6,266,4.4,0.47,25350.02,Milano,45.4642,9.19
2016-01-07,51,6.6,-2.3,1.8,4.5,-5.3,-0.8,0.5,0.5,0.0,3.0,6.0,14.8,315,3.91,0.46,8782.49,Milano,45.4642,9.19
2016-01-08,3,7.0,-1.7,2.2,4.7,-4.9,-0.5,0.0,0.0,0.0,0.0,7.4,16.6,12,5.35,0.55,25670.65,Milano,45.4642,9.19
2016-01-09,55,5.6,3.5,4.6,3.9,1.4,2.7,8.9,8.9,0.0,17.0,4.6,12.6,270,0.79,0.21,0.0,Milano,45.4642,9.19
2016-01-10,51,7.5,1.9,5.0,5.8,-0.6,3.0,0.5,0.5,0.0,5.0,6.5,24.1,49,2.79,0.36,5951.95,Milano,45.4642,9.19
2016-01-11,61,8.9,3.7,6.7,7.6,1.4,4.8,7.7,7.7,0.0,14.0,10.8,38.9,75,1.74,0.29,5781.29,Milano,45.4642,9.19
2016-01-12,3,10.4,-0.6,3.9,8.0,-3.5,1.2,0.0,0.0,0.0,0.0,7.4,19.8,277,6.54,0.76,30587.16,Milano,45.4642,9.19
2016-01-13,3,9.8,-2.4,2.6,5.4,-6.5,-1.4,0.0,0.0,0.0,0.0,14.8,32.4,277,7.5,1.14,31878.18,Milano,45.4642,9.19
2016-01-14,3,6.4,-2.4,1.4,2.9,-6.2,-2.0,0.0,0.0,0.0,0.0,8.4,15.5,349,4.56,0.61,17809.49,Milano,45.4642,9.19
2016-01-15,2,8.1,-3.2,1.4,2.9,-7.3,-3.0,0.0,0.0,0.0,0.0,16.9,35.3,287,7.76,1.35,32081.65,Milano,45.4642,9.19
2016-01-16,3,7.8,-1.6,2.3,2.5,-6.4,-2.7,0.0,0.0,0.0,0.0,16.7,31.0,328,7.85,1.71,32116.48,Milano,45.4642,9.19
2016-01-17,2,6.2,-3.2,1.2,1.1,-7.9,-3.7,0.0,0.0,0.0,0.0,18.5,31.0,315,7.84,1.55,32154.1,Milano,45.4642,9.19
2016-01-18,3,3.7,-5.0,-1.3,-0.3,-9.5,-5.4,0.0,0.0,0.0,0.0,11.6,16.9,342,7.4,0.98,29588.57,Milano,45.4642,9.19
2016-01-19,3,3.5,-3.7,-1.0,-0.2,-7.9,-4.8,0.0,0.0,0.0,0.0,8.0,13.0,312,7.88,0.84,32237.31,Milano,45.4642,9.19
2016-01-20,1,3.7,-3.2,-0.4,0.4,-7.0,-3.8,0.0,0.0,0.0,0.0,6.5,11.9,11,7.46,0.72,32282.72,Milano,45.4642,9.19
2016-01-21,0,4.4,-4.2,-0.0,1.3,-7.6,-3.3,0.0,0.0,0.0,0.0,7.9,16.9,72,7.23,0.69,32330.54,Milano,45.4642,9.19
2016-01-22,3,4.5,-3.7,-0.2,2.1,-6.9,-3.3,0.0,0.0,0.0,0.0,6.5,13.7,342,5.35,0.55,31147.95,Milano,45.4642,9.19
2016-01-23,3,7.3,-2.2,1.5,4.2,-5.6,-1.6,0.0,0.0,0.0,0.0,8.9,18.7,256,8.16,0.84,32400.0,Milano,45.4642,9.19
2016-01-24,3,9.5,-2.9,2.8,6.8,-6.2,0.1,0.0,0.0,0.0,0.0,7.2,14.8,258,7.84,0.9,32400.0,Milano,45.4642,9.19
2016-01-25,3,8.7,-2.0,2.6,7.1,-5.2,0.0,0.0,0.0,0.0,0.0,7.6,19.1,283,6.35,0.67,32339.97,Milano,45.4642,9.19
2016-01-26,3,10.2,-0.4,4.1,8.8,-3.6,1.6,0.0,0.0,0.0,0.0,7.8,17.6,280,5.54,0.65,23293.35,Milano,45.4642,9.19
2016-01-27,3,10.4,0.2,5.0,9.5,-2.4,3.1,0.0,0.0,0.0,0.0,6.0,14.0,300,4.98,0.62,24190.84,Milano,45.4642,9.19
2016-01-28,3,11.2,3.6,6.8,10.0,1.5,5.0,0.0,0.0,0.0,0.0,6.2,10.8,355,3.47,0.54,13219.16,Milano,45.4642,9.19
2016-01-29,3,13.0,3.8,7.8,11.9,1.9,6.0,0.0,0.0,0.0,0.0,7.3,15.1,329,6.22,0.86,31368.31,Milano,45.4642,9.19
2016-01-30,51,8.9,3.7,6.2,7.7,1.6,4.4,0.2,0.2,0.0,2.0,6.2,13.0,63,1.89,0.37,4082.99,Milano,45.4642,9.19
2016-01-31,3,12.1,3.7,7.2,11.0,1.6,5.4,0.0,0.0,0.0,0.0,6.8,20.2,317,6.83,0.87,31676.35,Milano,45.4642,9.19
2016-02-01,3,14.9,3.0,7.8,13.9,0.1,5.9,0.0,0.0,0.0,0.0,8.7,27.0,261,6.84,0.93,24893.89,Milano,45.4642,9.19
