time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2019-01-01,1,11.7,2.1,5.8,6.5,-1.1,2.1,0.0,0.0,0.0,0.0,20.8,47.2,3,8.31,1.3,31483.08,Napoli,40.8518,14.2681
2019-01-02,3,11.6,0.6,5.5,9.1,-2.9,2.0,0.0,0.0,0.0,0.0,16.9,42.8,37,7.34,1.25,30003.55,Napoli,40.8518,14.2681
2019-01-03,3,6.4,1.0,4.0,0.9,-3.6,-0.9,0.0,0.0,0.0,0.0,23.7,54.7,359,8.47,1.58,31592.87,Napoli,40.8518,14.2681
2019-01-04,2,5.2,-2.0,1.0,-1.0,-6.3,-4.0,0.0,0.0,0.0,0.0,21.6,51.5,5,8.28,1.35,31646.19,Napoli,40.8518,14.2681
2019-01-05,3,7.9,-2.5,2.5,4.6,-6.1,-0.9,0.0,0.0,0.0,0.0,8.7,21.6,7,8.65,1.02,31440.56,Napoli,40.8518,14.2681
2019-01-06,2,11.2,-1.6,4.2,9.5,-5.1,1.1,0.0,0.0,0.0,0.0,14.0,32.4,22,8.66,1.09,30959.98,Napoli,40.8518,14.2681
2019-01-07,51,9.7,3.9,5.8,6.3,0.1,1.9,0.1,0.1,0.0,1.0,18.4,43.2,50,7.87,1.29,31558.46,Napoli,40.8518,14.2681
2019-01-08,61,10.8,-0.4,5.8,8.0,-3.7,3.0,7.2,7.2,0.0,10.0,18.7,49.0,204,6.0,0.74,30880.07,Napoli,40.8518,14.2681
2019-01-09,53,9.8,5.4,7.9,7.4,1.6,5.3,3.9,3.9,0.0,11.0,14.4,34.6,57,3.59,0.71,8209.76,Napoli,40.8518,14.2681
2019-01-10,3,9.8,4.2,6.1,5.9,0.6,2.5,0.0,0.0,0.0,0.0,14.4,34.6,29,6.38,1.21,25087.31,Napoli,40.8518,14.2681
2019-01-11,51,9.2,1.4,4.5,5.0,-2.5,0.5,0.1,0.1,0.0,1.0,17.8,43.6,37,8.99,1.27,32384.68,Napoli,40.8518,14.2681
2019-01-12,1,9.3,0.0,4.0,5.3,-3.3,0.3,0.0,0.0,0.0,0.0,14.4,35.3,357,9.44,1.29,32438.91,Napoli,40.8518,14.2681
2019-01-13,51,10.4,-0.5,5.1,9.2,-3.8,2.6,0.2,0.2,0.0,2.0,8.0,21.6,51,5.18,0.69,20899.66,Napoli,40.8518,14.2681
2019-01-14,61,11.9,2.9,7.2,10.1,0.4,5.1,6.6,6.6,0.0,10.0,12.4,34.2,88,4.57,0.61,14008.9,Napoli,40.8518,14.2681
2019-01-15,1,11.1,1.3,5.5,6.7,-2.2,1.6,0.0,0.0,0.0,0.0,22.7,54.4,33,9.72,1.49,32598.75,Napoli,40.8518,14.2681
2019-01-16,2,12.7,-0.5,6.2,10.3,-4.1,3.3,0.0,0.0,0.0,0.0,9.8,25.6,194,8.22,1.21,31906.97,Napoli,40.8518,14.2681
2019-01-17,53,12.1,4.7,9.2,8.8,1.8,6.1,1.3,1.3,0.0,8.0,20.2,47.5,170,4.47,1.04,18662.54,Napoli,40.8518,14.2681
2019-01-18,61,13.3,7.9,11.1,11.1,6.2,8.9,6.2,6.2,0.0,14.0,21.0,47.5,209,6.25,1.02,27393.28,Napoli,40.8518,14.2681
2019-01-19,53,12.1,4.4,8.9,11.1,2.1,7.3,3.8,3.8,0.0,13.0,10.1,29.2,188,8.27,1.05,32348.27,Napoli,40.8518,14.2681
2019-01-20,53,12.3,2.7,7.7,9.8,-0.3,5.3,1.6,1.6,0.0,6.0,12.1,28.4,94,5.81,0.89,28637.31,Napoli,40.8518,14.2681
2019-01-21,55,11.2,7.6,9.1,9.6,5.3,7.0,5.1,5.1,0.0,18.0,12.8,28.8,98,4.33,0.62,8571.55,Napoli,40.8518,14.2681
2019-01-22,55,11.8,7.5,9.3,8.8,4.3,6.2,7.9,7.9,0.0,22.0,30.5,70.6,203,6.67,0.89,23329.61,Napoli,40.8518,14.2681
2019-01-23,55,9.4,5.1,7.0,6.9,2.4,4.4,5.6,5.6,0.0,14.0,14.6,38.2,196,7.74,0.92,33106.4,Napoli,40.8518,14.2681
2019-01-24,61,8.8,5.7,7.1,6.0,1.9,3.9,12.8,12.8,0.0,22.0,23.7,54.4,63,2.6,0.59,0.0,Napoli,40.8518,14.2681
2019-01-25,55,10.5,4.7,6.9,7.0,1.1,3.3,4.2,4.2,0.0,12.0,27.7,66.2,25,5.79,1.09,11837.36,Napoli,40.8518,14.2681
2019-01-26,3,11.4,3.9,6.2,7.6,-0.2,2.7,0.0,0.0,0.0,0.0,14.0,36.4,31,9.44,1.45,33024.45,Napoli,40.8518,14.2681
2019-01-27,51,12.1,0.1,7.1,9.1,-3.4,3.8,0.4,0.4,0.0,2.0,21.3,47.2,177,8.33,1.38,29400.52,Napoli,40.8518,14.2681
2019-01-28,61,11.8,7.1,10.4,9.2,4.4,6.2,5.8,5.8,0.0,12.0,28.9,67.0,246,8.13,1.86,31402.24,Napoli,40.8518,14.2681
2019-01-29,55,10.0,5.0,7.3,7.9,2.2,4.8,3.2,3.2,0.0,9.0,12.6,29.9,48,6.57,0.85,29951.32,Napoli,40.8518,14.2681
2019-01-30,61,10.4,0.8,5.9,7.7,-2.2,3.0,3.9,3.9,0.0,6.0,21.9,49.3,265,4.91,0.91,4873.33,Napoli,40.8518,14.2681
2019-01-31,53,11.8,6.1,8.8,8.7,0.8,5.0,3.0,3.0,0.0,11.0,28.0,84.6,254,9.91,1.66,34551.9,Napoli,40.8518,14.2681
2019-02-01,61,15.1,11.2,13.3,12.0,6.9,10.0,8.0,8.0,0.0,14.0,31.2,71.3,182,5.0,1.25,13847.12,Napoli,40.8518,14.2681
2019-02-02,63,15.6,10.8,14.0,12.4,8.4,10.8,9.4,9.4,0.0,10.0,28.9,69.8,164,5.54,1.48,5658.24,Napoli,40.8518,14.2681
2019-02-03,53,13.4,9.2,11.5,9.2,6.9,8.1,3.1,3.1,0.0,11.0,23.2,56.9,206,9.3,1.85,34101.94,Napoli,40.8518,14.2681
2019-02-04,51,13.0,5.3,9.2,9.6,2.3,6.1,1.1,1.1,0.0,6.0,26.0,61.6,42,6.48,1.33,17651.59,Napoli,40.8518,14.2681
2019-02-05,51,14.4,7.6,10.2,10.2,3.3,6.3,0.1,0.1,0.0,1.0,22.3,52.2,33,10.26,2.13,32400.0,Napoli,40.8518,14.2681
2019-02-06,3,13.4,7.2,9.3,9.4,3.2,5.4,0.0,0.0,0.0,0.0,22.4,54.4,30,10.68,2.01,33983.33,Napoli,40.8518,14.2681
2019-02-07,0,14.4,5.1,9.1,12.1,2.1,6.6,0.0,0.0,0.0,0.0,13.4,31.7,14,12.43,1.77,35262.25,Napoli,40.8518,14.2681
2019-02-08,51,13.2,6.9,9.9,11.9,4.4,8.7,0.5,0.5,0.0,5.0,8.9,19.4,90,9.03,1.24,27024.9,Napoli,40.8518,14.2681
2019-02-09,3,13.4,2.0,8.2,11.2,-0.9,6.1,0.0,0.0,0.0,0.0,11.3,27.4,303,11.91,1.57,35398.11,Napoli,40.8518,14.2681
2019-02-10,51,13.6,8.1,11.4,10.7,6.0,9.1,0.4,0.4,0.0,3.0,22.0,48.6,206,10.27,1.51,32833.33,Napoli,40.8518,14.2681
2019-02-11,51,13.2,6.4,11.3,9.8,3.4,7.6,1.5,1.5,0.0,7.0,29.4,76.3,250,8.97,1.62,28524.63,Napoli,40.8518,14.2681
2019-02-12,51,12.5,3.4,7.2,7.9,-0.2,3.4,0.1,0.1,0.0,1.0,18.4,52.6,6,12.22,2.02,36039.78,Napoli,40.8518,14.2681
2019-02-13,2,11.2,3.3,6.5,5.2,-0.1,1.7,0.0,0.0,0.0,0.0,26.3,62.6,3,13.58,2.4,36076.17,Napoli,40.8518,14.2681
2019-02-14,3,14.1,3.4,7.8,10.5,0.5,4.8,0.0,0.0,0.0,0.0,14.2,33.8,320,13.05,1.89,36114.21,Napoli,40.8518,14.2681
2019-02-15,3,15.3,2.3,8.4,13.1,-0.8,5.1,0.0,0.0,0.0,0.0,17.6,41.8,41,13.0,2.16,35850.36,Napoli,40.8518,14.2681
2019-02-16,1,13.8,5.4,8.7,11.1,2.6,5.9,0.0,0.0,0.0,0.0,13.1,33.1,3,13.91,2.02,36833.76,Napoli,40.8518,14.2681
2019-02-17,2,13.6,0.5,7.3,11.5,-2.5,5.2,0.0,0.0,0.0,0.0,10.7,27.7,342,14.21,1.8,36861.64,Napoli,40.8518,14.2681
2019-02-18,3,13.2,5.9,9.2,11.9,4.1,7.7,0.0,0.0,0.0,0.0,10.1,25.6,330,10.94,1.49,34721.86,Napoli,40.8518,14.2681
2019-02-19,3,13.1,4.1,8.4,11.3,1.6,6.4,0.0,0.0,0.0,0.0,10.9,25.9,10,10.52,1.48,34032.69,Napoli,40.8518,14.2681
2019-02-20,3,13.6,3.2,7.7,12.1,0.6,5.6,0.0,0.0,0.0,0.0,11.5,27.0,27,13.66,1.82,37690.07,Napoli,40.8518,14.2681
2019-02-21,3,14.6,2.4,7.9,13.6,-0.3,6.1,0.0,0.0,0.0,0.0,11.9,28.1,347,13.99,1.84,37648.06,Napoli,40.8518,14.2681
2019-02-22,3,14.1,4.5,8.7,13.4,2.6,7.3,0.0,0.0,0.0,0.0,9.7,23.4,344,12.93,1.76,33060.17,Napoli,40.8518,14.2681
2019-02-23,71,8.1,3.9,5.1,5.2,-6.2,-1.6,0.4,0.2,0.14,2.0,50.6,123.1,25,14.39,2.45,36935.51,Napoli,40.8518,14.2681
2019-02-24,2,9.9,3.7,6.0,3.7,-2.7,-0.1,0.0,0.0,0.0,0.0,31.2,71.6,31,15.48,2.96,38466.79,Napoli,40.8518,14.2681
2019-02-25,61,12.3,2.5,5.7,7.0,-1.6,1.1,2.2,2.2,0.0,2.0,26.1,62.6,28,12.47,2.22,34514.93,Napoli,40.8518,14.2681
2019-02-26,3,13.0,2.2,7.1,10.3,-1.6,3.9,0.0,0.0,0.0,0.0,13.4,32.8,339,14.9,2.2,35083.02,Napoli,40.8518,14.2681
2019-02-27,3,17.8,1.3,9.2,15.1,-1.7,6.1,0.0,0.0,0.0,0.0,24.6,54.7,35,16.0,2.83,38818.1,Napoli,40.8518,14.2681
2019-02-28,0,14.4,2.2,8.6,12.1,-0.9,6.1,0.0,0.0,0.0,0.0,13.6,33.8,306,16.03,2.18,38887.42,Napoli,40.8518,14.2681
2019-03-01,51,13.8,7.5,10.7,11.3,5.5,8.8,0.6,0.6,0.0,5.0,16.2,37.8,185,11.57,1.6,34648.2,Napoli,40.8518,14.2681
2019-03-02,61,17.1,6.7,11.0,14.3,4.0,9.1,3.3,3.3,0.0,4.0,17.0,39.6,350,14.39,2.1,39025.37,Napoli,40.8518,14.2681
2019-03-03,3,17.3,5.9,11.1,16.7,3.7,9.6,0.0,0.0,0.0,0.0,14.5,34.6,316,16.5,2.4,39093.99,Napoli,40.8518,14.2681
2019-03-04,3,14.5,8.0,11.5,12.8,6.5,9.9,0.0,0.0,0.0,0.0,18.8,42.1,207,13.79,1.91,33640.58,Napoli,40.8518,14.2681
2019-03-05,3,16.0,9.6,13.2,14.0,8.0,11.2,0.0,0.0,0.0,0.0,24.6,53.6,195,15.64,2.27,37171.77,Napoli,40.8518,14.2681
2019-03-06,2,15.7,7.1,11.1,14.4,5.1,9.6,0.0,0.0,0.0,0.0,14.8,34.9,151,16.71,2.24,39298.39,Napoli,40.8518,14.2681
2019-03-07,3,18.2,7.1,12.7,16.1,4.7,10.4,0.0,0.0,0.0,0.0,20.0,45.0,151,16.77,2.81,38640.9,Napoli,40.8518,14.2681
2019-03-08,3,16.2,10.8,13.8,16.0,10.4,13.4,0.0,0.0,0.0,0.0,16.3,42.8,172,14.18,1.97,35058.23,Napoli,40.8518,14.2681
2019-03-09,3,15.6,9.4,12.4,14.6,8.7,11.5,0.0,0.0,0.0,0.0,12.8,32.4,242,14.46,2.0,29504.46,Napoli,40.8518,14.2681
2019-03-10,51,14.9,9.6,12.8,12.9,8.6,11.4,1.2,1.2,0.0,6.0,19.2,44.6,217,11.47,1.63,27385.69,Napoli,40.8518,14.2681
2019-03-11,51,16.0,10.5,13.6,14.2,8.9,11.9,0.5,0.5,0.0,4.0,18.6,44.3,224,11.51,1.81,25270.91,Napoli,40.8518,14.2681
2019-03-12,63,13.0,6.5,9.5,7.7,2.4,4.7,11.3,11.3,0.0,6.0,27.3,63.0,350,16.61,3.28,39600.0,Napoli,40.8518,14.2681
2019-03-13,53,13.5,1.6,9.0,11.3,-1.7,6.1,2.3,2.3,0.0,6.0,17.8,41.0,246,16.63,2.55,29867.69,Napoli,40.8518,14.2681
2019-03-14,61,13.1,7.3,10.4,10.9,4.9,8.3,6.7,6.7,0.0,10.0,17.0,48.6,258,14.71,1.98,39971.89,Napoli,40.8518,14.2681
2019-03-15,3,15.3,5.1,10.8,14.3,2.6,9.1,0.0,0.0,0.0,0.0,15.8,38.9,245,18.41,2.52,40836.12,Napoli,40.8518,14.2681
2019-03-16,3,15.4,9.1,12.4,13.8,8.3,11.4,0.0,0.0,0.0,0.0,14.7,37.1,189,14.54,1.98,33477.5,Napoli,40.8518,14.2681
2019-03-17,51,15.1,9.3,12.0,14.2,8.4,11.2,0.2,0.2,0.0,2.0,13.0,31.7,157,15.42,2.08,37116.84,Napoli,40.8518,14.2681
2019-03-18,51,14.4,9.9,12.4,12.9,8.8,11.1,0.2,0.2,0.0,2.0,15.3,37.4,182,17.34,2.28,39125.7,Napoli,40.8518,14.2681
2019-03-19,61,16.3,6.7,11.7,14.9,4.9,10.0,2.4,2.4,0.0,6.0,13.2,38.5,330,15.7,2.4,35044.4,Napoli,40.8518,14.2681
2019-03-20,61,12.8,9.2,10.5,9.2,5.3,6.9,6.9,6.9,0.0,11.0,24.0,55.1,56,7.35,1.74,7928.08,Napoli,40.8518,14.2681
2019-03-21,3,18.1,9.2,12.6,15.3,4.7,8.7,0.0,0.0,0.0,0.0,23.4,55.1,53,19.21,3.77,42362.46,Napoli,40.8518,14.2681
2019-03-22,2,20.2,9.9,13.9,18.7,6.1,10.8,0.0,0.0,0.0,0.0,19.8,46.4,41,19.93,3.98,42693.14,Napoli,40.8518,14.2681
2019-03-23,3,21.2,8.2,13.9,19.9,5.0,11.2,0.0,0.0,0.0,0.0,12.5,32.0,37,20.06,3.85,42263.02,Napoli,40.8518,14.2681
2019-03-24,0,18.8,6.3,12.5,18.8,3.6,10.8,0.0,0.0,0.0,0.0,9.9,27.4,262,20.58,3.32,42891.79,Napoli,40.8518,14.2681
2019-03-25,2,15.9,9.3,13.0,15.2,7.9,11.9,0.0,0.0,0.0,0.0,14.3,36.7,191,19.93,2.67,42772.01,Napoli,40.8518,14.2681
2019-03-26,61,16.1,9.7,12.5,14.1,5.8,9.9,2.8,2.8,0.0,3.0,25.3,59.0,88,15.02,2.55,35570.57,Napoli,40.8518,14.2681
2019-03-27,61,14.1,9.1,11.1,10.1,4.7,6.9,4.9,4.9,0.0,7.0,22.7,52.9,61,11.08,2.65,25602.13,Napoli,40.8518,14.2681
2019-03-28,51,15.3,6.6,10.9,10.5,3.4,6.8,0.6,0.6,0.0,2.0,22.9,55.4,29,13.63,2.91,29867.22,Napoli,40.8518,14.2681
2019-03-29,0,16.9,4.9,11.0,13.0,1.7,7.1,0.0,0.0,0.0,0.0,22.2,51.8,40,21.7,3.94,43200.0,Napoli,40.8518,14.2681
2019-03-30,0,18.0,2.9,10.4,17.0,-0.2,8.1,0.0,0.0,0.0,0.0,17.6,40.7,336,21.73,3.39,43200.0,Napoli,40.8518,14.2681
2019-03-31,0,16.4,3.7,10.8,15.7,1.0,9.5,0.0,0.0,0.0,0.0,11.8,30.2,253,21.79,3.07,43200.0,Napoli,40.8518,14.2681
2019-04-01,3,19.4,7.6,12.8,20.3,6.2,12.3,0.0,0.0,0.0,0.0,11.7,28.8,288,20.65,3.15,40131.81,Napoli,40.8518,14.2681
2019-04-02,3,16.2,8.0,13.0,14.9,6.7,12.1,0.0,0.0,0.0,0.0,18.1,44.6,175,17.02,2.34,29795.77,Napoli,40.8518,14.2681
2019-04-03,53,14.0,10.1,12.3,11.7,8.8,10.7,2.7,2.7,0.0,9.0,20.2,48.2,158,8.28,1.43,13098.15,Napoli,40.8518,14.2681
2019-04-04,61,15.1,9.7,12.9,11.8,7.6,10.2,6.5,6.5,0.0,15.0,28.5,64.8,144,9.39,1.56,14223.09,Napoli,40.8518,14.2681
2019-04-05,63,15.1,7.7,11.9,14.8,5.2,9.8,7.4,7.4,0.0,4.0,30.8,69.8,256,22.23,3.22,43200.0,Napoli,40.8518,14.2681
2019-04-06,51,17.6,3.5,10.7,17.4,0.9,9.1,0.2,0.2,0.0,1.0,13.6,36.0,239,19.14,2.9,38631.41,Napoli,40.8518,14.2681
2019-04-07,51,15.3,9.8,12.6,13.7,8.6,11.2,0.9,0.9,0.0,7.0,14.8,35.6,213,18.04,2.65,36620.29,Napoli,40.8518,14.2681
2019-04-08,51,15.5,6.9,12.2,14.2,5.4,10.1,0.4,0.4,0.0,4.0,26.0,60.5,277,19.79,2.91,39658.06,Napoli,40.8518,14.2681
2019-04-09,3,16.3,10.9,13.1,15.6,8.3,11.3,0.0,0.0,0.0,0.0,18.7,46.4,281,21.21,3.12,43200.0,Napoli,40.8518,14.2681
2019-04-10,61,14.4,8.1,11.5,13.4,6.4,10.2,6.9,6.9,0.0,13.0,17.9,42.1,176,15.74,2.01,41215.15,Napoli,40.8518,14.2681
2019-04-11,55,14.1,9.6,11.7,12.4,8.3,10.3,6.2,6.2,0.0,20.0,16.3,41.0,164,17.01,2.1,40445.15,Napoli,40.8518,14.2681
2019-04-12,63,15.8,8.2,11.6,14.6,6.6,10.5,11.8,11.8,0.0,12.0,14.6,40.3,122,18.47,2.52,40661.47,Napoli,40.8518,14.2681
2019-04-13,53,16.0,8.7,11.9,16.4,7.3,10.6,1.2,1.2,0.0,3.0,14.8,35.6,9,17.16,2.53,31183.26,Napoli,40.8518,14.2681
2019-04-14,55,15.1,7.1,11.0,14.2,5.1,9.8,4.5,4.5,0.0,10.0,14.1,33.8,132,19.89,2.7,42105.12,Napoli,40.8518,14.2681
2019-04-15,51,17.3,8.1,12.6,14.5,5.2,10.1,0.1,0.1,0.0,1.0,22.7,52.6,43,20.17,3.22,43302.94,Napoli,40.8518,14.2681
2019-04-16,51,17.7,5.4,12.3,17.8,3.5,11.1,0.4,0.4,0.0,3.0,10.7,27.0,316,20.94,3.25,41173.87,Napoli,40.8518,14.2681
2019-04-17,3,18.1,9.1,13.6,18.4,8.7,13.1,0.0,0.0,0.0,0.0,15.6,37.1,285,20.47,3.17,43243.86,Napoli,40.8518,14.2681
