time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2021-01-01,1,14.5,8.3,10.8,11.7,6.3,8.7,0.0,0.0,0.0,0.0,14.0,40.0,184,9.48,1.4,32715.75,Palermo,38.1157,13.3615
2021-01-02,3,14.8,7.4,11.0,11.8,5.0,8.7,0.0,0.0,0.0,0.0,14.1,40.0,193,9.75,1.5,32767.23,Palermo,38.1157,13.3615
2021-01-03,51,13.6,6.3,10.0,11.7,4.0,7.4,0.4,0.4,0.0,1.0,20.4,55.1,206,9.2,1.45,32477.72,Palermo,38.1157,13.3615
2021-01-04,51,12.7,7.7,9.5,9.7,4.8,6.9,0.2,0.2,0.0,1.0,16.3,42.8,238,8.49,1.25,32869.48,Palermo,38.1157,13.3615
2021-01-05,3,14.1,7.6,10.3,10.5,5.0,7.4,0.0,0.0,0.0,0.0,18.0,52.2,207,9.28,1.64,33259.68,Palermo,38.1157,13.3615
2021-01-06,3,16.0,8.6,12.9,15.1,6.1,10.9,0.0,0.0,0.0,0.0,14.2,47.5,193,6.71,1.46,21169.41,Palermo,38.1157,13.3615
2021-01-07,51,19.0,11.4,15.4,18.7,10.9,14.5,0.2,0.2,0.0,2.0,18.9,58.3,209,8.87,1.77,32341.49,Palermo,38.1157,13.3615
2021-01-08,61,18.9,13.5,15.5,19.3,12.1,14.6,5.4,5.4,0.0,8.0,14.5,55.4,193,7.25,1.51,25091.32,Palermo,38.1157,13.3615
2021-01-09,51,23.9,12.5,17.8,21.7,12.1,16.6,0.3,0.3,0.0,1.0,25.5,85.0,186,9.06,2.46,29187.86,Palermo,38.1157,13.3615
2021-01-10,55,21.2,14.5,17.3,22.5,13.8,17.3,3.6,3.6,0.0,7.0,12.2,62.3,277,5.65,1.2,14646.27,Palermo,38.1157,13.3615
2021-01-11,63,14.3,9.9,12.3,14.6,9.0,11.7,5.5,5.5,0.0,8.0,8.6,23.8,320,7.25,1.03,32771.21,Palermo,38.1157,13.3615
