time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2026-01-01,3,9.9,1.0,5.3,7.3,-1.9,2.3,0.0,0.0,0.0,0.0,16.8,34.9,132,4.94,0.94,20474.68,Roma,41.9028,12.4964
2026-01-02,63,14.1,7.6,10.0,11.8,3.9,7.5,22.1,22.1,0.0,18.0,17.8,34.2,175,5.0,0.85,21977.95,Roma,41.9028,12.4964
2026-01-03,61,15.3,10.2,12.9,13.7,8.0,11.3,6.0,6.0,0.0,9.0,14.2,32.8,200,4.41,0.88,15836.98,Roma,41.9028,12.4964
2026-01-04,63,13.5,11.6,12.4,13.1,10.7,11.8,36.7,36.7,0.0,24.0,13.2,32.0,175,1.19,0.3,0.0,Roma,41.9028,12.4964
2026-01-05,63,14.2,10.1,12.0,13.9,9.8,11.4,16.0,16.0,0.0,21.0,13.6,26.3,151,3.03,0.53,4481.7,Roma,41.9028,12.4964
2026-01-06,63,13.5,4.2,8.5,12.4,1.2,6.9,22.6,22.6,0.0,14.0,17.6,43.2,26,2.13,0.37,5647.63,Roma,41.9028,12.4964
2026-01-07,3,7.8,2.1,4.6,5.0,-2.1,1.3,0.0,0.0,0.0,0.0,13.0,28.4,12,6.52,0.86,28607.08,Roma,41.9028,12.4964
2026-01-08,3,7.7,-1.6,3.5,5.0,-4.8,0.3,0.0,0.0,0.0,0.0,10.6,24.8,59,6.7,0.88,28800.0,Roma,41.9028,12.4964
2026-01-09,63,14.9,8.2,11.9,12.8,4.6,9.5,7.8,7.8,0.0,6.0,18.9,48.6,216,5.95,1.21,23761.94,Roma,41.9028,12.4964
2026-01-10,63,10.7,4.5,7.5,7.8,2.3,5.1,17.5,17.5,0.0,10.0,16.6,38.9,274,5.07,0.68,19502.63,Roma,41.9028,12.4964
2026-01-11,2,11.1,0.8,5.0,7.9,-2.7,1.8,0.0,0.0,0.0,0.0,16.0,34.6,23,8.99,1.23,32046.02,Roma,41.9028,12.4964
2026-01-12,3,10.3,-1.8,4.0,8.0,-5.0,1.1,0.0,0.0,0.0,0.0,7.5,16.2,81,8.53,0.99,32113.84,Roma,41.9028,12.4964
2026-01-13,3,14.6,4.8,9.4,12.3,1.8,7.2,0.0,0.0,0.0,0.0,11.2,29.2,134,6.89,1.13,25587.93,Roma,41.9028,12.4964
2026-01-14,3,15.0,9.5,11.8,13.1,7.5,9.9,0.0,0.0,0.0,0.0,11.1,29.5,138,6.81,1.15,32252.46,Roma,41.9028,12.4964
2026-01-15,3,15.5,9.8,11.9,13.7,7.7,10.3,0.0,0.0,0.0,0.0,11.6,27.4,139,5.8,0.98,28800.0,Roma,41.9028,12.4964
2026-01-16,3,13.1,4.5,8.6,12.3,2.1,7.1,0.0,0.0,0.0,0.0,8.0,19.8,53,7.55,0.9,28932.58,Roma,41.9028,12.4964
2026-01-17,3,14.5,4.3,8.6,13.0,1.4,6.7,0.0,0.0,0.0,0.0,8.9,20.5,31,9.01,1.14,32400.0,Roma,41.9028,12.4964
2026-01-18,3,15.5,5.3,9.4,14.7,2.7,7.6,0.0,0.0,0.0,0.0,9.3,23.8,42,8.4,1.1,29018.67,Roma,41.9028,12.4964
2026-01-19,51,14.3,7.8,10.6,12.1,5.4,8.4,1.1,1.1,0.0,5.0,11.5,24.1,58,5.03,1.04,10412.36,Roma,41.9028,12.4964
2026-01-20,3,14.0,7.1,10.4,12.2,4.5,8.3,0.0,0.0,0.0,0.0,10.3,22.0,55,7.36,1.23,28997.01,Roma,41.9028,12.4964
2026-01-21,3,11.2,5.5,7.7,8.7,2.6,5.4,0.0,0.0,0.0,0.0,10.1,21.6,29,5.86,0.89,16513.41,Roma,41.9028,12.4964
2026-01-22,3,12.6,5.2,8.2,10.8,2.9,6.1,0.0,0.0,0.0,0.0,7.4,20.9,33,9.32,1.2,30448.14,Roma,41.9028,12.4964
2026-01-23,61,14.7,2.9,8.8,12.5,0.4,6.7,2.2,2.2,0.0,3.0,14.6,32.8,148,8.51,1.32,27215.21,Roma,41.9028,12.4964
