time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2023-01-01,3,8.7,1.8,5.3,6.8,-1.0,3.2,0.0,0.0,0.0,0.0,6.5,15.1,193,3.18,0.41,14471.9,Torino,45.0703,7.6869
2023-01-02,3,8.7,5.3,6.6,7.6,3.2,5.1,0.0,0.0,0.0,0.0,6.7,13.7,196,1.33,0.25,0.0,Torino,45.0703,7.6869
2023-01-03,51,9.4,6.2,7.5,8.6,4.4,6.3,0.4,0.4,0.0,4.0,5.4,9.4,196,2.65,0.36,7932.98,Torino,45.0703,7.6869
2023-01-04,3,10.8,3.4,6.7,9.6,1.1,5.1,0.0,0.0,0.0,0.0,6.3,11.5,189,5.76,0.65,29011.66,Torino,45.0703,7.6869
2023-01-05,3,10.7,2.7,5.5,9.5,0.6,3.7,0.0,0.0,0.0,0.0,6.9,14.0,231,5.34,0.58,26849.51,Torino,45.0703,7.6869
2023-01-06,3,6.7,1.0,4.3,5.5,-1.4,2.3,0.0,0.0,0.0,0.0,7.2,14.8,88,3.82,0.39,18622.21,Torino,45.0703,7.6869
2023-01-07,3,6.1,2.9,4.2,4.1,0.7,2.2,0.0,0.0,0.0,0.0,6.5,15.1,203,2.62,0.32,1917.11,Torino,45.0703,7.6869
2023-01-08,61,7.0,4.6,5.3,5.3,2.5,3.4,5.9,5.9,0.0,15.0,7.4,15.1,216,1.45,0.25,0.0,Torino,45.0703,7.6869
2023-01-09,3,12.0,1.6,5.3,9.0,-1.5,2.2,0.0,0.0,0.0,0.0,17.4,32.8,225,6.79,1.19,31343.76,Torino,45.0703,7.6869
2023-01-10,2,13.0,-0.5,5.5,10.5,-3.9,1.8,0.0,0.0,0.0,0.0,13.8,25.9,252,7.42,1.38,31681.15,Torino,45.0703,7.6869
2023-01-11,3,8.7,-1.8,3.3,5.6,-5.7,0.0,0.0,0.0,0.0,0.0,7.7,13.3,206,6.34,0.8,26160.11,Torino,45.0703,7.6869
