time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2026-01-01,3,3.5,-3.4,0.2,1.0,-6.6,-2.7,0.0,0.0,0.0,0.0,6.1,12.6,339,4.99,0.47,21793.93,Venezia,45.4408,12.3155
2026-01-02,51,4.3,0.3,2.4,2.0,-2.5,-0.2,0.3,0.3,0.0,3.0,4.6,13.0,287,2.56,0.35,3600.0,Venezia,45.4408,12.3155
2026-01-03,51,8.6,-1.6,3.3,5.7,-5.0,0.2,0.1,0.1,0.0,1.0,11.5,25.2,4,6.36,0.72,28800.0,Venezia,45.4408,12.3155
2026-01-04,3,7.6,1.3,4.0,2.5,-3.5,-0.9,0.0,0.0,0.0,0.0,23.2,42.8,44,5.95,1.37,26946.38,Venezia,45.4408,12.3155
2026-01-05,3,4.2,-0.0,1.8,0.3,-5.6,-3.0,0.0,0.0,0.0,0.0,22.0,42.1,32,3.09,1.07,8144.67,Venezia,45.4408,12.3155
2026-01-06,73,2.3,-0.4,1.7,-2.3,-4.6,-3.2,1.5,0.2,0.91,8.0,19.8,38.2,40,1.77,0.79,0.0,Venezia,45.4408,12.3155
2026-01-07,3,4.8,-1.2,0.8,1.5,-4.9,-3.0,0.0,0.0,0.0,0.0,13.0,24.1,14,6.52,0.71,27981.86,Venezia,45.4408,12.3155
2026-01-08,3,3.2,-4.6,-1.4,-0.3,-8.1,-4.8,0.0,0.0,0.0,0.0,7.6,15.1,7,6.88,0.61,29615.33,Venezia,45.4408,12.3155
2026-01-09,71,4.5,-2.5,0.6,1.1,-6.2,-3.1,0.1,0.0,0.07,1.0,11.4,21.6,341,2.28,0.48,5972.32,Venezia,45.4408,12.3155
2026-01-10,3,8.8,-1.6,2.3,5.6,-5.1,-0.9,0.0,0.0,0.0,0.0,12.4,24.1,310,6.68,0.74,29536.88,Venezia,45.4408,12.3155
2026-01-11,3,7.4,-2.1,2.0,3.2,-5.4,-1.4,0.0,0.0,0.0,0.0,24.2,47.2,55,6.88,0.68,31381.41,Venezia,45.4408,12.3155
