time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,city,lat,lon
2020-01-01,1,9.1,0.0,3.9,7.4,-3.7,1.0,0.0,0.0,0.0,0.0,9.2,18.0,65,6.51,0.72,30836.23,Verona,45.4384,10.9916
2020-01-02,2,9.0,0.7,3.6,7.1,-2.9,0.7,0.0,0.0,0.0,0.0,9.1,18.4,304,6.66,0.69,29994.4,Verona,45.4384,10.9916
2020-01-03,3,7.1,-0.1,3.1,5.2,-3.8,0.4,0.0,0.0,0.0,0.0,9.3,13.3,324,5.67,0.57,28712.52,Verona,45.4384,10.9916
2020-01-04,2,10.7,0.5,4.1,8.6,-2.4,1.4,0.0,0.0,0.0,0.0,8.4,17.6,324,6.49,0.74,31121.01,Verona,45.4384,10.9916
2020-01-05,1,14.1,0.6,6.2,11.8,-2.7,3.1,0.0,0.0,0.0,0.0,11.6,23.8,32,6.81,1.06,31189.19,Verona,45.4384,10.9916
2020-01-06,1,7.1,0.1,3.8,4.7,-3.1,1.0,0.0,0.0,0.0,0.0,7.7,17.6,57,5.97,0.62,31261.61,Verona,45.4384,10.9916
2020-01-07,2,3.7,-1.6,0.6,1.3,-4.7,-2.2,0.0,0.0,0.0,0.0,6.6,15.1,303,5.59,0.48,30253.13,Verona,45.4384,10.9916
2020-01-08,2,6.7,-1.5,2.0,4.1,-5.2,-0.9,0.0,0.0,0.0,0.0,8.2,15.8,322,6.53,0.63,31418.64,Verona,45.4384,10.9916
2020-01-09,2,7.9,1.6,4.0,5.1,-1.8,1.0,0.0,0.0,0.0,0.0,6.6,18.4,297,6.93,0.75,31503.01,Verona,45.4384,10.9916
2020-01-10,3,7.3,-0.4,3.4,5.2,-3.7,0.8,0.0,0.0,0.0,0.0,7.6,13.0,341,5.2,0.54,31591.13,Verona,45.4384,10.9916
2020-01-11,0,10.9,-0.4,4.3,9.7,-3.3,1.7,0.0,0.0,0.0,0.0,15.3,29.2,24,6.63,0.86,31672.59,Verona,45.4384,10.9916
2020-01-12,1,8.6,0.7,4.8,6.1,-2.1,1.9,0.0,0.0,0.0,0.0,15.9,29.9,43,7.32,0.98,31743.68,Verona,45.4384,10.9916
2020-01-13,3,7.0,-0.4,2.2,4.4,-3.9,-0.6,0.0,0.0,0.0,0.0,7.7,15.8,347,6.95,0.7,31815.43,Verona,45.4384,10.9916
2020-01-14,3,4.4,-1.1,1.5,2.2,-4.2,-0.9,0.0,0.0,0.0,0.0,9.7,22.3,290,2.97,0.33,9730.53,Verona,45.4384,10.9916
2020-01-15,3,5.4,1.3,3.7,3.1,-1.4,1.4,0.0,0.0,0.0,0.0,6.4,16.6,264,2.96,0.38,4943.43,Verona,45.4384,10.9916
2020-01-16,3,8.6,1.0,4.3,6.7,-1.9,1.9,0.0,0.0,0.0,0.0,8.7,15.1,300,7.16,0.74,32038.89,Verona,45.4384,10.9916
2020-01-17,3,11.0,2.1,5.3,8.9,-0.5,2.9,0.0,0.0,0.0,0.0,7.7,17.3,329,7.39,0.85,32116.92,Verona,45.4384,10.9916
2020-01-18,55,8.5,5.1,7.0,6.9,3.2,4.7,10.9,10.9,0.0,17.0,18.6,36.0,26,1.6,0.41,0.0,Verona,45.4384,10.9916
2020-01-19,51,9.7,2.3,5.6,7.8,-0.9,2.8,0.1,0.1,0.0,1.0,16.5,31.0,23,6.41,0.96,29500.11,Verona,45.4384,10.9916
2020-01-20,3,9.9,2.5,5.4,6.2,-2.0,1.1,0.0,0.0,0.0,0.0,16.9,32.0,46,7.97,1.82,32359.72,Verona,45.4384,10.9916
2020-01-21,3,8.3,-2.1,2.3,5.9,-6.0,-1.0,0.0,0.0,0.0,0.0,10.6,20.9,351,7.55,0.93,32400.0,Verona,45.4384,10.9916
2020-01-22,3,8.1,-0.8,2.7,5.1,-4.8,-0.8,0.0,0.0,0.0,0.0,10.8,22.0,295,7.96,0.96,30795.83,Verona,45.4384,10.9916
2020-01-23,0,9.7,-1.7,3.0,6.7,-5.0,-0.2,0.0,0.0,0.0,0.0,11.3,25.9,93,8.38,0.95,32400.0,Verona,45.4384,10.9916
2020-01-24,3,7.2,-1.5,2.6,4.9,-4.9,-0.4,0.0,0.0,0.0,0.0,8.1,20.9,41,7.72,0.84,32400.0,Verona,45.4384,10.9916
2020-01-25,51,7.3,1.2,4.4,5.5,-1.8,2.3,0.1,0.1,0.0,1.0,5.5,13.0,317,2.1,0.36,0.0,Verona,45.4384,10.9916
2020-01-26,3,9.4,3.0,6.5,7.8,0.5,4.7,0.0,0.0,0.0,0.0,5.6,13.3,296,4.27,0.57,20611.95,Verona,45.4384,10.9916
2020-01-27,51,9.9,1.5,5.0,8.3,-1.1,2.8,0.1,0.1,0.0,1.0,6.8,15.1,15,8.71,0.95,32400.0,Verona,45.4384,10.9916
2020-01-28,53,10.0,4.8,7.3,7.9,2.2,5.0,2.0,2.0,0.0,8.0,14.3,39.6,298,3.75,0.56,9873.02,Verona,45.4384,10.9916
2020-01-29,1,12.1,2.0,5.9,9.6,-0.9,3.1,0.0,0.0,0.0,0.0,12.3,27.7,308,9.09,1.14,32400.0,Verona,45.4384,10.9916
2020-01-30,3,11.4,2.0,5.6,8.5,-0.7,3.0,0.0,0.0,0.0,0.0,11.1,25.2,75,8.74,1.1,32400.0,Verona,45.4384,10.9916
2020-01-31,3,10.4,2.5,5.9,9.0,-0.3,3.6,0.0,0.0,0.0,0.0,8.0,17.6,355,9.21,1.04,32400.0,Verona,45.4384,10.9916
2020-02-01,51,9.1,6.2,7.7,7.3,4.3,6.0,0.2,0.2,0.0,2.0,7.3,15.1,264,3.3,0.49,10600.71,Verona,45.4384,10.9916
2020-02-02,3,9.3,2.0,5.7,8.1,-0.5,3.8,0.0,0.0,0.0,0.0,7.7,17.3,15,7.25,0.75,32400.0,Verona,45.4384,10.9916
2020-02-03,3,10.3,4.6,6.5,8.7,1.7,4.3,0.0,0.0,0.0,0.0,10.7,23.4,110,9.03,0.95,32400.0,Verona,45.4384,10.9916
2020-02-04,51,16.3,2.8,7.8,12.8,-1.5,4.3,0.1,0.1,0.0,1.0,21.1,49.3,298,9.9,1.82,32489.78,Verona,45.4384,10.9916
2020-02-05,53,13.0,1.2,6.1,9.7,-3.2,1.8,1.0,1.0,0.0,3.0,17.5,32.8,12,10.29,2.15,32444.02,Verona,45.4384,10.9916
2020-02-06,1,10.7,-0.5,4.4,6.4,-5.0,0.4,0.0,0.0,0.0,0.0,14.2,30.2,319,10.41,1.73,33131.07,Verona,45.4384,10.9916
2020-02-07,0,9.4,-1.3,3.1,6.5,-4.7,-0.0,0.0,0.0,0.0,0.0,7.2,17.3,62,10.58,1.2,33040.59,Verona,45.4384,10.9916
2020-02-08,3,10.0,-1.4,3.7,7.8,-5.0,0.7,0.0,0.0,0.0,0.0,6.2,14.8,343,10.32,1.27,31592.43,Verona,45.4384,10.9916
2020-02-09,3,9.4,0.6,4.9,7.0,-2.6,2.3,0.0,0.0,0.0,0.0,7.3,22.7,296,9.35,1.08,32642.11,Verona,45.4384,10.9916
2020-02-10,51,10.9,4.1,7.6,8.6,1.4,5.4,0.7,0.7,0.0,6.0,17.1,35.6,292,4.45,0.71,7552.3,Verona,45.4384,10.9916
2020-02-11,1,17.7,3.3,9.5,15.2,0.5,6.0,0.0,0.0,0.0,0.0,27.9,56.9,299,11.0,2.39,34080.83,Verona,45.4384,10.9916
2020-02-12,1,14.3,2.9,7.2,11.8,-0.6,4.3,0.0,0.0,0.0,0.0,11.4,27.7,357,10.96,1.62,34334.13,Verona,45.4384,10.9916
2020-02-13,3,12.4,3.0,7.1,9.8,-0.9,4.1,0.0,0.0,0.0,0.0,10.2,20.2,45,10.75,1.66,28931.63,Verona,45.4384,10.9916
2020-02-14,61,15.2,3.3,8.1,11.9,0.7,5.6,5.0,5.0,0.0,4.0,13.3,35.6,308,11.67,1.63,35534.83,Verona,45.4384,10.9916
2020-02-15,3,14.0,2.2,7.7,11.7,-1.2,4.9,0.0,0.0,0.0,0.0,11.9,26.3,64,10.15,1.56,35081.2,Verona,45.4384,10.9916
2020-02-16,3,12.1,3.0,7.2,10.9,0.9,5.5,0.0,0.0,0.0,0.0,5.9,16.2,317,10.56,1.32,32008.3,Verona,45.4384,10.9916
2020-02-17,51,11.1,5.0,8.3,9.9,2.5,6.9,1.7,1.7,0.0,12.0,7.8,14.8,282,4.18,0.64,2476.23,Verona,45.4384,10.9916
2020-02-18,51,14.1,7.5,9.7,12.5,5.3,8.5,0.1,0.1,0.0,1.0,10.7,22.3,127,7.99,1.09,34270.61,Verona,45.4384,10.9916
2020-02-19,51,12.2,4.3,7.7,10.2,0.4,5.4,0.3,0.3,0.0,3.0,13.2,34.2,353,7.21,1.09,29740.63,Verona,45.4384,10.9916
2020-02-20,1,12.8,0.6,6.8,10.0,-2.9,3.6,0.0,0.0,0.0,0.0,11.7,23.0,31,12.43,1.86,37733.32,Verona,45.4384,10.9916
2020-02-21,1,12.3,-0.4,6.2,9.8,-3.1,3.5,0.0,0.0,0.0,0.0,9.8,20.9,79,12.58,1.55,37916.66,Verona,45.4384,10.9916
2020-02-22,3,13.1,3.8,7.7,10.9,0.5,4.9,0.0,0.0,0.0,0.0,8.0,18.0,33,12.86,1.85,38099.77,Verona,45.4384,10.9916
2020-02-23,3,15.3,2.8,8.7,12.6,-0.3,6.3,0.0,0.0,0.0,0.0,19.9,41.4,274,11.52,1.56,37662.97,Verona,45.4384,10.9916
2020-02-24,3,13.9,5.8,8.9,11.1,3.7,6.7,0.0,0.0,0.0,0.0,16.7,36.0,101,11.02,1.38,36276.11,Verona,45.4384,10.9916
