date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-12-08,3.8,2.1,8.3,,,284.0,13.5,,,
2015-12-09,5.6,3.6,8.5,,,,8.7,,,
2015-12-10,4.7,2.7,10.1,,,,13.9,,,
2015-12-11,3.0,1.4,4.6,,,192.0,14.1,,,
2015-12-12,2.7,0.6,8.0,,,99.0,7.1,,,
2015-12-13,2.0,1.0,3.0,,,188.0,8.1,,,
2015-12-14,2.0,0.7,4.0,,,207.0,7.5,,,
2015-12-15,2.5,1.9,3.3,,,201.0,11.0,,,
2015-12-17,6.6,3.6,10.6,,,,4.9,,,
2015-12-19,4.7,3.6,6.4,,,181.0,8.9,,,
2015-12-20,5.1,3.4,9.0,,,156.0,7.6,,,
2015-12-21,5.0,4.4,5.5,,,186.0,12.6,,,
2015-12-22,4.8,4.0,5.9,,,183.0,10.5,,,
2015-12-23,3.2,1.7,4.3,,,212.0,8.9,,,
2015-12-24,2.8,2.1,3.8,,,243.0,8.6,,,
2015-12-25,3.9,3.0,7.0,,,,10.0,,,
2015-12-26,6.6,4.0,10.6,,,,10.6,,,
2015-12-27,8.1,6.6,12.2,,,,8.4,,,
2015-12-28,8.2,2.8,11.6,,,271.0,8.9,,,
2015-12-29,5.5,1.0,9.7,,,,9.7,,,
2015-12-31,-1.7,-2.6,-0.8,,,336.0,17.7,,,
2016-01-01,1.1,-1.5,4.4,,,212.0,9.2,,,
2016-01-03,1.3,-1.2,5.5,,,,9.2,,,
2016-01-04,1.6,-4.1,5.5,,,236.0,15.1,,,
2016-01-05,1.6,-1.6,4.4,,,222.0,13.8,,,
2016-01-06,-0.2,-4.4,2.6,,,295.0,14.7,,,
2016-01-07,1.3,-2.6,6.7,,,206.0,16.1,,,
2016-01-08,4.4,2.2,7.4,,,224.0,10.1,,,
2016-01-10,4.9,2.6,7.8,,,205.0,19.0,,,
2016-01-11,6.3,4.0,10.7,,,220.0,20.4,,,
2016-01-12,4.3,1.5,7.8,,,261.0,17.0,,,
2016-01-13,1.2,-1.1,5.4,,,247.0,16.1,,,
2016-01-14,-1.8,-4.3,0.2,,,3.0,17.7,,,
2016-01-15,-1.9,-4.5,1.7,,,337.0,17.4,,,
2016-01-16,-3.1,-4.9,-1.3,,,344.0,31.5,,,
2016-01-17,-3.7,-5.9,-0.5,,,351.0,16.7,,,
2016-01-18,-6.2,-8.2,-4.7,,,,12.0,,,
2016-01-19,-4.9,-7.1,-2.6,,,188.0,8.5,,,
2016-01-20,-2.8,-3.8,-2.0,,,189.0,11.7,,,
2016-01-21,-0.7,-3.1,5.4,,,231.0,11.2,,,
2016-01-22,-3.5,-5.7,-1.1,,,315.0,19.0,,,
2016-01-23,1.4,-2.0,8.7,,,280.0,11.3,,,
2016-01-24,3.6,0.9,6.0,,,199.0,17.1,,,
2016-01-25,5.0,-0.5,10.1,,,208.0,8.4,,,
2016-01-28,3.5,2.5,4.8,,,196.0,10.4,,,
2016-01-29,3.6,2.4,5.8,,,,10.1,,,
2016-01-30,4.1,2.9,7.7,,,201.0,12.2,,,
2016-01-31,8.5,3.0,12.2,,,257.0,9.2,,,
2016-02-01,12.7,4.8,17.0,,,236.0,16.1,,,
2016-02-02,4.7,4.3,5.4,,,180.0,21.2,,,
2016-02-04,2.5,-1.2,6.5,,,236.0,13.2,,,
2016-02-05,7.8,5.0,11.4,,,225.0,11.8,,,
2016-02-06,2.1,-0.1,4.5,,,187.0,12.9,,,
2016-02-07,0.1,-2.4,2.3,,,221.0,18.7,,,
2016-02-08,2.0,-0.4,2.9,,,203.0,19.7,,,
2016-02-09,4.0,1.7,7.1,,,202.0,19.9,,,
2016-02-10,0.9,-1.5,3.8,,,262.0,14.1,,,
2016-02-11,-0.3,-2.1,3.6,,,201.0,12.4,,,
2016-02-12,-2.6,-5.1,0.7,,,314.0,13.0,,,
2016-02-13,0.9,-4.9,6.9,,,218.0,16.7,,,
2016-02-14,0.4,-2.2,5.8,,,263.0,15.1,,,
2016-02-16,-1.1,-2.1,-0.4,,,,28.0,,,
2016-02-17,-0.6,-1.7,0.0,,,,0.0,,,
2016-02-19,-0.3,-1.9,2.3,,,,3.9,,,
2016-02-20,0.4,-1.8,3.4,,,214.0,20.3,,,
2016-02-21,3.2,0.7,9.2,,,164.0,15.4,,,
2016-02-22,4.7,3.1,9.3,,,190.0,25.9,,,
2016-02-23,5.1,2.3,8.1,,,231.0,10.4,,,
2016-02-24,5.3,1.0,8.0,,,328.0,10.7,,,
2016-02-25,0.0,-0.6,1.0,,,291.0,10.9,,,
2016-02-27,-3.0,-4.2,-1.5,,,323.0,20.5,,,
2016-02-29,-0.1,-1.7,1.0,,,342.0,26.6,,,
2016-03-01,3.7,0.8,7.4,,,358.0,15.7,,,
2016-03-02,2.9,-0.2,5.6,,,179.0,18.3,,,
2016-03-03,1.2,-1.2,5.0,,,348.0,16.3,,,
2016-03-05,-0.9,-2.5,0.5,,,225.0,14.7,,,
2016-03-06,-1.5,-3.4,1.0,,,355.0,15.8,,,
2016-03-07,-1.7,-3.6,1.4,,,307.0,14.6,,,
2016-03-08,-2.8,-4.5,-1.5,,,346.0,25.3,,,
2016-03-09,-3.2,-4.3,-1.8,,,342.0,30.2,,,
2016-03-10,-0.1,-2.7,2.4,,,342.0,31.2,,,
2016-03-12,2.3,0.1,5.6,,,346.0,25.3,,,
2016-03-13,0.1,-0.9,1.3,,,351.0,25.7,,,
2016-03-16,-3.7,-5.6,-0.1,,,327.0,18.3,,,
2016-03-17,-2.8,-4.3,-1.5,,,323.0,23.3,,,
2016-03-19,4.1,2.0,6.5,,,201.0,14.9,,,
2016-03-20,2.4,0.7,3.5,,,182.0,18.9,,,
2016-03-22,3.4,2.0,4.7,,,344.0,42.1,,,
2016-03-24,3.7,0.2,9.0,,,53.0,15.5,,,
2016-03-25,2.1,1.1,3.4,,,194.0,15.8,,,
2016-03-27,3.3,1.6,5.4,,,206.0,19.3,,,
2016-03-28,3.8,3.3,4.6,,,184.0,8.2,,,
2016-03-29,4.0,2.8,5.3,,,189.0,17.5,,,
2016-03-30,4.6,3.6,5.8,,,183.0,24.5,,,
2016-03-31,5.2,4.4,5.9,,,110.0,12.7,,,
2016-04-03,6.8,5.2,9.6,,,340.0,17.4,,,
2016-04-04,6.6,5.8,7.4,,,165.0,12.6,,,
2016-04-06,9.8,6.4,14.5,,,14.0,9.5,,,
2016-04-07,10.2,8.5,12.8,,,,7.8,,,
2016-04-08,6.6,4.2,9.3,,,253.0,12.3,,,
2016-04-09,3.6,2.1,6.0,,,69.0,4.5,,,
2016-04-11,4.8,1.8,6.1,,,196.0,19.4,,,
2016-04-12,5.3,3.1,8.8,,,172.0,18.1,,,
2016-04-15,5.7,4.3,7.0,,,191.0,21.2,,,
2016-04-16,6.0,3.8,9.2,,,182.0,26.2,,,
2016-04-17,6.9,5.6,8.0,,,186.0,29.2,,,
2016-04-18,7.5,2.2,10.3,,,190.0,15.5,,,
2016-04-20,10.5,7.9,14.2,,,3.0,14.9,,,
2016-04-21,8.4,6.5,10.9,,,349.0,25.7,,,
2016-04-22,6.7,5.3,8.0,,,,13.1,,,
2016-04-23,6.3,5.0,7.7,,,194.0,10.1,,,
2016-04-24,6.9,2.6,11.7,,,353.0,14.5,,,
2016-04-25,2.8,-1.2,7.4,,,155.0,19.4,,,
2016-04-26,3.6,1.1,6.0,,,84.0,10.5,,,
2016-04-27,5.6,3.1,8.8,,,88.0,9.5,,,
2016-04-28,3.9,1.4,7.3,,,2.0,11.3,,,
2016-04-30,5.3,3.2,8.4,,,304.0,14.6,,,
2016-05-01,1.0,-1.1,3.2,,,330.0,19.8,,,
2016-05-02,6.2,3.3,8.4,,,347.0,25.6,,,
2016-05-03,10.1,6.8,14.8,,,356.0,15.5,,,
2016-05-04,9.0,4.7,14.1,,,12.0,17.8,,,
2016-05-05,6.4,4.2,10.2,,,311.0,17.4,,,
2016-05-06,8.7,5.5,12.6,,,8.0,17.1,,,
2016-05-08,9.1,6.7,12.6,,,51.0,7.9,,,
2016-05-09,6.2,5.2,7.3,,,344.0,10.0,,,
2016-05-10,7.2,5.7,8.5,,,14.0,10.4,,,
2016-05-11,8.0,6.8,9.2,,,,11.1,,,
2016-05-12,7.3,4.7,9.7,,,200.0,10.5,,,
2016-05-13,9.0,7.0,11.5,,,199.0,9.8,,,
2016-05-14,9.7,7.9,13.8,,,297.0,11.6,,,
2016-05-15,9.7,6.7,12.7,,,358.0,13.1,,,
2016-05-16,6.7,4.3,9.5,,,,12.3,,,
2016-05-17,7.4,5.0,10.7,,,12.0,14.7,,,
2016-05-18,6.8,5.5,7.4,,,184.0,19.8,,,
2016-05-19,6.2,4.2,9.7,,,303.0,20.4,,,
2016-05-20,10.3,4.1,16.0,,,1.0,20.2,,,
2016-05-21,12.7,10.3,14.8,,,198.0,13.0,,,
2016-05-22,12.6,9.2,14.6,,,218.0,17.7,,,
2016-05-23,7.7,5.8,9.1,,,284.0,15.3,,,
2016-05-24,9.3,6.7,13.0,,,191.0,16.4,,,
2016-05-25,8.5,5.1,11.9,,,216.0,11.9,,,
2016-05-26,12.7,10.5,15.8,,,,6.0,,,
2016-05-27,14.4,11.9,18.1,,,21.0,11.6,,,
2016-05-28,14.3,12.1,17.7,,,103.0,11.8,,,
2016-05-29,10.4,8.8,14.5,,,199.0,17.6,,,
