1943-08-07,24.2,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
1943-08-08,25.7,21.3,30.7,,,338.0,4.9,,1016.1,
1943-08-09,25.8,19.6,31.8,,,341.0,4.8,,1016.1,
1943-08-10,25.2,18.0,30.7,,,356.0,2.8,,1015.8,
1943-08-11,26.2,20.2,31.3,,,16.0,4.3,,1016.4,
1943-08-12,26.4,19.6,31.3,,,36.0,2.6,,1016.3,
1943-08-13,26.0,21.3,30.2,,,338.0,2.8,,1015.7,
1943-08-14,26.4,20.7,30.7,,,41.0,6.2,,1015.3,
1943-08-15,27.1,20.7,30.7,,,47.0,4.0,,1017.3,
1943-08-16,27.3,,,,,,,,,
1943-08-17,27.5,20.2,33.5,,,26.0,3.1,,1020.6,
1943-08-18,27.5,,,,,,,,,
1943-08-19,27.1,20.2,32.9,,,47.0,4.0,,1016.9,
1943-08-20,26.4,20.2,32.4,,,42.0,2.8,,1017.5,
1943-08-21,26.7,20.2,32.4,,,42.0,2.4,,1016.0,
1943-08-22,27.8,,,,,,,,,
1943-08-23,28.3,21.8,34.1,,,348.0,4.8,,1016.6,
1943-08-24,25.2,19.1,30.2,,,38.0,3.5,,1017.3,
1943-08-25,25.3,20.2,29.6,,,27.0,2.9,,1016.1,
1943-08-26,25.2,19.1,30.2,,,19.0,3.4,,1017.2,
1943-08-27,26.2,,,,,,,,,
1943-08-28,27.1,,,,,,,,,
1943-08-29,22.9,19.1,28.5,,,337.0,3.3,,1017.8,
1943-08-30,24.7,20.2,29.6,,,15.0,2.8,,1016.1,
1943-08-31,26.3,,,,,,,,,
1943-09-05,23.6,,,,,,,,,
1943-09-06,23.9,21.3,28.5,,,310.0,12.7,,1014.8,
1943-09-07,24.4,20.7,29.1,,,309.0,10.3,,1016.1,
1943-09-08,25.2,21.3,30.7,,,201.0,12.2,,1015.8,
1943-09-09,24.9,20.2,31.8,,,176.0,10.3,,1017.4,
1943-09-10,24.5,21.3,29.1,,,188.0,9.9,,1017.6,
1943-09-11,25.4,21.8,29.6,,,172.0,8.9,,1016.4,
1943-09-12,26.2,21.8,31.3,,,61.0,8.2,,1015.7,
1943-09-13,26.7,23.0,32.9,,,171.0,9.9,,1016.1,
1943-09-14,27.3,23.5,32.4,,,160.0,8.4,,1017.8,
1943-09-15,26.8,23.5,32.4,,,191.0,10.1,,1019.8,
1943-09-16,26.4,23.0,31.3,,,156.0,10.1,,1019.3,
1943-09-17,26.1,22.4,30.7,,,154.0,8.1,,1016.0,
1943-09-18,25.7,22.4,30.2,,,130.0,8.2,,1014.9,
1943-09-19,25.7,21.8,30.7,,,131.0,10.7,,1017.2,
1943-09-20,25.7,21.3,31.3,,,204.0,11.1,,1016.5,
1943-09-21,27.2,23.0,31.8,,,182.0,8.6,,1014.1,
1943-09-22,30.6,23.5,36.8,,,225.0,8.6,,1014.0,
1943-09-23,30.8,25.2,36.8,,,219.0,13.1,,1016.8,
1943-09-24,28.1,24.1,32.4,,,208.0,8.8,,1017.7,
1943-09-25,30.1,26.3,33.5,,,82.0,12.7,,1013.1,
1943-09-26,27.7,23.0,31.8,,,254.0,18.6,,1012.7,
1943-09-27,26.1,23.0,30.2,,,57.0,10.3,,1012.7,
1943-09-28,24.6,19.1,31.3,,,301.0,14.0,,1009.0,
1943-09-29,21.3,,,,,,,,,
1943-09-30,23.0,19.1,28.0,,,210.0,7.3,,1015.6,
1943-10-01,24.5,20.7,30.7,,,333.0,7.1,,1016.6,
1943-10-02,19.4,16.9,22.4,,,272.0,12.8,,1018.0,
1943-10-03,20.7,18.0,25.2,,,283.0,8.7,,1017.3,
1943-10-04,20.6,17.4,25.7,,,328.0,6.5,,1014.7,
1943-10-05,21.6,18.0,25.7,,,322.0,4.5,,1013.6,
1943-10-06,22.6,18.5,28.5,,,318.0,6.7,,1009.5,
1943-10-07,23.0,20.2,26.8,,,213.0,19.3,,1005.1,
1943-10-08,23.2,20.2,28.0,,,232.0,13.3,,1013.6,
1943-10-09,22.5,19.6,25.7,,,260.0,8.9,,1020.0,
1943-10-10,22.8,20.2,26.8,,,204.0,6.6,,1017.6,
1943-10-11,22.8,19.1,29.6,,,239.0,10.3,,1013.1,
1943-10-12,21.0,18.5,24.1,,,243.0,11.5,,1010.4,
1943-10-13,20.1,16.9,23.5,,,202.0,8.8,,1012.8,
1943-10-14,19.3,,,,,,,,,
1943-10-15,19.7,17.4,23.5,,,232.0,11.3,,,
1943-10-16,20.4,16.9,24.6,,,216.0,10.7,,1010.6,
1943-10-17,21.1,18.5,24.6,,,287.0,6.9,,1010.5,
1943-10-18,20.9,17.4,26.8,,,189.0,8.1,,1013.5,
1943-10-19,21.1,17.4,26.8,,,182.0,10.2,,1017.2,
1943-10-20,20.3,17.4,24.6,,,263.0,11.5,,1018.6,
1943-10-21,20.1,16.9,25.7,,,170.0,11.1,,1019.3,
1943-10-22,20.2,17.4,25.7,,,172.0,9.5,,1019.5,
1943-10-23,20.8,16.9,26.3,,,176.0,10.8,,1018.0,
1943-10-24,20.9,,,,,,,,,
1943-10-25,20.0,16.3,25.2,,,198.0,8.5,,1012.3,
1943-10-26,18.8,15.7,20.7,,,202.0,6.4,,1011.7,
1943-10-27,17.1,13.5,21.3,,,255.0,9.5,,1013.9,
1943-10-28,16.8,14.1,21.8,,,221.0,7.9,,1014.2,
1943-10-29,16.1,14.1,19.6,,,236.0,9.0,,1013.5,
1943-10-30,16.3,13.5,20.2,,,301.0,8.2,,1015.2,
1943-10-31,16.4,13.5,20.7,,,271.0,7.3,,1016.8,
1943-11-01,17.6,15.7,21.3,,,154.0,8.0,,1018.7,
1943-11-02,18.9,15.7,24.1,,,194.0,7.3,,1021.1,
1943-11-03,18.1,16.3,20.7,,,199.0,7.3,,1017.5,
1943-11-04,16.9,15.2,19.6,,,236.0,5.3,,1012.6,
1943-11-05,16.7,14.6,20.2,,,23.0,4.1,,1011.8,
1943-11-06,15.5,14.1,18.0,,,214.0,5.6,,1007.3,
1943-11-07,15.9,13.5,19.6,,,243.0,8.8,,1008.4,
1943-11-08,14.3,11.9,15.7,,,244.0,25.2,,1009.8,
1943-11-09,13.2,11.9,15.2,,,254.0,11.9,,1015.0,
1943-11-10,13.2,10.7,16.9,,,220.0,12.8,,1016.6,
1943-11-11,14.6,12.4,19.1,,,212.0,9.5,,1016.1,
1943-11-12,14.1,12.4,16.3,,,210.0,10.4,,1010.5,
1943-11-13,15.4,13.5,17.4,,,275.0,17.6,,1008.4,
1943-11-14,16.9,15.2,19.6,,,209.0,20.3,,1007.6,
