date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-02-04,3.8,1.0,7.0,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2020-02-05,7.8,3.0,13.0,,,,,,,
2020-02-06,10.7,2.0,18.0,,,,,,,
2020-02-07,11.8,7.0,16.0,,,,,,,
2020-02-08,7.6,4.0,10.0,,,,,,,
2020-02-09,0.6,-5.0,3.0,,,,,,,
2020-02-10,-3.0,-6.0,1.0,,,,,,,
2020-02-11,-2.2,-5.0,2.0,,,,,,,
2020-02-12,0.2,-5.0,5.0,,,,,,,
2020-02-13,0.2,-1.0,4.0,,,,,,,
2020-02-14,4.2,1.0,8.0,,,,,,,
2020-02-15,6.2,2.0,10.0,,,,,,,
2020-02-16,9.0,3.0,15.0,,,,,,,
2020-02-17,8.2,6.0,11.0,,,,,,,
2020-02-18,12.7,6.0,19.0,,,,,,,
2020-02-22,10.7,8.0,16.0,,,,,,,
2020-02-23,11.5,7.0,18.0,,,,,,,
2020-02-24,12.4,7.0,16.0,,,,,,,
2020-02-25,12.4,10.0,16.0,,,,,,,
2020-02-26,11.8,7.0,18.0,,,,,,,
2020-02-27,11.5,5.0,18.0,,,,,,,
2020-02-28,11.1,6.0,17.0,,,,,,,
2020-02-29,13.8,8.0,19.0,,,,,,,
2020-03-01,11.3,7.0,18.0,,,,,,,
2020-03-02,8.8,6.0,13.0,,,,,,,
2020-03-04,12.5,5.0,20.0,,,,,,,
2020-03-05,14.7,8.0,22.0,,,,,,,
2020-03-06,17.3,9.0,23.0,,,,,,,
2020-03-09,15.9,9.0,24.0,,,,,,,
2020-03-10,15.9,9.0,24.0,,,,,,,
2020-03-12,17.1,8.0,24.0,,,,,,,
2020-03-15,13.4,9.0,19.0,,,,,,,
2020-03-16,13.2,10.0,16.0,,,,,,,
2020-03-17,14.4,10.0,19.0,,,,,,,
2020-03-18,11.8,7.0,17.0,,,,,,,
2020-03-19,10.8,6.0,17.0,,,,,,,
2020-03-20,11.6,7.0,15.0,,,,,,,
2020-03-21,13.3,7.0,18.0,,,,,,,
2020-03-22,11.6,7.0,15.0,,,,,,,
2020-03-23,12.7,6.0,19.0,,,,,,,
2020-03-24,13.8,8.0,20.0,,,,,,,
2020-03-25,15.3,9.0,20.0,,,,,,,
2020-03-26,16.1,13.0,22.0,,,,,,,
2020-03-27,15.0,11.0,20.0,,,,,,,
2020-03-28,13.9,11.0,17.0,,,,,,,
2020-03-29,12.0,8.0,17.0,,,,,,,
2020-03-30,9.0,6.0,12.0,,,,,,,
2020-03-31,11.8,6.0,16.0,,,,,,,
2020-04-01,15.0,11.0,19.0,,,,,,,
2020-04-02,12.8,8.0,17.0,,,,,,,
2020-04-03,13.4,7.0,19.0,,,,,,,
2020-04-04,12.5,7.0,18.0,,,,,,,
2020-04-05,15.2,6.0,22.0,,,,,,,
2020-04-06,17.0,13.0,21.0,,,,,,,
2020-04-07,17.6,12.0,22.0,,,,,,,
2020-04-08,16.0,11.0,23.0,,,,,,,
2020-04-09,17.2,11.0,23.0,,,,,,,
2020-04-10,14.2,9.0,21.0,,,,,,,
2020-04-11,12.9,9.0,19.0,,,,,,,
2020-04-12,11.9,7.0,18.0,,,,,,,
2020-04-13,12.8,6.0,20.0,,,,,,,
2020-04-14,14.6,7.0,22.0,,,,,,,
2020-04-15,15.8,8.0,23.0,,,,,,,
2020-04-16,15.2,8.0,22.0,,,,,,,
2020-04-17,16.7,9.0,24.0,,,,,,,
2020-04-18,18.3,12.0,26.0,,,,,,,
2020-04-19,17.4,12.0,24.0,,,,,,,
2020-04-20,18.4,11.0,25.0,,,,,,,
2020-04-21,20.0,13.0,26.0,,,,,,,
2020-04-22,19.8,16.0,26.0,,,,,,,
2020-04-24,18.8,14.0,24.0,,,,,,,
2020-04-26,13.8,9.0,21.0,,,,,,,
2020-04-27,15.0,8.0,22.0,,,,,,,
2020-04-29,18.4,10.0,25.0,,,,,,,
2020-05-04,19.4,12.0,27.0,,,,,,,
2020-05-05,22.3,16.0,29.0,,,,,,,
2020-05-06,14.7,11.0,20.0,,,,,,,
2020-05-08,18.8,11.0,25.0,,,,,,,
2020-05-09,22.9,15.0,29.0,,,,,,,
2020-05-10,18.6,12.0,24.0,,,,,,,
2020-05-11,18.4,11.0,25.0,,,,,,,
2020-05-13,22.0,12.0,31.0,,,,,,,
2020-05-14,24.0,17.0,31.0,,,,,,,
2020-05-15,24.6,16.0,32.0,,,,,,,
2020-05-16,25.7,18.0,34.0,,,,,,,
2020-05-17,27.4,18.0,36.0,,,,,,,
2020-05-18,27.9,22.0,36.0,,,,,,,
2020-05-19,28.5,20.0,36.0,,,,,,,
2020-05-20,28.3,22.0,35.0,,,,,,,
2020-05-21,29.0,21.0,38.0,,,,,,,
2020-05-22,29.0,21.0,37.0,,,,,,,
2020-05-23,26.7,21.0,34.0,,,,,,,
2020-05-25,19.6,14.0,27.0,,,,,,,
2020-05-26,23.6,12.0,33.0,,,,,,,
2020-05-27,26.8,15.0,37.0,,,,,,,
2020-05-28,30.2,18.0,38.0,,,,,,,
2020-05-29,29.4,19.0,37.0,,,,,,,
2020-05-30,24.0,15.0,32.0,,,,,,,
2020-05-31,25.4,15.0,34.0,,,,,,,
2020-06-01,27.1,16.0,36.0,,,,,,,
2020-06-02,30.0,21.0,39.0,,,,,,,
2020-06-03,28.4,19.0,37.0,,,,,,,
2020-06-05,26.6,17.0,35.0,,,,,,,
2020-06-06,28.3,16.0,36.0,,,,,,,
2020-06-07,29.5,22.0,36.0,,,,,,,
2020-06-09,31.0,21.0,39.0,,,,,,,
2020-06-10,32.1,25.0,40.0,,,,,,,
2020-06-11,32.3,23.0,41.0,,,,,,,
2020-06-12,28.2,19.0,35.0,,,,,,,
2020-06-13,27.0,18.0,34.0,,,,,,,
2020-06-14,28.1,17.0,37.0,,,,,,,
2020-06-15,30.0,21.0,36.0,,,,,,,
2020-06-16,33.0,24.0,41.0,,,,,,,
2020-06-17,30.8,22.0,39.0,,,,,,,
2020-06-18,31.1,23.0,39.0,,,,,,,
2020-06-19,30.4,21.0,37.0,,,,,,,
2020-06-20,27.1,19.0,35.0,,,,,,,
2020-06-21,25.0,19.0,33.0,,,,,,,
2020-06-22,27.6,18.0,35.0,,,,,,,
2020-06-23,30.7,21.0,39.0,,,,,,,
2020-06-24,31.9,22.0,40.0,,,,,,,
2020-06-25,32.0,20.0,40.0,,,,,,,
2020-06-26,33.0,23.0,41.0,,,,,,,
2020-06-27,32.6,24.0,40.0,,,,,,,
2020-06-28,32.4,23.0,39.0,,,,,,,
2020-06-30,33.4,28.0,39.0,,,,,,,
2020-07-01,32.4,27.0,39.0,,,,,,,
2020-07-02,33.4,27.0,39.0,,,,,,,
2020-07-03,34.0,27.0,41.0,,,,,,,
2020-07-04,36.0,28.0,42.0,,,,,,,
2020-07-05,35.4,29.0,41.0,,,,,,,
2020-07-06,35.6,27.0,41.0,,,,,,,
2020-07-07,35.7,30.0,42.0,,,,,,,
2020-07-08,36.1,29.0,43.0,,,,,,,
2020-07-09,35.9,29.0,42.0,,,,,,,
2020-07-10,35.6,29.0,42.0,,,,,,,
2020-07-11,34.4,29.0,40.0,,,,,,,
2020-07-12,33.8,26.0,41.0,,,,,,,
2020-07-13,30.5,24.0,40.0,,,,,,,
2020-07-14,32.5,23.0,39.0,,,,,,,
2020-07-15,34.1,26.0,41.0,,,,,,,
2020-07-16,35.2,28.0,41.0,,,,,,,
2020-07-17,35.6,29.0,42.0,,,,,,,
2020-07-19,34.7,25.0,43.0,,,,,,,
2020-07-20,35.6,26.0,44.0,,,,,,,
2020-07-21,36.2,27.0,44.0,,,,,,,
2020-07-22,35.6,27.0,44.0,,,,,,,
2020-07-23,36.3,28.0,43.0,,,,,,,
2020-08-07,34.7,29.0,40.0,,,,,,,
2020-08-08,33.7,29.0,39.0,,,,,,,
2020-08-09,34.3,27.0,41.0,,,,,,,
2020-08-10,32.2,24.0,39.0,,,,,,,
2020-08-11,31.5,23.0,38.0,,,,,,,
2020-08-12,32.7,24.0,41.0,,,,,,,
2020-08-13,34.0,26.0,41.0,,,,,,,
2020-08-14,33.7,26.0,41.0,,,,,,,
2020-08-15,33.4,26.0,40.0,,,,,,,
2020-08-18,32.6,25.0,40.0,,,,,,,
2020-08-19,32.8,24.0,41.0,,,,,,,
2020-08-20,32.8,24.0,41.0,,,,,,,
2020-08-21,32.8,23.0,40.0,,,,,,,
2020-08-22,31.1,24.0,37.0,,,,,,,
2020-08-23,31.0,26.0,37.0,,,,,,,
2020-08-24,30.4,23.0,37.0,,,,,,,
2020-08-26,30.4,22.0,37.0,,,,,,,
2020-08-27,31.5,24.0,39.0,,,,,,,
2020-08-28,31.8,22.0,40.0,,,,,,,
2020-08-29,33.4,23.0,42.0,,,,,,,
2020-08-31,35.1,28.0,42.0,,,,,,,
2020-09-01,35.8,29.0,42.0,,,,,,,
2020-09-02,34.9,28.0,42.0,,,,,,,
2020-09-03,33.9,26.0,41.0,,,,,,,
2020-09-05,33.4,27.0,40.0,,,,,,,
2020-09-06,33.7,27.0,41.0,,,,,,,
2020-09-07,33.8,27.0,42.0,,,,,,,
2020-09-12,33.5,25.0,41.0,,,,,,,
2020-09-13,34.2,28.0,41.0,,,,,,,
2020-09-14,33.2,27.0,40.0,,,,,,,
2020-09-15,32.9,26.0,39.0,,,,,,,
2020-09-16,31.3,24.0,40.0,,,,,,,
2020-09-17,31.2,22.0,40.0,,,,,,,
2020-09-18,31.4,24.0,40.0,,,,,,,
2020-09-19,29.7,23.0,37.0,,,,,,,
2020-09-20,29.8,23.0,37.0,,,,,,,
2020-09-21,30.2,22.0,38.0,,,,,,,
2020-09-23,28.4,23.0,35.0,,,,,,,
2020-09-24,28.1,21.0,35.0,,,,,,,
2020-09-25,27.8,21.0,35.0,,,,,,,
2020-09-26,28.2,22.0,35.0,,,,,,,
2020-09-27,28.1,22.0,35.0,,,,,,,
2020-09-30,26.7,20.0,34.0,,,,,,,
2020-10-01,27.5,22.0,34.0,,,,,,,
2020-10-03,26.6,21.0,33.0,,,,,,,
2020-10-04,26.2,20.0,34.0,,,,,,,
2020-10-05,25.0,18.0,32.0,,,,,,,
2020-10-06,24.8,19.0,31.0,,,,,,,
2020-10-07,24.0,18.0,29.0,,,,,,,
2020-10-08,23.7,18.0,29.0,,,,,,,
2020-10-09,23.8,20.0,28.0,,,,,,,
2020-10-10,22.7,16.0,30.0,,,,,,,
2020-10-11,23.5,16.0,32.0,,,,,,,
2020-10-12,24.9,19.0,33.0,,,,,,,
2020-10-13,25.4,20.0,33.0,,,,,,,
2020-10-14,25.1,19.0,33.0,,,,,,,
2020-10-15,24.7,18.0,33.0,,,,,,,
2020-10-16,25.4,20.0,33.0,,,,,,,
2020-10-17,24.7,17.0,32.0,,,,,,,
2020-10-18,23.9,18.0,31.0,,,,,,,
2020-10-20,23.0,16.0,31.0,,,,,,,
2020-10-21,23.8,17.0,31.0,,,,,,,
2020-10-23,24.6,19.0,32.0,,,,,,,
2020-10-24,25.0,18.0,34.0,,,,,,,
2020-10-25,24.5,19.0,33.0,,,,,,,
2020-10-26,22.6,16.0,30.0,,,,,,,
2020-10-31,21.6,16.0,28.0,,,,,,,
2020-11-01,21.8,16.0,29.0,,,,,,,
2020-11-02,22.8,17.0,26.0,,,,,,,
2020-11-03,20.1,17.0,24.0,,,,,,,
2020-11-04,20.1,16.0,27.0,,,,,,,
2020-11-05,21.4,14.0,27.0,,,,,,,
2020-11-06,15.1,13.0,17.0,,,,,,,
2020-11-07,16.1,12.0,20.0,,,,,,,
2020-11-08,17.3,12.0,23.0,,,,,,,
2020-11-09,19.0,14.0,25.0,,,,,,,
2020-11-10,14.3,13.0,17.0,,,,,,,
2020-11-11,14.3,12.0,17.0,,,,,,,
2020-11-12,15.6,11.0,21.0,,,,,,,
2020-11-13,14.5,10.0,22.0,,,,,,,
2020-11-15,14.3,10.0,20.0,,,,,,,
2020-11-16,10.2,9.0,12.0,,,,,,,
2020-11-17,11.6,8.0,16.0,,,,,,,
2020-11-18,12.7,8.0,19.0,,,,,,,
2020-11-20,13.0,10.0,17.0,,,,,,,
2020-11-21,12.8,10.0,17.0,,,,,,,
2020-11-22,12.5,8.0,18.0,,,,,,,
2020-11-23,12.5,7.0,18.0,,,,,,,
2020-11-24,12.4,8.0,19.0,,,,,,,
2020-11-25,12.4,7.0,18.0,,,,,,,
2020-11-27,11.3,10.0,15.0,,,,,,,
2020-11-28,12.8,10.0,18.0,,,,,,,
2020-11-29,10.0,9.0,11.0,,,,,,,
2020-11-30,11.0,7.0,15.0,,,,,,,
2020-12-01,11.2,6.0,18.0,,,,,,,
2020-12-02,11.9,7.0,19.0,,,,,,,
2020-12-03,11.3,5.0,19.0,,,,,,,
2020-12-04,10.9,7.0,17.0,,,,,,,
2020-12-05,10.0,6.0,15.0,,,,,,,
2020-12-06,11.1,6.0,17.0,,,,,,,
2020-12-07,9.9,6.0,16.0,,,,,,,
2020-12-08,9.8,5.0,15.0,,,,,,,
2020-12-09,10.7,8.0,15.0,,,,,,,
2020-12-10,10.6,5.0,17.0,,,,,,,
2020-12-11,10.4,6.0,16.0,,,,,,,
2020-12-12,9.6,5.0,16.0,,,,,,,
2020-12-13,11.1,5.0,16.0,,,,,,,
2020-12-14,12.9,10.0,18.0,,,,,,,
2020-12-15,13.9,10.0,20.0,,,,,,,
2020-12-16,9.9,9.0,11.0,,,,,,,
2020-12-17,10.8,8.0,15.0,,,,,,,
2020-12-18,9.0,6.0,13.0,,,,,,,
2020-12-19,8.7,5.0,16.0,,,,,,,
2020-12-20,8.1,4.0,15.0,,,,,,,
2020-12-21,7.8,3.0,14.0,,,,,,,
2020-12-22,8.4,3.0,13.0,,,,,,,
2020-12-23,7.2,5.0,9.0,,,,,,,
2020-12-24,3.7,-1.0,9.0,,,,,,,
2020-12-25,2.6,-2.0,9.0,,,,,,,
2020-12-26,4.7,0.0,12.0,,,,,,,
2020-12-27,7.8,1.0,16.0,,,,,,,
2020-12-28,9.4,3.0,18.0,,,,,,,
2020-12-29,10.4,6.0,17.0,,,,,,,
2020-12-30,11.3,6.0,19.0,,,,,,,
2020-12-31,11.9,6.0,19.0,,,,,,,
2021-01-01,11.4,6.0,19.0,,,,,,,
