1983-11-13,12.7,11.0,15.0,Unnamed: 4,Unnamed: 5,Unnamed: 6,1.4,Unnamed: 8,Unnamed: 9,Unnamed: 10
1984-09-09,25.2,21.0,31.0,,,,9.4,,,
1984-09-15,22.5,19.0,29.0,,,,,,,
1984-12-01,16.9,12.8,22.8,,,,1.3,,1017.1,
1984-12-02,14.3,8.9,20.0,,,,2.8,,1017.4,
1984-12-03,14.4,11.1,17.2,,,,6.3,,1011.9,
1984-12-04,12.9,11.1,17.8,,,,5.5,,1013.5,
1984-12-05,12.9,11.1,16.1,,,,5.3,,1021.3,
1984-12-06,13.5,10.0,16.1,,,,4.0,,1026.5,
1984-12-07,14.2,11.1,21.1,,,,2.5,,1028.5,
1984-12-08,11.9,7.2,18.9,,,,4.2,,1031.5,
1984-12-09,10.8,6.1,17.2,,,,3.8,,1029.9,
1984-12-10,12.1,3.9,21.1,,,,4.7,,1025.5,
1984-12-11,13.6,8.9,20.0,,,,6.7,,1023.5,
1984-12-12,13.5,7.8,20.0,,,,4.0,,1022.2,
1984-12-13,11.8,6.1,18.9,,,,4.9,,1021.1,
1984-12-14,12.1,6.1,18.9,,,,6.0,,1020.4,
1984-12-15,13.7,7.2,22.2,,,,5.1,,1024.1,
1984-12-16,12.0,6.1,20.0,,,,5.9,,1026.4,
1984-12-17,13.2,7.8,21.1,,,,2.9,,1024.4,
1984-12-18,12.4,7.8,17.2,,,,2.7,,1025.4,
1984-12-19,13.7,12.2,17.2,,,,2.1,,1024.4,
1984-12-20,14.0,11.1,17.8,,,,2.2,,1019.9,
1984-12-21,13.6,11.1,17.2,,,,6.2,,1018.3,
1984-12-22,13.5,11.1,17.2,,,,3.9,,1015.9,
1984-12-23,12.6,11.1,15.0,,,,12.2,,1016.9,
1984-12-24,12.9,10.0,17.8,,,,4.1,,1015.2,
1984-12-25,10.7,7.2,17.8,,,,7.8,,1012.5,
1984-12-26,10.4,7.2,16.1,,,,7.7,,1012.3,
1984-12-27,9.0,3.9,13.9,,,,4.2,,1018.3,
