date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-05-26,19.8,14.0,25.0,,,,9.4,,,
2019-06-06,23.1,14.0,32.0,,,,7.1,,,
2019-06-08,26.6,18.0,34.0,,,,9.8,,,
2019-06-09,28.7,20.0,38.0,,,,10.7,,,
2019-06-10,27.4,19.0,35.0,,,,9.2,,,
2019-06-11,27.6,18.0,35.0,,,,9.2,,,
2019-06-12,30.3,22.0,36.0,,,,10.9,,,
2019-06-13,27.8,19.0,37.0,,,,8.9,,,
2019-06-14,29.2,19.0,38.0,,,,8.3,,,
2019-06-17,26.7,20.0,34.0,,,,8.7,,,
2019-06-18,25.1,18.0,32.0,,,,9.5,,,
2019-06-19,23.9,15.0,31.0,,,,7.8,,,
2019-06-20,25.1,17.0,32.0,,,,9.2,,,
2019-06-22,27.6,19.0,36.0,,,,8.1,,,
2019-06-24,28.8,20.0,37.0,,,,10.3,,,
2019-06-25,25.9,18.0,31.0,,,,9.1,,,
2019-06-26,26.5,19.0,32.0,,,,8.1,,,
2019-06-27,26.6,21.0,32.0,,,,9.4,,,
2019-06-29,28.1,22.0,34.0,,,,11.0,,,
2019-07-01,26.0,19.0,32.0,,,,10.6,,,
2019-07-02,25.2,18.0,31.0,,,,8.9,,,
2019-07-03,26.8,20.0,33.0,,,,8.9,,,
2019-07-04,28.2,20.0,35.0,,,,10.3,,,
2019-07-05,28.2,21.0,36.0,,,,10.4,,,
2019-07-06,27.5,19.0,35.0,,,,9.4,,,
2019-07-07,27.6,19.0,37.0,,,,8.9,,,
2019-07-08,30.5,22.0,40.0,,,,9.9,,,
2019-07-09,30.9,23.0,38.0,,,,9.2,,,
2019-07-10,28.7,23.0,37.0,,,,10.7,,,
2019-07-11,26.8,20.0,34.0,,,,10.0,,,
2019-07-12,25.5,19.0,31.0,,,,9.7,,,
2019-07-13,25.3,19.0,30.0,,,,13.6,,,
2019-07-14,26.7,20.0,34.0,,,,10.1,,,
2019-07-15,26.2,23.0,30.0,,,,12.9,,,
2019-07-16,23.4,19.0,27.0,,,,15.6,,,
2019-07-17,23.4,17.0,29.0,,,,12.3,,,
2019-07-18,23.7,18.0,29.0,,,,9.2,,,
2019-07-19,23.5,17.0,30.0,,,,9.5,,,
2019-07-20,24.8,19.0,30.0,,,,9.9,,,
2019-07-21,25.2,19.0,30.0,,,,9.7,,,
2019-07-22,26.6,18.0,34.0,,,,9.7,,,
2019-07-23,27.4,20.0,34.0,,,,11.3,,,
2019-07-24,27.3,20.0,33.0,,,,9.0,,,
2019-07-25,28.1,21.0,34.0,,,,9.5,,,
2019-07-27,26.8,20.0,33.0,,,,10.1,,,
2019-07-28,26.2,21.0,31.0,,,,14.3,,,
2019-07-30,24.5,15.0,32.0,,,,9.8,,,
2019-08-03,28.1,22.0,34.0,,,,8.5,,,
2019-08-04,25.7,18.0,33.0,,,,10.2,,,
2019-08-05,26.3,18.0,33.0,,,,10.0,,,
2019-08-06,27.0,19.0,34.0,,,,10.5,,,
2019-08-07,26.6,18.0,33.0,,,,10.5,,,
2019-08-08,27.2,21.0,33.0,,,,9.2,,,
2019-08-09,28.3,21.0,36.0,,,,10.5,,,
2019-08-11,28.7,22.0,35.0,,,,11.7,,,
2019-08-12,29.1,23.0,35.0,,,289.0,10.9,,,
2019-08-14,28.2,22.0,35.0,,,,13.3,,,
2019-08-15,25.8,18.0,31.0,,,,9.6,,,
2019-08-16,25.3,19.0,32.0,,,,10.4,,,
2019-08-17,25.0,18.0,31.0,,,,8.5,,,
2019-08-18,25.4,19.0,30.0,,,,9.0,,,
2019-08-23,26.1,21.0,33.0,,,,10.9,,,
2019-08-24,25.3,19.0,32.0,,,,8.1,,,
2019-08-26,26.1,21.0,32.0,,,,8.8,,,
2019-08-27,26.4,20.0,32.0,,,,8.6,,,
2019-08-29,27.1,24.0,32.0,,,,7.1,,,
2019-08-30,26.1,21.0,33.0,,,,7.9,,,
2019-08-31,25.0,20.0,31.0,,,,7.8,,,
2019-09-01,24.5,23.0,28.0,,,,6.2,,,
2019-09-02,24.3,21.0,28.0,,,,8.0,,,
2019-09-03,24.7,20.0,31.0,,,,8.4,,,
2019-09-04,21.8,18.0,28.0,,,,6.6,,,
2019-09-05,21.8,18.0,26.0,,,,5.6,,,
2019-09-06,23.0,18.0,29.0,,,,7.9,,,
2019-09-07,22.4,19.0,27.0,,,,10.1,,,
2019-09-08,21.5,15.0,27.0,,,,9.4,,,
2019-09-09,22.8,20.0,26.0,,,,8.9,,,
2019-09-10,22.7,19.0,28.0,,,,7.6,,,
2019-09-11,22.9,19.0,29.0,,,,5.7,,,
2019-09-13,23.9,18.0,30.0,,,,10.5,,,
2019-09-14,22.6,17.0,29.0,,,,9.1,,,
2019-09-15,22.4,16.0,29.0,,,,8.3,,,
2019-09-17,22.0,16.0,28.0,,,,8.3,,,
2019-09-22,23.3,20.0,27.0,,,,8.0,,,
2019-09-23,24.2,19.0,29.0,,,,8.6,,,
2019-09-24,23.1,18.0,28.0,,,,12.5,,,
2019-09-25,21.3,14.0,28.0,,,,8.3,,,
2019-09-26,22.5,17.0,28.0,,,,10.3,,,
2019-09-28,22.5,17.0,29.0,,,,8.7,,,
2019-09-29,21.7,15.0,28.0,,,,7.4,,,
2019-09-30,22.8,19.0,29.0,,,,7.8,,,
2019-10-01,21.2,15.0,27.0,,,,7.6,,,
2019-10-03,20.8,17.0,26.0,,,,10.6,,,
2019-10-06,20.2,17.0,25.0,,,,13.7,,,
2019-10-09,21.9,20.0,25.0,,,65.0,18.0,,,
2019-10-10,21.3,17.0,27.0,,,,10.8,,,
2019-10-11,21.1,16.0,27.0,,,,7.6,,,
2019-10-12,20.6,15.0,26.0,,,,7.7,,,
2019-10-13,21.0,16.0,26.0,,,,7.6,,,
2019-10-14,20.3,15.0,26.0,,,,6.4,,,
2019-10-15,19.7,15.0,26.0,,,,8.9,,,
2019-10-16,20.0,16.0,25.0,,,,6.8,,,
2019-10-18,18.5,12.0,25.0,,,,6.8,,,
2019-10-19,19.8,15.0,25.0,,,,7.2,,,
2019-10-20,19.8,14.0,26.0,,,,7.7,,,
2019-10-21,19.0,14.0,25.0,,,,7.4,,,
2019-10-22,18.4,12.0,26.0,,,,6.4,,,
2019-10-23,18.8,12.0,25.0,,,,7.8,,,
2019-10-24,20.2,16.0,25.0,,,,9.9,,,
2019-10-27,18.6,15.0,21.0,,,,8.8,,,
2019-10-28,18.1,14.0,25.0,,,,8.7,,,
2019-10-29,18.6,13.0,25.0,,,,7.6,,,
2019-11-01,15.2,13.0,20.0,,,,5.1,,,
2019-11-02,17.3,14.0,22.0,,,,5.7,,,
2019-11-04,18.0,13.0,21.0,,,,14.4,,,
2019-11-06,17.5,14.0,24.0,,,,7.1,,,
2019-11-08,13.7,8.0,20.0,,,,7.4,,,
2019-11-09,13.5,9.0,18.0,,,,5.8,,,
2019-11-10,13.1,8.0,18.0,,,,8.6,,,
2019-11-11,15.1,12.0,18.0,,,,13.8,,,
2019-11-12,13.7,12.0,17.0,,,,21.6,,,
2019-11-13,14.2,10.0,18.0,,,,17.2,,,
2019-11-15,16.3,10.0,21.0,,,156.0,10.5,,,
2019-11-16,18.9,18.0,21.0,,,148.0,21.1,,,
2019-11-17,14.9,8.0,19.0,,,,14.8,,,
2019-11-18,12.3,6.0,19.0,,,,6.4,,,
2019-11-19,12.3,7.0,16.0,,,106.0,11.8,,,
2019-11-21,10.7,6.0,17.0,,,,6.2,,,
2019-11-23,15.6,8.0,20.0,,,150.0,11.3,,,
2019-11-24,13.8,12.0,18.0,,,,12.5,,,
2019-11-25,12.2,9.0,15.0,,,,11.4,,,
2019-11-26,12.0,7.0,19.0,,,,6.2,,,
2019-11-27,11.8,7.0,18.0,,,,6.8,,,
2019-11-29,12.5,8.0,18.0,,,,9.3,,,
2019-11-30,13.0,8.0,18.0,,,,6.4,,,
2019-12-01,12.2,5.0,19.0,,,92.0,7.9,,,
2019-12-02,16.1,13.0,19.0,,,123.0,10.7,,,
2019-12-03,17.3,11.0,22.0,,,96.0,10.3,,,
2019-12-07,12.0,7.0,20.0,,,,6.3,,,
2019-12-08,11.5,6.0,18.0,,,,7.1,,,
2019-12-09,11.5,7.0,15.0,,,,6.1,,,
2019-12-10,9.5,5.0,14.0,,,,9.0,,,
2019-12-11,10.2,6.0,15.0,,,,8.8,,,
2019-12-19,15.5,11.0,17.0,,,,10.8,,,
2019-12-20,14.3,11.0,18.0,,,,9.7,,,
2019-12-21,14.8,13.0,17.0,,,,10.2,,,
2019-12-22,15.1,13.0,18.0,,,245.0,21.4,,,
2019-12-23,13.3,9.0,16.0,,,,21.4,,,
2019-12-24,10.7,5.0,16.0,,,,9.6,,,
2019-12-25,11.3,5.0,18.0,,,,8.1,,,
2019-12-27,10.3,5.0,15.0,,,,7.1,,,
2019-12-28,8.6,4.0,14.0,,,,10.4,,,
2019-12-29,5.1,2.0,10.0,,,,10.5,,,
2019-12-30,5.4,1.0,11.0,,,50.0,14.3,,,
2019-12-31,6.6,1.0,12.0,,,,11.9,,,
