date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-04-08,12.0,1.9,21.0,,,,0.0,,,
2017-04-09,12.6,3.2,21.4,,,,0.0,,,
2017-04-12,12.8,3.3,22.1,,,,5.1,,,
2017-04-13,15.5,4.0,23.2,,,,8.8,,,
2017-04-14,13.5,3.3,21.4,,,,3.7,,,
2017-04-15,14.8,8.1,19.8,,,278.0,12.5,,,
2017-04-18,9.6,1.9,12.4,,,,17.9,,,
2017-04-19,5.2,-1.3,10.0,,,286.0,11.5,,,
2017-04-20,5.4,-3.8,15.3,,,,7.2,,,
2017-04-21,7.1,-2.9,16.2,,,,6.0,,,
2017-04-22,10.8,-0.8,22.1,,,,7.8,,,
2017-04-23,13.8,2.7,21.9,,,,12.2,,,
2017-04-24,10.9,5.6,15.4,,,,9.9,,,
2017-04-25,11.6,8.5,15.0,,,,5.9,,,
2017-04-26,9.6,7.1,14.0,,,,4.3,,,
2017-04-27,9.0,6.1,13.4,,,,3.0,,,
2017-04-28,8.0,3.3,12.0,,,289.0,16.7,,,
2017-04-29,7.7,-1.9,16.0,,,,7.3,,,
2017-04-30,8.3,2.9,12.3,,,,10.1,,,
2017-05-01,9.0,4.6,13.2,,,244.0,15.8,,,
2017-05-02,6.7,0.2,14.1,,,,3.8,,,
2017-05-03,7.6,0.9,13.7,,,,4.2,,,
2017-05-04,9.6,5.3,14.6,,,,5.0,,,
2017-05-06,9.4,6.7,12.0,,,,2.8,,,
2017-05-07,14.2,11.1,17.9,,,273.0,16.5,,,
2017-05-19,14.5,11.2,18.6,,,,3.9,,,
2017-05-20,14.3,4.2,21.4,,,,5.6,,,
2017-05-21,16.0,6.0,24.4,,,,6.2,,,
2017-05-22,16.5,7.4,25.2,,,,4.7,,,
2017-05-23,20.2,10.0,28.9,,,,6.7,,,
2017-05-24,22.1,11.6,29.6,,,,7.8,,,
2017-05-25,20.5,13.0,24.9,,,,9.9,,,
2017-05-26,20.8,16.1,25.0,,,,9.5,,,
2017-05-29,21.6,15.6,27.4,,,,3.6,,,
2017-08-04,27.6,18.6,35.6,,,,5.4,,,
2017-08-05,27.1,17.4,34.5,,,,6.9,,,
2017-08-06,25.5,18.7,31.2,,,,8.0,,,
2017-08-07,21.2,12.0,28.5,,,,8.6,,,
2017-08-11,16.7,12.4,21.0,,,,7.8,,,
2017-08-12,20.5,15.0,28.0,,,,8.9,,,
2017-08-13,19.0,11.1,26.8,,,,5.8,,,
2017-08-17,21.8,13.3,30.1,,,,4.2,,,
2017-08-18,22.2,15.7,30.1,,,,7.5,,,
2017-08-19,22.5,15.5,29.7,,,,7.4,,,
2017-08-20,20.2,13.4,27.8,,,,7.1,,,
2017-08-21,18.2,9.9,26.5,,,,5.7,,,
2017-08-22,18.8,11.8,25.9,,,,5.9,,,
2017-08-23,19.0,10.9,26.4,,,,2.7,,,
2017-08-24,19.6,13.5,27.1,,,,1.8,,,
2017-08-25,21.2,13.6,28.6,,,,4.1,,,
2017-08-26,22.7,17.2,29.8,,,,4.9,,,
2017-08-27,22.9,14.8,31.0,,,,2.7,,,
2017-08-28,22.8,18.1,29.6,,,,1.5,,,
2017-08-29,21.3,14.0,28.5,,,,5.9,,,
2017-08-30,22.3,15.6,28.5,,,,4.8,,,
2017-08-31,20.5,17.8,22.3,,,,2.2,,,
2017-09-01,20.4,14.3,27.0,,,,9.3,,,
2017-09-02,18.6,15.9,21.1,,,303.0,12.2,,,
2017-09-07,18.9,8.5,27.3,,,,4.5,,,
2017-09-08,17.8,10.5,23.5,,,,7.4,,,
2017-09-09,16.3,13.1,17.8,,,,0.8,,,
2017-09-10,15.8,9.5,23.4,,,,7.6,,,
2017-09-11,16.1,7.5,25.4,,,,9.7,,,
2017-09-12,18.2,13.9,22.6,,,258.0,15.5,,,
2017-09-13,14.6,5.4,23.1,,,,4.6,,,
2017-09-14,14.8,10.6,18.1,,,,11.0,,,
2017-09-15,12.1,2.6,19.5,,,,6.3,,,
2017-09-16,13.0,4.4,20.3,,,,4.9,,,
2017-09-17,12.5,4.6,20.9,,,,4.7,,,
2017-09-18,11.6,4.3,19.7,,,,3.2,,,
2017-09-19,14.5,8.8,18.7,,,272.0,14.6,,,
2017-09-20,16.1,9.7,24.6,,,,6.5,,,
2017-09-21,12.4,3.2,22.7,,,,4.1,,,
2017-09-22,13.0,4.5,21.7,,,,4.0,,,
2017-09-23,14.5,7.4,23.1,,,,4.4,,,
2017-09-24,16.3,8.8,26.1,,,,5.0,,,
2017-09-25,14.1,8.5,19.6,,,,3.8,,,
2017-09-26,15.6,11.9,20.4,,,,4.1,,,
2017-09-27,16.5,12.5,22.1,,,,3.3,,,
2017-09-28,16.1,10.0,23.6,,,,2.7,,,
2017-09-29,15.7,10.2,22.7,,,,5.1,,,
2017-09-30,15.0,12.8,17.4,,,,1.5,,,
2017-10-01,15.3,13.3,19.3,,,,4.4,,,
2017-10-02,15.4,12.9,19.3,,,,1.8,,,
2017-10-03,13.8,11.0,17.6,,,,1.1,,,
2017-10-04,12.2,5.5,19.0,,,,2.5,,,
2017-10-05,14.3,5.1,23.4,,,,3.2,,,
2017-10-06,18.8,11.1,21.5,,,284.0,19.6,,,
2017-10-07,11.0,1.9,21.4,,,,3.0,,,
2017-10-08,15.4,4.5,23.5,,,,10.3,,,
2017-10-09,11.8,3.5,21.4,,,,2.5,,,
2017-10-10,11.2,3.9,20.8,,,,2.2,,,
2017-10-11,11.2,3.7,20.4,,,,2.5,,,
2017-10-12,11.8,4.0,23.4,,,,2.4,,,
2017-10-13,12.4,4.2,22.9,,,,3.0,,,
2017-10-14,13.2,4.6,24.4,,,,3.0,,,
2017-10-15,13.2,5.0,24.6,,,,2.2,,,
2017-10-16,13.1,5.0,25.0,,,,2.4,,,
2017-10-17,12.7,4.4,24.0,,,,2.3,,,
2017-10-18,11.2,3.2,21.4,,,,1.8,,,
2017-10-19,10.7,4.2,18.6,,,,2.5,,,
2017-10-20,10.8,3.8,19.6,,,,2.4,,,
2017-10-21,10.7,4.7,18.4,,,,2.9,,,
2017-10-22,13.2,7.7,18.0,,,,14.5,,,
2017-10-23,13.7,10.3,18.4,,,270.0,19.4,,,
2017-10-24,13.8,5.6,23.0,,,,4.8,,,
2017-10-25,10.8,4.4,21.9,,,,2.2,,,
2017-10-26,9.8,3.4,21.4,,,,1.2,,,
2017-10-27,15.6,3.7,23.3,,,,16.3,,,
2017-10-28,12.7,3.3,23.1,,,,9.0,,,
2017-10-29,18.6,15.6,22.9,,,276.0,23.7,,,
2017-10-30,11.8,4.6,19.3,,,,4.0,,,
2017-10-31,10.8,4.8,18.1,,,,2.1,,,
2017-11-01,6.7,0.9,16.3,,,,1.1,,,
2017-11-02,5.3,0.5,13.7,,,,0.5,,,
2017-11-03,5.9,-1.2,17.6,,,,1.2,,,
2017-11-04,9.2,3.3,14.4,,,,1.0,,,
2017-11-05,10.1,8.8,11.8,,,,6.6,,,
2017-11-06,9.6,6.0,12.7,,,,10.0,,,
2017-11-07,6.3,0.6,14.4,,,,3.7,,,
2017-11-08,8.5,7.6,9.8,,,,0.8,,,
2017-11-09,8.3,6.9,12.5,,,,0.6,,,
2017-11-10,7.1,1.6,11.7,,,,1.6,,,
2017-11-11,14.5,10.8,19.6,,,275.0,21.7,,,
2017-11-12,10.0,3.1,18.3,,,,11.7,,,
2017-11-13,7.8,5.9,10.0,,,283.0,17.0,,,
