id,name,lat,lon,elevation,daily_start,daily_end
16008,S. Valentino Alla Muta,46.75,10.5333,1459,1967-01-21,2025-08-24
16014,Vipiteno / Castel Tona,46.8839,11.44,920,2005-07-31,2019-07-04
16020,Bolzano,46.4667,11.3333,1459,1973-12-02,2021-09-19
16021,Passo Rolle,46.3,11.7833,2004,2021-12-03,2022-04-18
16022,Paganella,46.15,11.0333,2125,1951-01-01,2025-08-03
16023,Trento / Mattarello,46.0203,11.1267,188,2016-03-10,2022-02-14
16033,Dobbiaco,46.7333,12.2167,1222,1973-01-01,2025-08-24
16036,Aviano,46.0333,12.6,128,1973-01-03,2022-04-24
16037,Aviano Usaf,46.0333,12.6167,126,1995-09-01,2015-10-14
16040,Tarvisio,46.5,13.5833,777,,
16041,Tarvisio / Plezzo di Tarvisio,46.5056,13.5833,777,,
16044,Udine / Campoformido,46.0333,13.1833,93,,
16045,Udine / Rivolto,45.9833,13.0333,51,1958-04-14,2025-08-24
16046,Udine Rivolto / Villacáccia,45.9753,13.0486,52,,
16052,Pian Rosa,45.9333,7.7,3480,1965-04-28,2025-08-21
16054,Aosta,45.7333,7.35,547,,
16055,Senin,45.73,7.35,547,,
16058,Bousson,44.9339,6.8222,1399,2005-08-21,2022-01-16
16059,Torino / Caselle,45.2167,7.65,301,1973-01-21,2022-04-25
16060,Torino / Altessano,45.1306,7.6175,276,2005-07-30,2021-01-26
16061,Torino / Bric Della Croce,45.0333,7.7333,709,1973-05-06,2025-08-24
16064,Novara / Cameri,45.5167,8.6667,178,1966-09-24,2025-08-24
16066,Milano / Malpensa,45.6167,8.7333,234,1973-01-17,2022-04-25
16067,Gallarate / Cavaria con Premezzo,45.6478,8.8136,237,,
16068,Casale Monferrato / Terranova,45.1128,8.4536,119,2006-03-02,2020-07-29
16072,Monte Bisbino,45.8667,9.0667,1319,,
16076,Bergamo / Orio Al Serio,45.6667,9.7,238,1973-01-02,2022-04-25
16080,Milano / Linate,45.4333,9.2833,107,1973-01-02,2022-04-25
16081,Milano Linate,45.46,9.2583,107,2005-07-30,2018-12-16
16084,Piacenza,44.9167,9.7333,134,1973-01-02,2003-06-10
16088,Brescia / Ghedi,45.4167,10.2833,102,1966-09-27,2025-08-24
16089,Verona / Rivoltella,45.4644,10.5553,64,2005-07-30,2021-05-29
16090,Verona / Villafranca,45.3833,10.8667,67,1945-05-18,2025-08-24
16094,Vicenza,45.5667,11.5167,39,1973-01-14,1978-05-29
16095,Padova,45.4,11.85,13,,
