city,date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
Firenze,2015-01-01,43.7696,11.2558,-3.49,1.82,-7.83,0.0,4.44,25.7,2.0033,87.59,96.41
Firenze,2015-01-02,43.7696,11.2558,0.75,6.49,-3.61,0.0,2.32,291.6,1.992,86.82,96.28
Firenze,2015-01-03,43.7696,11.2558,2.52,4.07,0.88,0.07,2.65,239.2,1.1974,99.61,95.74
Firenze,2015-01-04,43.7696,11.2558,4.24,10.79,-0.84,0.01,3.21,339.1,1.853,94.0,95.38
Firenze,2015-01-05,43.7696,11.2558,0.97,8.21,-2.9,0.0,2.77,321.3,2.3225,73.35,96.02
Firenze,2015-01-06,43.7696,11.2558,2.9,6.1,-0.38,0.01,1.24,276.6,2.0854,93.28,95.62
Firenze,2015-01-07,43.7696,11.2558,3.58,6.01,1.86,0.15,1.06,56.3,1.2022,96.24,96.0
Firenze,2015-01-08,43.7696,11.2558,4.5,7.7,2.31,0.1,1.66,207.2,1.6574,97.46,96.35
Firenze,2015-01-09,43.7696,11.2558,5.44,7.87,3.11,0.03,3.82,233.8,0.9703,96.29,96.28
Firenze,2015-01-10,43.7696,11.2558,7.17,10.56,5.37,0.08,5.44,227.7,0.6691,96.77,95.4
Firenze,2015-01-11,43.7696,11.2558,6.51,12.08,0.13,0.11,5.32,265.0,1.0855,88.08,94.95
Firenze,2015-01-12,43.7696,11.2558,2.25,10.32,-2.47,0.04,3.1,268.4,2.3772,75.62,96.04
Firenze,2015-01-13,43.7696,11.2558,3.16,6.45,-0.4,0.04,3.05,213.8,2.2481,97.71,95.96
Firenze,2015-01-14,43.7696,11.2558,6.26,8.28,4.74,0.3,3.19,220.6,1.4143,97.42,95.37
Firenze,2015-01-15,43.7696,11.2558,6.46,9.27,3.12,0.11,3.7,213.8,1.8984,95.85,95.3
Firenze,2015-01-16,43.7696,11.2558,7.87,9.49,5.64,1.94,5.3,183.1,0.7037,96.48,94.98
Firenze,2015-01-17,43.7696,11.2558,7.48,9.7,3.07,3.0,5.78,210.3,1.1251,93.24,94.7
Firenze,2015-01-18,43.7696,11.2558,2.89,8.3,-0.74,0.0,2.51,227.3,2.231,88.66,94.86
Firenze,2015-01-19,43.7696,11.2558,2.03,7.09,-0.75,0.0,1.42,38.8,2.4746,78.74,94.53
Firenze,2015-01-20,43.7696,11.2558,1.99,2.99,-0.15,1.62,2.74,48.0,1.1863,97.27,94.23
Firenze,2015-01-21,43.7696,11.2558,3.82,5.78,1.7,3.76,2.88,105.7,1.1105,97.31,94.24
Firenze,2015-01-22,43.7696,11.2558,4.75,6.21,3.99,6.1,2.99,43.1,1.1134,97.53,94.22
Firenze,2015-01-23,43.7696,11.2558,3.87,5.39,2.83,2.36,7.26,24.7,1.2607,95.02,94.03
Firenze,2015-01-24,43.7696,11.2558,3.21,7.57,0.0,0.33,3.7,41.8,1.8689,87.24,94.38
Firenze,2015-01-25,43.7696,11.2558,1.91,5.06,0.11,0.41,3.62,48.3,1.501,87.95,94.81
Firenze,2015-01-26,43.7696,11.2558,-0.04,3.61,-2.5,0.15,3.61,46.7,2.3434,81.54,95.31
Firenze,2015-01-27,43.7696,11.2558,-0.11,5.46,-3.75,0.0,1.93,4.3,2.3719,75.31,94.82
Firenze,2015-01-28,43.7696,11.2558,-0.15,4.36,-3.64,0.0,2.57,26.4,2.778,76.2,94.77
Firenze,2015-01-29,43.7696,11.2558,0.5,3.81,-3.01,6.77,3.73,205.9,0.9002,92.72,93.31
Firenze,2015-01-30,43.7696,11.2558,1.18,5.13,-3.52,13.65,4.81,252.7,0.9271,88.77,91.26
Firenze,2015-01-31,43.7696,11.2558,1.19,5.43,-1.74,1.16,2.35,201.7,1.9529,89.51,91.83
Firenze,2015-02-01,43.7696,11.2558,-0.7,1.6,-3.12,4.4,1.91,313.3,1.5991,94.86,92.32
Firenze,2015-02-02,43.7696,11.2558,-0.27,5.31,-3.85,0.12,2.21,259.0,2.5291,81.76,93.28
Firenze,2015-02-03,43.7696,11.2558,0.47,3.11,-1.2,2.77,2.87,150.4,1.0589,95.18,93.39
Firenze,2015-02-04,43.7696,11.2558,1.16,2.16,0.08,6.51,4.8,35.3,1.3265,97.71,93.28
Firenze,2015-02-05,43.7696,11.2558,2.57,4.56,-0.71,31.29,6.3,49.2,0.5302,98.29,93.21
Firenze,2015-02-06,43.7696,11.2558,-0.12,0.49,-0.88,17.93,7.64,36.2,0.8371,97.29,93.49
Firenze,2015-02-07,43.7696,11.2558,-1.43,-0.08,-6.33,0.98,6.09,36.7,1.907,97.08,94.87
Firenze,2015-02-08,43.7696,11.2558,-2.85,1.62,-7.63,0.12,3.34,7.5,2.988,92.6,94.62
Firenze,2015-02-09,43.7696,11.2558,-3.39,2.03,-9.28,0.0,2.66,12.9,3.4087,78.18,95.36
Firenze,2015-02-10,43.7696,11.2558,1.53,9.3,-3.97,0.0,2.14,15.0,3.4387,71.27,95.49
Firenze,2015-02-11,43.7696,11.2558,2.81,9.21,-1.41,0.0,1.88,89.8,3.4282,89.92,95.65
Firenze,2015-02-12,43.7696,11.2558,2.59,6.74,-0.68,0.02,2.06,67.9,3.3833,96.43,95.56
Firenze,2015-02-13,43.7696,11.2558,3.92,7.6,1.8,0.21,1.39,116.2,2.1,93.6,95.43
Firenze,2015-02-14,43.7696,11.2558,4.29,7.61,2.06,1.96,2.54,176.5,1.9704,96.37,94.91
Firenze,2015-02-15,43.7696,11.2558,4.1,6.42,2.53,3.94,2.97,134.8,1.6267,96.82,94.52
Firenze,2015-02-16,43.7696,11.2558,6.24,8.0,3.83,2.55,5.73,62.3,1.4237,95.65,94.83
Firenze,2015-02-17,43.7696,11.2558,4.74,9.22,1.1,0.6,5.0,39.1,3.3684,90.93,95.75
Firenze,2015-02-18,43.7696,11.2558,0.47,5.6,-3.35,0.0,5.31,43.3,3.7291,83.14,96.44
Firenze,2015-02-19,43.7696,11.2558,1.76,8.35,-3.9,0.0,1.75,47.3,3.7877,71.68,96.25
Firenze,2015-02-20,43.7696,11.2558,2.05,8.0,-1.5,0.0,2.24,226.1,3.7769,80.96,95.57
Firenze,2015-02-21,43.7696,11.2558,3.1,6.64,-1.58,6.56,4.0,169.9,1.4014,95.42,94.22
Firenze,2015-02-22,43.7696,11.2558,3.41,5.11,1.02,5.13,4.28,22.9,2.1293,97.52,93.21
Firenze,2015-02-23,43.7696,11.2558,4.45,7.43,1.36,0.2,3.05,14.2,2.8421,92.77,93.71
Firenze,2015-02-24,43.7696,11.2558,3.96,7.12,1.04,8.43,4.06,35.4,1.9186,95.93,93.41
Firenze,2015-02-25,43.7696,11.2558,2.36,3.88,0.93,6.12,8.15,26.5,1.577,93.91,94.16
Firenze,2015-02-26,43.7696,11.2558,3.05,5.25,0.97,0.59,4.65,43.6,2.1482,93.01,94.75
Firenze,2015-02-27,43.7696,11.2558,4.36,8.71,1.23,0.12,2.46,20.3,3.3235,91.83,94.43
Firenze,2015-02-28,43.7696,11.2558,4.23,9.57,0.82,0.01,2.29,32.8,3.6775,87.77,94.81
