city,date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
Napoli,2015-01-01,40.8518,14.2681,2.41,6.63,-0.03,0.03,6.53,42.0,2.3707,74.12,99.34
Napoli,2015-01-02,40.8518,14.2681,4.79,10.39,-0.36,0.0,2.56,25.4,2.3189,79.01,99.76
Napoli,2015-01-03,40.8518,14.2681,7.96,12.05,5.93,0.03,2.45,243.4,1.5578,86.32,99.57
Napoli,2015-01-04,40.8518,14.2681,9.8,15.62,4.08,2.81,3.17,358.4,2.0095,86.77,98.77
Napoli,2015-01-05,40.8518,14.2681,4.04,8.45,1.21,0.59,3.83,21.1,2.3227,68.1,99.42
Napoli,2015-01-06,40.8518,14.2681,4.62,10.12,1.7,0.0,3.1,28.5,2.5262,74.68,99.23
Napoli,2015-01-07,40.8518,14.2681,6.53,11.28,1.98,0.05,1.65,97.9,2.3626,74.62,99.74
Napoli,2015-01-08,40.8518,14.2681,8.71,11.87,7.38,0.22,1.61,220.1,1.7722,87.18,100.09
Napoli,2015-01-09,40.8518,14.2681,9.19,12.84,7.21,0.05,2.53,256.6,1.1686,88.27,100.04
Napoli,2015-01-10,40.8518,14.2681,10.04,13.86,7.43,0.08,3.43,243.3,0.8054,92.08,99.24
Napoli,2015-01-11,40.8518,14.2681,11.24,13.68,9.65,1.98,4.16,243.3,1.7885,94.68,98.65
Napoli,2015-01-12,40.8518,14.2681,7.51,12.05,2.47,0.0,2.92,33.7,2.6455,67.76,99.66
Napoli,2015-01-13,40.8518,14.2681,7.37,12.25,4.71,0.0,1.57,256.5,2.8486,76.3,99.75
Napoli,2015-01-14,40.8518,14.2681,8.4,12.2,5.52,0.0,2.09,250.3,2.0827,87.68,99.17
Napoli,2015-01-15,40.8518,14.2681,9.36,13.27,7.27,0.03,1.99,248.6,2.4048,88.67,99.11
Napoli,2015-01-16,40.8518,14.2681,8.52,12.31,6.2,0.02,2.13,169.3,2.311,93.26,98.93
Napoli,2015-01-17,40.8518,14.2681,10.49,14.41,6.5,4.33,3.78,182.6,2.1643,95.6,98.67
Napoli,2015-01-18,40.8518,14.2681,10.42,12.81,7.87,31.73,2.14,152.3,0.5254,97.54,98.37
Napoli,2015-01-19,40.8518,14.2681,8.73,13.36,4.42,3.56,2.37,84.0,1.4791,84.02,98.03
Napoli,2015-01-20,40.8518,14.2681,8.98,10.67,7.94,8.01,2.44,172.2,1.0891,91.88,97.81
Napoli,2015-01-21,40.8518,14.2681,9.32,12.61,6.13,4.16,2.37,193.5,1.8331,88.06,97.97
Napoli,2015-01-22,40.8518,14.2681,8.36,10.76,6.65,22.08,3.27,97.8,0.7174,93.38,97.64
Napoli,2015-01-23,40.8518,14.2681,7.79,9.71,6.2,12.41,3.91,61.5,0.9444,91.68,96.64
Napoli,2015-01-24,40.8518,14.2681,7.21,11.13,3.85,5.71,4.24,29.4,1.8485,88.07,97.35
Napoli,2015-01-25,40.8518,14.2681,5.75,8.77,3.98,1.5,4.79,46.3,1.3483,87.65,97.87
Napoli,2015-01-26,40.8518,14.2681,5.35,9.2,1.47,0.54,4.83,47.4,1.2744,84.16,98.44
Napoli,2015-01-27,40.8518,14.2681,4.09,9.18,-0.26,0.31,2.16,43.1,2.9302,80.73,98.18
Napoli,2015-01-28,40.8518,14.2681,3.64,6.91,0.43,1.63,3.88,27.4,2.0978,87.05,97.85
Napoli,2015-01-29,40.8518,14.2681,5.3,9.16,0.13,5.15,3.89,229.7,2.166,86.38,97.42
Napoli,2015-01-30,40.8518,14.2681,9.09,12.06,4.81,22.3,9.4,238.8,0.6821,84.6,95.69
Napoli,2015-01-31,40.8518,14.2681,7.08,10.18,4.43,21.01,2.85,219.8,1.0008,83.24,95.62
Napoli,2015-02-01,40.8518,14.2681,6.88,9.38,4.68,2.91,5.04,254.9,1.867,85.91,96.04
Napoli,2015-02-02,40.8518,14.2681,4.78,7.01,3.3,4.82,2.15,276.1,2.0186,80.95,96.95
Napoli,2015-02-03,40.8518,14.2681,5.76,8.37,2.77,12.64,3.58,188.6,1.5619,85.26,97.28
Napoli,2015-02-04,40.8518,14.2681,8.88,11.53,7.28,3.64,5.7,212.9,2.095,82.67,97.1
Napoli,2015-02-05,40.8518,14.2681,7.57,11.14,3.19,11.12,3.86,182.2,1.5775,92.09,96.84
Napoli,2015-02-06,40.8518,14.2681,6.82,8.72,5.28,5.69,3.6,208.2,1.8408,90.99,96.97
Napoli,2015-02-07,40.8518,14.2681,6.83,8.56,5.33,2.08,2.62,189.9,1.9469,86.35,98.11
Napoli,2015-02-08,40.8518,14.2681,5.98,9.2,3.58,4.56,3.01,29.5,2.7684,81.69,97.86
Napoli,2015-02-09,40.8518,14.2681,1.18,2.67,-0.15,0.41,8.93,25.3,3.0031,71.76,98.34
Napoli,2015-02-10,40.8518,14.2681,5.06,11.07,0.49,0.36,4.3,13.2,3.395,80.58,98.82
