city,date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
Venezia,2015-01-01,45.4408,12.3155,3.1,4.86,0.39,0.0,2.44,15.5,1.7177,66.09,103.42
Venezia,2015-01-02,45.4408,12.3155,4.91,6.53,4.09,0.01,1.77,282.7,1.5533,73.21,103.02
Venezia,2015-01-03,45.4408,12.3155,5.97,9.11,3.43,0.01,2.51,26.7,1.5017,85.06,102.38
Venezia,2015-01-04,45.4408,12.3155,6.27,10.88,2.85,0.03,3.04,22.1,1.8833,76.62,102.04
Venezia,2015-01-05,45.4408,12.3155,5.91,8.84,4.02,0.0,3.54,325.0,1.8972,61.26,102.68
Venezia,2015-01-06,45.4408,12.3155,6.0,8.72,4.2,0.01,3.37,77.2,1.6339,75.01,102.44
Venezia,2015-01-07,45.4408,12.3155,7.0,9.2,5.76,0.07,2.56,75.1,0.863,82.45,102.82
Venezia,2015-01-08,45.4408,12.3155,6.2,8.3,4.66,0.06,2.08,265.9,0.78,88.59,103.11
Venezia,2015-01-09,45.4408,12.3155,4.39,5.02,4.01,0.13,2.21,251.4,1.0097,97.52,102.88
Venezia,2015-01-10,45.4408,12.3155,6.95,9.25,4.55,0.76,2.04,213.3,1.165,97.41,101.71
Venezia,2015-01-11,45.4408,12.3155,7.81,10.12,6.07,0.8,3.33,312.7,0.7579,84.91,101.43
Venezia,2015-01-12,45.4408,12.3155,6.91,9.67,4.4,0.0,3.17,246.6,1.991,67.04,102.59
Venezia,2015-01-13,45.4408,12.3155,5.99,8.3,3.85,0.01,1.96,247.6,2.0378,92.81,102.58
Venezia,2015-01-14,45.4408,12.3155,6.28,8.38,4.54,0.13,2.68,249.1,1.4566,97.61,101.92
Venezia,2015-01-15,45.4408,12.3155,6.85,8.15,5.5,0.16,1.48,49.3,1.1242,93.27,101.94
Venezia,2015-01-16,45.4408,12.3155,8.46,10.3,6.26,0.75,2.05,137.6,1.152,94.68,101.62
Venezia,2015-01-17,45.4408,12.3155,9.91,11.93,7.08,4.79,4.6,184.5,0.3749,93.7,101.17
Venezia,2015-01-18,45.4408,12.3155,7.63,10.6,5.28,0.06,1.87,346.0,1.8936,84.94,101.48
Venezia,2015-01-19,45.4408,12.3155,6.69,9.35,4.66,0.01,2.18,49.8,1.86,80.08,101.22
Venezia,2015-01-20,45.4408,12.3155,6.6,8.14,5.45,0.62,2.68,45.5,1.201,79.2,101.0
Venezia,2015-01-21,45.4408,12.3155,7.14,9.0,4.98,2.29,4.16,62.8,0.8693,84.31,101.03
Venezia,2015-01-22,45.4408,12.3155,7.66,9.13,6.75,3.17,4.93,50.5,0.9502,90.47,101.03
Venezia,2015-01-23,45.4408,12.3155,7.91,10.9,5.72,0.71,5.39,37.5,1.0819,78.29,100.84
Venezia,2015-01-24,45.4408,12.3155,8.34,11.54,6.41,0.07,2.65,33.2,1.373,67.57,101.1
Venezia,2015-01-25,45.4408,12.3155,6.86,9.88,4.61,0.0,4.27,35.9,1.6375,64.75,101.66
Venezia,2015-01-26,45.4408,12.3155,5.5,7.98,3.31,0.0,2.62,55.3,2.333,57.52,102.18
Venezia,2015-01-27,45.4408,12.3155,5.52,7.51,4.42,0.01,1.66,32.3,1.8977,62.35,101.57
Venezia,2015-01-28,45.4408,12.3155,5.13,8.13,3.46,0.0,2.7,356.5,2.5308,63.13,101.49
Venezia,2015-01-29,45.4408,12.3155,4.45,6.49,3.09,1.5,2.06,228.8,0.5662,79.02,99.92
Venezia,2015-01-30,45.4408,12.3155,4.34,5.15,3.1,14.67,3.22,334.2,0.5976,84.39,97.64
Venezia,2015-01-31,45.4408,12.3155,4.9,8.15,2.53,0.56,2.32,69.6,2.3707,74.56,98.39
Venezia,2015-02-01,45.4408,12.3155,4.65,6.18,3.46,2.26,3.36,66.2,0.7116,82.9,98.94
Venezia,2015-02-02,45.4408,12.3155,4.94,6.6,3.44,0.14,1.89,174.8,2.3189,70.94,99.91
Venezia,2015-02-03,45.4408,12.3155,4.51,6.37,3.06,0.31,3.84,65.0,1.2034,83.73,100.17
Venezia,2015-02-04,45.4408,12.3155,5.13,7.18,3.82,0.82,7.94,57.7,1.5334,81.69,100.26
Venezia,2015-02-05,45.4408,12.3155,3.22,4.16,2.34,27.15,13.67,53.2,0.3782,84.75,100.55
Venezia,2015-02-06,45.4408,12.3155,3.9,4.59,2.89,5.86,12.85,53.4,0.5222,80.68,100.73
Venezia,2015-02-07,45.4408,12.3155,3.41,5.82,2.06,0.47,6.0,74.7,1.8089,73.59,101.95
Venezia,2015-02-08,45.4408,12.3155,4.4,8.32,2.1,0.0,3.65,37.3,2.747,65.37,101.44
Venezia,2015-02-09,45.4408,12.3155,3.55,6.36,1.45,0.0,3.94,290.7,2.5625,60.21,102.12
Venezia,2015-02-10,45.4408,12.3155,6.13,9.76,3.68,0.0,2.32,40.7,2.9309,69.2,102.27
Venezia,2015-02-11,45.4408,12.3155,7.4,10.69,5.11,0.0,1.84,115.6,3.1258,84.33,102.47
Venezia,2015-02-12,45.4408,12.3155,5.96,8.56,3.27,0.0,3.74,87.4,2.4734,81.88,102.48
Venezia,2015-02-13,45.4408,12.3155,5.82,7.65,4.42,0.03,1.96,96.9,0.8606,74.03,102.29
Venezia,2015-02-14,45.4408,12.3155,6.46,8.25,5.03,0.3,1.98,51.2,1.4659,86.41,101.69
Venezia,2015-02-15,45.4408,12.3155,8.3,10.83,6.61,0.37,3.58,88.0,1.956,89.91,101.38
Venezia,2015-02-16,45.4408,12.3155,7.92,11.19,5.73,0.08,5.53,65.8,3.2098,81.81,101.86
Venezia,2015-02-17,45.4408,12.3155,7.0,10.52,4.22,0.0,6.05,65.1,3.3514,77.3,102.74
Venezia,2015-02-18,45.4408,12.3155,5.28,8.76,2.74,0.0,5.35,82.8,3.6014,69.38,103.56
Venezia,2015-02-19,45.4408,12.3155,5.63,8.73,2.87,0.0,2.24,115.7,3.5971,64.75,103.13
Venezia,2015-02-20,45.4408,12.3155,6.16,9.01,4.03,0.0,1.66,216.1,3.4162,66.47,102.29
Venezia,2015-02-21,45.4408,12.3155,6.84,9.35,4.7,0.47,2.88,145.7,1.7827,85.32,100.93
Venezia,2015-02-22,45.4408,12.3155,7.2,8.7,6.15,13.49,7.3,42.9,1.2974,88.14,100.05
Venezia,2015-02-23,45.4408,12.3155,7.85,9.88,5.76,0.72,3.09,50.1,2.0614,82.07,100.34
Venezia,2015-02-24,45.4408,12.3155,7.85,9.3,6.45,2.35,4.64,49.8,1.2343,87.18,100.2
Venezia,2015-02-25,45.4408,12.3155,7.76,10.53,5.86,1.25,4.98,31.7,2.3326,74.91,101.0
Venezia,2015-02-26,45.4408,12.3155,8.25,10.69,6.41,0.02,2.63,61.0,2.6482,69.33,101.6
Venezia,2015-02-27,45.4408,12.3155,8.08,11.14,5.05,0.0,2.75,61.3,3.8585,77.66,101.13
Venezia,2015-02-28,45.4408,12.3155,8.53,11.42,5.77,0.0,3.04,103.5,3.7716,77.24,101.57
Venezia,2015-03-01,45.4408,12.3155,8.23,11.08,6.37,0.0,2.64,203.2,2.5603,82.05,101.51
Venezia,2015-03-02,45.4408,12.3155,7.77,9.31,6.95,1.04,2.21,263.2,0.9103,94.23,101.01
Venezia,2015-03-03,45.4408,12.3155,9.05,12.24,5.93,0.0,3.73,64.7,4.0886,70.92,102.0
Venezia,2015-03-04,45.4408,12.3155,8.12,10.35,6.3,4.98,5.46,61.1,2.3047,83.36,101.96
Venezia,2015-03-05,45.4408,12.3155,8.24,11.42,6.33,0.22,9.46,38.1,3.6022,62.11,102.07
Venezia,2015-03-06,45.4408,12.3155,7.58,11.11,4.27,0.0,5.27,53.0,4.2828,64.32,102.94
Venezia,2015-03-07,45.4408,12.3155,8.05,11.73,4.57,0.44,3.79,60.5,4.4419,66.99,103.08
Venezia,2015-03-08,45.4408,12.3155,7.42,11.79,3.97,0.0,5.92,74.9,4.4806,69.97,102.75
Venezia,2015-03-09,45.4408,12.3155,7.31,10.18,4.05,0.0,4.02,75.3,3.8182,70.72,102.57
Venezia,2015-03-10,45.4408,12.3155,8.72,12.44,5.01,0.0,2.79,56.5,4.4414,70.46,102.4
Venezia,2015-03-11,45.4408,12.3155,10.11,13.74,7.46,0.02,2.32,99.5,3.4783,68.71,101.93
Venezia,2015-03-12,45.4408,12.3155,9.1,12.77,5.95,0.0,2.94,64.4,4.0128,60.88,102.16
Venezia,2015-03-13,45.4408,12.3155,8.77,11.35,6.6,0.0,2.65,136.6,4.4825,68.66,101.89
Venezia,2015-03-14,45.4408,12.3155,8.07,10.81,5.61,0.01,3.08,103.0,4.2506,77.13,102.04
Venezia,2015-03-15,45.4408,12.3155,8.61,11.79,5.33,0.05,4.82,75.9,4.098,78.96,102.48
Venezia,2015-03-16,45.4408,12.3155,8.62,9.52,7.92,11.82,7.06,57.1,0.7874,86.36,102.7
