date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
2015-01-01,42.5,13.0,-4.54,-1.76,-8.3,0.94,7.77,46.2,2.0626,87.73,91.49
2015-01-02,42.5,13.0,0.68,4.64,-3.67,1.0,2.4,48.0,2.2656,85.01,91.82
2015-01-03,42.5,13.0,2.1,5.07,-0.67,0.1,2.66,225.5,1.6279,83.86,91.61
2015-01-04,42.5,13.0,2.39,6.66,-1.42,1.27,3.35,29.0,2.2483,95.1,91.05
2015-01-05,42.5,13.0,-1.0,2.82,-3.91,0.06,3.11,19.9,2.3014,77.64,91.52
2015-01-06,42.5,13.0,0.96,5.34,-2.37,0.0,2.12,68.7,2.3297,89.6,91.31
2015-01-07,42.5,13.0,2.66,5.76,0.26,0.19,1.29,209.2,2.0066,96.58,91.74
2015-01-08,42.5,13.0,3.21,6.94,1.49,0.08,1.48,230.0,1.9411,95.63,92.08
2015-01-09,42.5,13.0,3.33,7.21,0.9,0.11,2.02,236.9,1.8821,94.58,92.06
2015-01-10,42.5,13.0,5.41,11.81,1.88,0.16,2.66,224.5,1.6123,87.38,91.35
2015-01-11,42.5,13.0,5.04,8.32,1.83,1.44,5.38,227.7,1.895,96.72,90.79
2015-01-12,42.5,13.0,1.63,7.79,-2.38,0.15,2.34,16.5,2.4218,71.81,91.74
2015-01-13,42.5,13.0,1.97,8.49,-1.29,0.03,2.16,201.0,2.6093,63.98,91.77
2015-01-14,42.5,13.0,2.78,6.46,-0.28,0.09,2.64,219.1,2.3268,92.69,91.24
2015-01-15,42.5,13.0,3.46,8.4,0.19,0.1,2.37,211.6,2.4595,90.63,91.19
2015-01-16,42.5,13.0,3.45,9.26,-0.15,0.05,3.15,178.7,2.2834,89.17,90.95
2015-01-17,42.5,13.0,4.98,8.41,1.83,1.49,4.33,206.0,1.3848,96.85,90.69
2015-01-18,42.5,13.0,3.16,6.35,0.98,2.36,1.74,341.8,0.63,93.41,90.57
2015-01-19,42.5,13.0,2.69,7.7,-1.12,0.84,2.0,110.4,1.957,89.15,90.21
2015-01-20,42.5,13.0,2.89,5.82,1.15,5.17,2.1,146.2,1.2307,95.14,89.91
2015-01-21,42.5,13.0,2.95,6.98,-0.02,6.4,2.43,152.4,1.4959,94.31,90.06
