zone,date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
IT-Calabria,2015-01-01,38.91,16.59,6.44,9.5,3.87,0.66,8.05,24.5,2.1338,65.94,99.0
IT-Calabria,2015-01-02,38.91,16.59,6.76,10.12,3.88,0.01,6.12,1.9,2.6556,74.9,99.56
IT-Calabria,2015-01-03,38.91,16.59,8.93,14.68,5.15,0.05,4.16,295.0,2.1449,88.56,99.47
IT-Calabria,2015-01-04,38.91,16.59,11.48,16.4,8.52,0.41,5.76,331.8,1.8962,81.52,98.55
IT-Calabria,2015-01-05,38.91,16.59,6.71,8.46,4.76,0.98,9.67,1.4,2.0918,57.48,99.05
IT-Calabria,2015-01-06,38.91,16.59,5.96,9.04,3.63,0.32,7.14,340.8,2.3813,70.79,98.99
IT-Calabria,2015-01-07,38.91,16.59,6.65,10.52,3.75,0.0,3.98,5.6,2.8078,66.95,99.72
IT-Calabria,2015-01-08,38.91,16.59,9.01,13.41,6.0,0.1,1.36,317.2,2.1204,69.52,100.08
IT-Calabria,2015-01-09,38.91,16.59,10.01,14.26,7.58,0.27,3.01,281.6,1.404,83.72,100.01
IT-Calabria,2015-01-10,38.91,16.59,10.87,16.58,7.46,0.01,4.46,284.6,2.2018,85.1,99.08
IT-Calabria,2015-01-11,38.91,16.59,11.44,16.27,8.09,0.26,5.45,270.0,2.4398,88.16,98.47
IT-Calabria,2015-01-12,38.91,16.59,8.71,11.67,5.1,0.35,7.71,359.9,2.9026,67.66,99.45
IT-Calabria,2015-01-13,38.91,16.59,8.12,15.16,3.78,0.0,3.9,326.9,3.0629,72.63,99.66
IT-Calabria,2015-01-14,38.91,16.59,8.3,15.16,4.32,0.0,3.81,294.4,2.8601,74.28,99.03
IT-Calabria,2015-01-15,38.91,16.59,9.76,15.26,5.85,0.0,2.96,311.5,2.6954,79.05,99.03
IT-Calabria,2015-01-16,38.91,16.59,9.8,16.12,5.75,0.0,2.79,247.3,3.031,80.84,98.96
IT-Calabria,2015-01-17,38.91,16.59,12.44,16.29,9.28,0.24,5.06,198.0,2.7113,91.24,98.9
IT-Calabria,2015-01-18,38.91,16.59,12.43,13.64,10.96,9.7,5.9,178.1,0.907,94.63,98.6
IT-Calabria,2015-01-19,38.91,16.59,11.64,14.32,9.63,3.64,3.67,210.5,1.6788,87.94,98.04
IT-Calabria,2015-01-20,38.91,16.59,11.04,13.31,9.6,5.95,2.97,168.6,1.1218,91.76,97.92
IT-Calabria,2015-01-21,38.91,16.59,10.8,14.97,8.32,1.31,2.95,246.7,2.2728,84.57,98.01
IT-Calabria,2015-01-22,38.91,16.59,10.94,13.08,8.48,6.23,5.54,156.7,1.1244,92.09,97.69
IT-Calabria,2015-01-23,38.91,16.59,9.54,11.54,8.2,5.81,5.68,204.3,2.5752,81.93,96.84
IT-Calabria,2015-01-24,38.91,16.59,9.33,11.65,7.31,2.82,4.5,347.1,2.5954,86.86,97.02
IT-Calabria,2015-01-25,38.91,16.59,8.11,10.66,6.97,8.42,3.09,17.5,1.1167,85.71,97.79
IT-Calabria,2015-01-26,38.91,16.59,8.24,9.24,7.19,3.38,4.07,23.9,1.1777,87.0,98.29
IT-Calabria,2015-01-27,38.91,16.59,7.73,11.46,5.6,3.69,5.24,351.7,2.3738,75.01,98.02
IT-Calabria,2015-01-28,38.91,16.59,6.22,7.21,5.54,17.61,3.83,46.6,0.7262,86.04,97.63
IT-Calabria,2015-01-29,38.91,16.59,8.21,11.99,6.11,2.94,5.51,323.5,2.9856,80.58,97.42
IT-Calabria,2015-01-30,38.91,16.59,10.79,12.55,8.57,7.2,9.99,231.3,1.5787,82.65,96.16
IT-Calabria,2015-01-31,38.91,16.59,10.68,13.45,8.07,20.97,6.16,230.8,0.6098,86.19,95.72
IT-Calabria,2015-02-01,38.91,16.59,10.14,12.13,7.63,6.77,8.02,253.2,2.2003,80.56,96.17
IT-Calabria,2015-02-02,38.91,16.59,7.48,9.37,5.26,10.34,6.86,265.0,1.8874,80.22,96.93
IT-Calabria,2015-02-03,38.91,16.59,7.41,10.63,3.91,2.4,4.55,229.6,3.0007,79.04,97.56
IT-Calabria,2015-02-04,38.91,16.59,10.5,14.28,8.29,1.61,5.74,212.2,3.3106,84.81,97.42
IT-Calabria,2015-02-05,38.91,16.59,11.68,15.72,8.54,1.86,4.45,164.8,2.6674,94.83,97.01
IT-Calabria,2015-02-06,38.91,16.59,8.46,10.78,6.56,6.69,6.8,249.3,2.4403,81.32,97.26
IT-Calabria,2015-02-07,38.91,16.59,8.02,11.58,5.6,3.14,3.94,259.9,2.9849,79.45,98.21
IT-Calabria,2015-02-08,38.91,16.59,7.36,9.44,5.32,9.19,4.04,296.4,2.0532,83.25,97.69
IT-Calabria,2015-02-09,38.91,16.59,3.52,5.42,1.96,2.59,11.61,358.8,2.7612,72.15,97.65
IT-Calabria,2015-02-10,38.91,16.59,6.78,9.94,3.4,1.3,9.45,354.3,2.01,72.24,98.43
IT-Calabria,2015-02-11,38.91,16.59,7.98,10.99,5.6,0.04,5.6,5.3,3.2093,74.93,98.9
IT-Calabria,2015-02-12,38.91,16.59,6.94,11.13,4.45,0.11,4.07,21.2,2.7187,71.23,99.07
IT-Calabria,2015-02-13,38.91,16.59,7.48,10.62,4.56,0.96,2.51,54.4,3.5347,75.91,99.08
IT-Calabria,2015-02-14,38.91,16.59,8.41,11.34,6.52,0.0,1.68,123.6,2.4425,70.76,98.73
IT-Calabria,2015-02-15,38.91,16.59,8.62,11.0,6.46,0.48,2.89,184.2,2.8428,84.31,98.42
IT-Calabria,2015-02-16,38.91,16.59,9.91,11.41,8.6,2.88,4.7,133.4,2.4048,90.52,98.47
IT-Calabria,2015-02-17,38.91,16.59,9.63,11.23,7.82,9.63,7.13,112.2,1.5048,84.43,98.94
IT-Calabria,2015-02-18,38.91,16.59,8.47,11.15,6.67,0.09,4.49,85.6,2.4007,77.81,99.58
IT-Calabria,2015-02-19,38.91,16.59,7.65,12.12,4.39,0.0,4.02,21.9,4.3474,65.47,99.73
IT-Calabria,2015-02-20,38.91,16.59,7.65,13.04,3.42,0.0,2.54,313.8,4.254,66.52,99.27
IT-Calabria,2015-02-21,38.91,16.59,8.68,12.39,3.48,3.84,5.28,191.5,1.8005,85.19,98.28
IT-Calabria,2015-02-22,38.91,16.59,11.49,13.14,10.36,13.67,9.15,177.8,1.457,91.63,96.84
IT-Calabria,2015-02-23,38.91,16.59,10.64,13.22,8.67,3.52,2.91,180.5,1.5029,87.93,97.09
IT-Calabria,2015-02-24,38.91,16.59,9.95,13.3,8.08,9.99,4.23,231.2,2.1962,86.63,97.14
IT-Calabria,2015-02-25,38.91,16.59,8.4,10.69,6.52,4.51,5.12,235.1,3.8705,81.38,97.12
IT-Calabria,2015-02-26,38.91,16.59,9.21,12.54,7.18,5.2,4.22,148.4,2.0191,84.55,97.87
IT-Calabria,2015-02-27,38.91,16.59,9.78,13.19,7.63,2.32,3.13,280.5,3.3199,81.95,97.48
IT-Calabria,2015-02-28,38.91,16.59,9.87,13.9,6.62,1.71,2.0,321.4,2.7624,75.74,98.2
IT-Calabria,2015-03-01,38.91,16.59,10.51,14.61,7.78,1.28,2.01,301.3,4.0253,75.6,98.65
IT-Calabria,2015-03-02,38.91,16.59,10.54,14.42,6.89,0.03,5.2,267.2,3.8088,82.39,98.66
IT-Calabria,2015-03-03,38.91,16.59,14.21,18.77,11.13,0.02,3.22,290.3,3.419,80.15,98.77
IT-Calabria,2015-03-04,38.91,16.59,12.64,17.18,9.22,0.58,2.79,223.2,4.5372,83.36,98.91
IT-Calabria,2015-03-05,38.91,16.59,11.28,13.39,9.05,11.91,6.96,216.1,0.9953,82.82,97.55
IT-Calabria,2015-03-06,38.91,16.59,8.82,11.49,6.39,5.6,5.13,334.2,3.5371,80.68,97.8
IT-Calabria,2015-03-07,38.91,16.59,7.52,9.55,5.85,8.02,8.8,6.9,3.3742,83.36,98.3
IT-Calabria,2015-03-08,38.91,16.59,9.24,11.87,6.8,6.46,6.68,70.9,1.7465,86.0,98.57
IT-Calabria,2015-03-09,38.91,16.59,9.05,10.17,7.56,1.35,5.04,77.0,2.5253,86.52,98.83
IT-Calabria,2015-03-10,38.91,16.59,9.02,11.94,6.85,0.48,3.9,24.9,3.9341,80.52,98.96
IT-Calabria,2015-03-11,38.91,16.59,9.67,13.46,6.92,0.44,2.54,337.3,2.9688,76.6,98.72
IT-Calabria,2015-03-12,38.91,16.59,7.4,9.51,5.59,9.01,3.59,21.4,1.7239,89.1,98.23
IT-Calabria,2015-03-13,38.91,16.59,9.19,12.24,6.5,0.47,5.9,357.4,4.7498,74.75,98.34
IT-Calabria,2015-03-14,38.91,16.59,9.61,14.47,5.48,0.02,2.28,256.3,4.0906,70.64,98.82
IT-Calabria,2015-03-15,38.91,16.59,10.4,13.37,7.37,0.01,4.05,152.5,3.2426,81.51,99.27
IT-Calabria,2015-03-16,38.91,16.59,11.72,13.19,10.39,0.06,6.08,146.8,2.5493,85.46,99.41
IT-Calabria,2015-03-17,38.91,16.59,10.97,12.6,9.87,6.9,4.62,136.5,1.4148,91.64,99.14
IT-Calabria,2015-03-18,38.91,16.59,9.92,11.33,8.65,3.45,2.83,75.9,1.8538,89.28,99.0
IT-Calabria,2015-03-19,38.91,16.59,11.32,15.57,7.18,0.17,2.22,309.2,3.9074,78.72,98.89
IT-Calabria,2015-03-20,38.91,16.59,8.57,12.4,5.4,0.0,5.2,18.2,5.3225,72.9,99.02
IT-Calabria,2015-03-21,38.91,16.59,8.46,12.16,4.77,0.0,4.27,115.0,4.3951,69.95,98.92
IT-Calabria,2015-03-22,38.91,16.59,11.67,13.35,9.56,1.38,5.68,152.7,2.291,90.08,98.06
