zone,date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
IT-Sardinia,2015-01-01,40.12,9.01,3.26,10.86,-0.95,0.09,4.93,19.5,2.4689,72.73,99.76
IT-Sardinia,2015-01-02,40.12,9.01,5.27,12.93,-0.11,0.0,3.21,357.5,2.4086,86.78,100.1
IT-Sardinia,2015-01-03,40.12,9.01,9.24,13.58,4.54,0.0,5.69,286.9,1.9325,93.31,99.94
IT-Sardinia,2015-01-04,40.12,9.01,10.85,14.15,5.7,0.0,7.43,309.1,2.1278,89.3,99.4
IT-Sardinia,2015-01-05,40.12,9.01,7.63,15.59,2.99,0.0,3.53,83.9,2.5848,67.11,99.74
IT-Sardinia,2015-01-06,40.12,9.01,8.09,13.6,2.95,0.0,2.59,259.1,2.1077,87.07,99.51
IT-Sardinia,2015-01-07,40.12,9.01,9.74,12.81,6.18,0.0,2.6,282.0,2.017,83.06,99.79
IT-Sardinia,2015-01-08,40.12,9.01,8.33,12.44,5.0,0.0,3.58,295.8,1.9608,85.12,100.32
IT-Sardinia,2015-01-09,40.12,9.01,9.99,13.28,5.46,0.0,6.05,300.1,1.9934,84.86,100.46
IT-Sardinia,2015-01-10,40.12,9.01,12.42,15.4,10.61,0.0,7.37,300.2,2.0532,92.69,99.77
IT-Sardinia,2015-01-11,40.12,9.01,10.94,15.06,7.07,0.0,5.93,299.5,2.2574,88.67,99.25
IT-Sardinia,2015-01-12,40.12,9.01,9.5,16.87,6.07,0.0,2.3,184.0,2.8411,77.5,99.97
IT-Sardinia,2015-01-13,40.12,9.01,7.67,13.5,1.65,0.0,2.52,154.4,2.4665,85.38,99.75
IT-Sardinia,2015-01-14,40.12,9.01,8.95,14.64,5.57,0.0,2.04,282.0,2.4958,88.98,99.37
IT-Sardinia,2015-01-15,40.12,9.01,9.85,16.51,6.68,0.0,2.25,176.7,2.856,78.04,99.17
IT-Sardinia,2015-01-16,40.12,9.01,10.95,18.33,6.18,0.02,4.18,177.1,2.1434,85.12,98.57
IT-Sardinia,2015-01-17,40.12,9.01,9.17,13.12,6.2,0.41,3.68,277.0,1.692,80.04,98.72
IT-Sardinia,2015-01-18,40.12,9.01,7.04,12.94,3.04,0.81,2.68,3.2,2.5438,72.11,98.59
IT-Sardinia,2015-01-19,40.12,9.01,6.0,12.17,0.63,3.78,3.38,118.7,1.9786,81.73,98.04
IT-Sardinia,2015-01-20,40.12,9.01,7.53,11.54,4.34,1.63,2.24,148.2,2.105,85.78,97.62
IT-Sardinia,2015-01-21,40.12,9.01,8.19,11.06,6.07,4.5,4.42,212.9,1.8816,86.46,97.77
IT-Sardinia,2015-01-22,40.12,9.01,7.05,10.37,3.63,3.31,2.16,157.6,0.973,88.31,97.53
IT-Sardinia,2015-01-23,40.12,9.01,7.58,10.47,3.61,3.03,5.6,332.9,1.4988,92.52,97.5
IT-Sardinia,2015-01-24,40.12,9.01,8.97,13.77,5.73,1.8,4.79,331.5,1.9946,83.0,97.96
IT-Sardinia,2015-01-25,40.12,9.01,7.01,12.3,2.64,0.63,5.36,21.8,1.661,71.42,98.04
IT-Sardinia,2015-01-26,40.12,9.01,5.51,10.83,1.4,1.5,5.45,27.4,1.4861,75.12,98.63
IT-Sardinia,2015-01-27,40.12,9.01,5.52,8.77,1.1,0.37,2.64,312.7,1.7621,88.08,98.52
IT-Sardinia,2015-01-28,40.12,9.01,5.4,11.98,1.13,0.08,3.51,12.3,2.7622,64.46,98.41
IT-Sardinia,2015-01-29,40.12,9.01,8.47,12.37,2.49,1.84,6.46,266.0,1.1566,86.17,97.74
IT-Sardinia,2015-01-30,40.12,9.01,9.43,12.08,4.82,3.39,8.55,276.0,1.1585,77.6,96.15
IT-Sardinia,2015-01-31,40.12,9.01,7.56,9.4,5.02,9.66,4.26,269.1,0.9209,92.81,95.75
IT-Sardinia,2015-02-01,40.12,9.01,6.17,8.68,4.3,3.52,7.7,293.1,1.8569,76.56,96.72
IT-Sardinia,2015-02-02,40.12,9.01,5.37,8.29,2.97,2.3,7.11,294.5,2.3647,71.42,97.53
IT-Sardinia,2015-02-03,40.12,9.01,6.38,9.38,3.06,6.15,5.69,211.2,1.8228,88.31,96.93
IT-Sardinia,2015-02-04,40.12,9.01,6.85,9.49,3.21,7.93,5.78,206.4,0.96,89.06,96.73
IT-Sardinia,2015-02-05,40.12,9.01,6.27,7.59,4.71,4.89,6.99,212.9,2.6203,87.62,96.38
IT-Sardinia,2015-02-06,40.12,9.01,6.11,7.88,4.24,4.3,6.05,271.4,1.8478,89.6,97.23
IT-Sardinia,2015-02-07,40.12,9.01,5.9,8.35,4.18,2.81,3.92,281.0,1.9838,89.82,98.26
IT-Sardinia,2015-02-08,40.12,9.01,5.51,8.64,2.3,2.44,4.23,312.2,1.9529,88.87,98.29
IT-Sardinia,2015-02-09,40.12,9.01,5.1,10.02,1.14,0.06,5.4,34.5,3.833,60.89,98.91
IT-Sardinia,2015-02-10,40.12,9.01,6.77,14.34,1.14,0.0,3.6,335.0,3.7759,82.85,99.29
IT-Sardinia,2015-02-11,40.12,9.01,8.82,18.13,1.88,0.0,2.3,105.8,3.8503,66.33,99.2
IT-Sardinia,2015-02-12,40.12,9.01,8.63,16.62,2.84,0.0,2.84,107.8,3.641,77.19,99.03
IT-Sardinia,2015-02-13,40.12,9.01,8.71,15.02,2.62,0.01,2.08,111.4,2.8078,72.03,99.0
IT-Sardinia,2015-02-14,40.12,9.01,7.0,11.45,2.39,0.71,2.82,182.6,2.5063,90.89,98.58
IT-Sardinia,2015-02-15,40.12,9.01,8.38,12.2,5.54,8.68,2.67,191.7,2.2946,91.4,98.0
IT-Sardinia,2015-02-16,40.12,9.01,7.64,10.39,4.43,8.21,3.05,233.6,2.1437,84.95,97.73
IT-Sardinia,2015-02-17,40.12,9.01,9.0,14.34,4.1,2.94,5.64,69.4,2.0438,84.25,98.62
IT-Sardinia,2015-02-18,40.12,9.01,9.28,14.77,4.35,0.11,5.49,73.9,1.7364,75.63,99.47
IT-Sardinia,2015-02-19,40.12,9.01,8.35,15.48,1.97,0.0,2.49,100.8,3.7728,69.22,99.82
IT-Sardinia,2015-02-20,40.12,9.01,8.16,14.39,3.72,0.12,2.61,159.2,3.1018,82.3,99.32
IT-Sardinia,2015-02-21,40.12,9.01,7.88,11.56,4.98,15.7,3.76,160.0,0.8986,94.1,97.62
IT-Sardinia,2015-02-22,40.12,9.01,7.41,8.44,6.04,2.26,4.04,331.8,2.586,93.21,96.69
IT-Sardinia,2015-02-23,40.12,9.01,8.76,11.87,5.17,0.23,6.24,301.7,3.7879,81.24,97.64
IT-Sardinia,2015-02-24,40.12,9.01,8.36,10.71,5.58,5.75,9.45,306.2,1.5607,79.79,97.4
IT-Sardinia,2015-02-25,40.12,9.01,7.81,11.57,5.23,6.93,7.54,342.6,1.1986,83.65,97.31
IT-Sardinia,2015-02-26,40.12,9.01,8.5,13.76,5.54,1.37,4.04,25.9,2.8999,81.92,98.02
IT-Sardinia,2015-02-27,40.12,9.01,8.34,13.13,4.66,0.13,2.47,332.0,3.1877,77.46,98.09
IT-Sardinia,2015-02-28,40.12,9.01,6.98,10.37,4.21,1.71,2.93,285.9,2.634,84.9,98.56
IT-Sardinia,2015-03-01,40.12,9.01,7.82,12.38,2.21,0.07,2.54,301.3,3.3538,82.06,98.97
IT-Sardinia,2015-03-02,40.12,9.01,11.33,16.87,7.64,0.07,4.31,259.1,3.0247,88.9,99.04
IT-Sardinia,2015-03-03,40.12,9.01,11.8,17.7,7.32,0.0,3.63,310.4,3.6497,76.63,99.37
IT-Sardinia,2015-03-04,40.12,9.01,12.22,20.03,6.8,5.07,3.65,315.7,1.4182,74.24,98.96
IT-Sardinia,2015-03-05,40.12,9.01,6.75,8.91,5.44,5.12,10.63,341.7,0.9677,72.36,98.16
IT-Sardinia,2015-03-06,40.12,9.01,7.7,11.46,4.33,0.0,8.47,18.4,2.994,52.66,99.2
IT-Sardinia,2015-03-07,40.12,9.01,6.97,14.08,2.22,0.01,6.09,24.0,4.6018,59.44,99.33
IT-Sardinia,2015-03-08,40.12,9.01,7.21,14.18,1.8,0.12,3.72,36.3,3.2916,68.99,98.98
IT-Sardinia,2015-03-09,40.12,9.01,7.27,13.24,3.14,0.0,2.02,52.2,2.268,72.81,99.12
IT-Sardinia,2015-03-10,40.12,9.01,7.37,14.94,1.71,0.0,3.05,328.3,4.9644,78.68,99.37
IT-Sardinia,2015-03-11,40.12,9.01,9.65,15.32,4.68,0.0,3.27,280.6,4.644,84.85,99.16
