zone,date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
IT-Sicily,2015-01-01,37.5,14.0,5.17,9.12,2.46,0.74,6.64,25.8,1.8451,79.57,97.14
IT-Sicily,2015-01-02,37.5,14.0,4.73,10.36,1.58,0.0,3.73,10.9,2.7595,77.5,97.92
IT-Sicily,2015-01-03,37.5,14.0,7.11,13.52,1.7,0.07,4.26,313.4,2.7502,90.99,98.05
IT-Sicily,2015-01-04,37.5,14.0,11.2,14.62,9.06,0.4,6.51,310.4,1.8338,90.06,97.22
IT-Sicily,2015-01-05,37.5,14.0,7.5,10.65,2.48,0.26,6.92,7.1,2.255,71.01,97.48
IT-Sicily,2015-01-06,37.5,14.0,6.02,12.71,1.62,0.0,4.61,326.9,2.4168,76.97,97.56
IT-Sicily,2015-01-07,37.5,14.0,7.75,13.5,4.2,0.0,1.98,279.7,3.0737,83.79,98.0
IT-Sicily,2015-01-08,37.5,14.0,8.51,13.85,5.07,0.02,2.45,306.8,2.4002,85.06,98.41
IT-Sicily,2015-01-09,37.5,14.0,8.39,12.82,4.68,0.0,3.61,302.9,2.6822,87.87,98.54
IT-Sicily,2015-01-10,37.5,14.0,10.64,15.81,6.85,0.0,4.38,315.3,2.8958,91.61,97.74
IT-Sicily,2015-01-11,37.5,14.0,11.99,17.49,9.38,0.0,4.74,300.0,3.1042,87.68,97.23
IT-Sicily,2015-01-12,37.5,14.0,9.94,14.35,4.55,0.0,5.37,355.9,2.8092,72.37,97.82
IT-Sicily,2015-01-13,37.5,14.0,8.28,15.3,3.59,0.0,2.28,350.3,3.3446,58.98,98.05
IT-Sicily,2015-01-14,37.5,14.0,9.25,16.28,5.16,0.0,2.41,289.9,3.006,74.42,97.51
IT-Sicily,2015-01-15,37.5,14.0,9.41,16.0,5.63,0.0,2.75,317.4,3.0427,82.82,97.47
IT-Sicily,2015-01-16,37.5,14.0,9.41,14.28,4.51,0.14,3.73,170.4,2.6045,93.91,97.27
IT-Sicily,2015-01-17,37.5,14.0,12.04,16.53,9.28,0.38,4.07,159.6,2.8462,91.16,97.08
IT-Sicily,2015-01-18,37.5,14.0,11.31,14.63,9.09,10.42,4.47,171.3,0.8203,93.92,96.65
IT-Sicily,2015-01-19,37.5,14.0,9.54,11.7,8.16,1.38,3.6,212.5,1.7873,89.52,96.4
IT-Sicily,2015-01-20,37.5,14.0,9.49,12.43,6.46,1.04,2.99,190.7,1.6877,87.97,96.09
IT-Sicily,2015-01-21,37.5,14.0,8.64,13.41,5.56,0.06,3.16,208.2,3.0804,85.57,96.38
IT-Sicily,2015-01-22,37.5,14.0,7.47,10.07,5.17,27.4,4.36,192.9,0.5266,94.84,95.85
IT-Sicily,2015-01-23,37.5,14.0,6.99,8.31,5.21,15.76,6.3,266.0,1.5768,92.82,95.28
IT-Sicily,2015-01-24,37.5,14.0,8.9,11.46,7.3,4.43,5.36,319.0,2.4768,87.82,95.64
IT-Sicily,2015-01-25,37.5,14.0,7.82,11.27,6.1,1.42,3.11,287.3,2.4737,83.37,96.07
IT-Sicily,2015-01-26,37.5,14.0,7.25,10.63,4.82,4.45,2.21,138.8,2.058,81.36,96.45
IT-Sicily,2015-01-27,37.5,14.0,5.98,8.73,3.92,1.02,3.43,331.1,2.6083,86.27,96.47
IT-Sicily,2015-01-28,37.5,14.0,4.77,8.19,2.61,2.4,5.39,325.6,1.5113,84.11,96.02
IT-Sicily,2015-01-29,37.5,14.0,7.01,10.63,4.37,2.44,5.69,307.3,2.9074,78.14,96.01
IT-Sicily,2015-01-30,37.5,14.0,9.49,11.04,8.1,13.84,8.64,237.9,1.4647,88.82,94.98
IT-Sicily,2015-01-31,37.5,14.0,10.42,13.11,7.28,31.53,6.92,237.5,1.3711,95.31,94.36
IT-Sicily,2015-02-01,37.5,14.0,7.6,9.68,4.93,8.1,7.62,268.9,1.9068,84.79,95.02
IT-Sicily,2015-02-02,37.5,14.0,5.54,7.83,3.95,4.88,7.87,276.4,3.096,80.1,95.78
IT-Sicily,2015-02-03,37.5,14.0,6.8,10.98,2.06,2.04,6.38,221.0,2.1631,82.63,95.9
IT-Sicily,2015-02-04,37.5,14.0,8.86,13.78,4.27,0.37,5.95,191.7,3.2839,85.47,95.71
IT-Sicily,2015-02-05,37.5,14.0,8.94,13.97,4.5,3.83,4.77,228.2,2.5584,87.43,95.29
IT-Sicily,2015-02-06,37.5,14.0,6.43,9.57,4.22,5.7,7.14,253.0,2.443,82.8,95.86
IT-Sicily,2015-02-07,37.5,14.0,5.2,8.86,2.32,1.8,4.53,260.1,3.073,84.84,96.66
IT-Sicily,2015-02-08,37.5,14.0,5.52,8.23,2.75,6.56,5.37,280.2,2.309,91.4,96.29
IT-Sicily,2015-02-09,37.5,14.0,3.47,5.81,1.15,4.42,9.88,356.8,2.4746,75.46,96.19
IT-Sicily,2015-02-10,37.5,14.0,6.01,11.04,2.63,0.25,6.82,355.7,3.1404,75.79,96.99
IT-Sicily,2015-02-11,37.5,14.0,7.28,13.27,3.38,0.0,3.56,1.7,3.4294,82.55,97.23
IT-Sicily,2015-02-12,37.5,14.0,7.7,12.89,3.2,0.02,2.84,104.3,3.1978,84.04,97.2
IT-Sicily,2015-02-13,37.5,14.0,8.01,11.68,4.66,0.57,2.91,131.3,3.0398,84.3,97.23
IT-Sicily,2015-02-14,37.5,14.0,7.39,8.73,6.2,1.83,3.39,145.3,1.9428,92.65,96.9
IT-Sicily,2015-02-15,37.5,14.0,8.47,10.73,6.02,1.6,2.89,210.6,2.6321,89.85,96.61
IT-Sicily,2015-02-16,37.5,14.0,8.92,11.67,7.25,10.02,4.32,165.4,2.1247,90.11,96.43
IT-Sicily,2015-02-17,37.5,14.0,9.11,10.78,7.1,24.21,4.55,99.9,0.7682,92.75,96.57
IT-Sicily,2015-02-18,37.5,14.0,8.53,10.48,7.17,28.24,6.64,94.1,1.9555,92.91,97.38
IT-Sicily,2015-02-19,37.5,14.0,7.99,12.27,4.52,0.73,2.64,71.3,2.8637,75.58,97.91
IT-Sicily,2015-02-20,37.5,14.0,7.01,12.24,2.29,0.02,1.87,216.9,4.2485,76.52,97.58
IT-Sicily,2015-02-21,37.5,14.0,8.81,10.83,5.72,32.18,6.79,163.1,0.9077,91.3,96.35
IT-Sicily,2015-02-22,37.5,14.0,9.4,11.0,8.13,23.05,6.06,198.5,1.6762,94.16,94.83
IT-Sicily,2015-02-23,37.5,14.0,8.83,10.43,7.3,7.12,4.96,328.0,1.9114,91.44,95.43
IT-Sicily,2015-02-24,37.5,14.0,7.83,11.74,5.23,8.79,7.06,269.0,1.349,88.45,95.68
IT-Sicily,2015-02-25,37.5,14.0,6.43,8.18,5.16,18.68,7.67,236.6,2.2171,88.43,95.47
IT-Sicily,2015-02-26,37.5,14.0,7.89,9.32,6.05,26.08,5.12,125.5,1.8182,93.71,95.56
IT-Sicily,2015-02-27,37.5,14.0,7.76,11.39,4.92,1.5,4.3,338.4,3.324,87.0,96.0
IT-Sicily,2015-02-28,37.5,14.0,8.18,13.19,4.77,0.75,2.33,314.0,4.4952,82.88,96.62
IT-Sicily,2015-03-01,37.5,14.0,7.9,14.12,3.61,0.26,2.63,333.1,4.5312,82.54,97.05
IT-Sicily,2015-03-02,37.5,14.0,8.36,12.75,3.62,0.04,3.72,271.0,4.8684,90.1,97.32
IT-Sicily,2015-03-03,37.5,14.0,12.52,18.43,8.72,0.04,4.2,306.8,5.131,83.11,97.43
IT-Sicily,2015-03-04,37.5,14.0,12.9,18.03,9.57,0.38,2.76,197.1,3.8513,79.56,97.31
IT-Sicily,2015-03-05,37.5,14.0,8.58,11.53,5.39,11.32,8.51,255.3,2.591,85.85,96.07
IT-Sicily,2015-03-06,37.5,14.0,6.43,7.75,4.41,3.97,7.26,337.8,3.3269,89.83,96.29
IT-Sicily,2015-03-07,37.5,14.0,6.82,10.05,4.99,0.21,5.87,1.0,3.3017,78.4,96.79
IT-Sicily,2015-03-08,37.5,14.0,7.43,11.65,3.65,1.35,2.2,39.3,2.947,77.21,96.68
IT-Sicily,2015-03-09,37.5,14.0,7.8,11.3,4.14,2.05,3.56,34.7,3.0312,85.69,96.91
IT-Sicily,2015-03-10,37.5,14.0,8.3,11.94,5.5,0.71,3.48,6.8,3.5071,84.11,97.25
IT-Sicily,2015-03-11,37.5,14.0,8.46,13.24,5.07,0.15,3.7,321.4,3.3139,85.28,97.2
IT-Sicily,2015-03-12,37.5,14.0,9.07,14.55,5.48,0.37,5.21,321.1,4.1477,83.96,96.64
IT-Sicily,2015-03-13,37.5,14.0,8.1,13.18,4.33,0.17,4.74,343.4,4.4232,76.36,96.82
IT-Sicily,2015-03-14,37.5,14.0,8.25,14.18,2.85,0.0,2.3,266.0,4.9334,79.92,97.15
IT-Sicily,2015-03-15,37.5,14.0,9.27,13.51,5.15,0.06,6.42,131.9,4.1621,86.21,97.22
IT-Sicily,2015-03-16,37.5,14.0,10.47,12.73,8.53,17.22,10.78,134.2,0.9946,91.27,97.15
IT-Sicily,2015-03-17,37.5,14.0,10.12,12.73,5.99,22.59,5.83,159.1,1.2084,92.55,96.99
IT-Sicily,2015-03-18,37.5,14.0,10.23,16.22,4.86,0.19,2.3,43.2,3.9322,80.69,97.13
IT-Sicily,2015-03-19,37.5,14.0,11.47,16.0,7.59,0.29,2.47,156.3,3.7848,85.05,97.19
IT-Sicily,2015-03-20,37.5,14.0,11.37,15.97,7.25,0.77,3.26,123.0,5.2178,83.6,97.19
IT-Sicily,2015-03-21,37.5,14.0,8.67,12.54,6.11,0.01,6.55,121.7,4.1398,78.69,96.93
IT-Sicily,2015-03-22,37.5,14.0,11.81,17.15,7.59,1.44,4.89,160.5,3.0031,90.47,96.11
IT-Sicily,2015-03-23,37.5,14.0,11.81,16.7,7.85,0.03,3.27,281.2,5.3693,84.13,96.45
IT-Sicily,2015-03-24,37.5,14.0,10.58,13.25,6.66,9.71,7.61,117.7,1.6226,90.72,96.0
IT-Sicily,2015-03-25,37.5,14.0,12.74,15.91,9.74,7.71,6.51,188.6,3.7502,89.27,95.36
IT-Sicily,2015-03-26,37.5,14.0,12.18,17.62,8.3,4.5,3.67,135.8,3.0298,82.11,95.65
IT-Sicily,2015-03-27,37.5,14.0,10.08,12.86,8.01,3.69,5.32,316.8,2.4713,90.09,95.67
IT-Sicily,2015-03-28,37.5,14.0,10.85,14.83,7.16,1.12,6.18,349.4,2.5085,86.69,95.97
IT-Sicily,2015-03-29,37.5,14.0,10.66,16.87,7.1,0.02,3.87,325.9,6.011,81.53,96.49
IT-Sicily,2015-03-30,37.5,14.0,11.58,15.76,7.34,0.05,6.92,296.3,4.6541,86.81,96.4
IT-Sicily,2015-03-31,37.5,14.0,13.0,19.3,8.96,0.01,4.3,306.8,6.4606,85.45,96.68
IT-Sicily,2015-04-01,37.5,14.0,12.07,17.67,7.69,0.0,6.3,315.0,6.7423,82.98,96.61
IT-Sicily,2015-04-02,37.5,14.0,11.55,17.77,7.38,0.0,3.19,285.4,5.4521,81.44,96.88
IT-Sicily,2015-04-03,37.5,14.0,11.58,17.26,7.26,0.0,3.7,336.0,5.8003,80.47,96.63
IT-Sicily,2015-04-04,37.5,14.0,11.31,13.44,9.75,0.02,5.5,178.7,3.1762,88.48,96.51
IT-Sicily,2015-04-05,37.5,14.0,11.51,15.37,7.51,0.07,5.81,262.8,5.9918,82.0,95.98
IT-Sicily,2015-04-06,37.5,14.0,9.48,13.33,6.33,0.72,6.18,315.6,5.1084,79.82,96.38
IT-Sicily,2015-04-07,37.5,14.0,7.9,12.03,4.2,0.92,6.04,5.7,5.2514,68.75,97.06
IT-Sicily,2015-04-08,37.5,14.0,7.51,11.23,4.38,2.76,7.06,357.7,4.399,72.44,97.42
IT-Sicily,2015-04-09,37.5,14.0,8.53,14.72,3.72,0.01,4.69,14.4,5.3537,71.8,97.7
IT-Sicily,2015-04-10,37.5,14.0,10.0,16.51,4.09,0.0,2.85,211.3,7.0102,74.68,98.02
IT-Sicily,2015-04-11,37.5,14.0,10.03,16.07,4.16,0.0,3.13,207.2,7.1614,83.96,97.89
IT-Sicily,2015-04-12,37.5,14.0,12.39,18.84,6.61,0.0,1.19,341.5,6.8995,72.79,97.79
IT-Sicily,2015-04-13,37.5,14.0,12.95,19.16,7.46,0.0,1.94,16.5,6.445,74.77,97.77
