node_id,lon,lat,sslm_m
1,11.35374,46.49450,269
2,12.30261,46.20162,405
3,14.37734,41.98134,335
4,11.13160,43.47238,87
5,9.92094,45.94656,613
6,12.30465,46.54515,1265
7,11.95026,44.78520,6
8,9.06082,45.46789,129
9,9.09129,45.53781,151
10,10.20506,42.73767,96
11,16.02219,39.97515,320
12,8.85765,40.01091,64
13,10.78940,44.30374,512
14,13.39213,46.34799,606
15,14.35803,42.27994,185
16,9.96442,45.43595,90
17,14.21928,41.01207,22
18,10.58425,43.32893,100
19,13.60407,41.52096,107
20,10.55553,43.52082,83
21,9.20475,45.74730,358
22,8.98500,45.38385,113
23,11.11646,43.79922,35
24,10.76921,43.55219,139
25,14.78482,41.17684,241
26,11.03247,46.10714,648
27,12.89499,46.14159,149
28,13.94831,42.72137,22
29,10.80448,43.20348,301
30,13.93099,42.63924,52
31,10.61461,43.37106,334
32,13.10596,46.14908,191
33,14.77114,40.69222,131
34,14.68167,36.88057,584
35,10.22600,44.73658,129
36,8.86183,40.04952,213
37,14.42118,41.82026,846
38,14.76059,41.36234,714
39,9.23606,45.51298,131
40,11.00849,44.23662,446
41,11.01144,45.82392,175
42,12.19768,42.99472,224
43,10.47535,43.50295,77
44,14.82862,42.03563,48
45,8.73556,45.84098,332
46,13.27693,42.30352,829
47,16.48881,38.68209,244
48,9.45096,45.20782,68
49,8.53598,45.59847,230
50,13.91050,42.61738,67
51,10.66214,43.31596,57
52,11.89240,44.07969,522
53,14.68690,42.16050,39
54,16.03753,39.97243,330
55,9.98894,44.48645,902
56,11.39633,43.25179,171
57,12.46558,43.93501,406
58,16.71175,39.26239,952
59,12.99742,41.74129,227
60,10.64912,43.91569,188
61,10.81961,43.20817,402
62,11.08069,45.84227,751
63,11.97899,43.89898,705
64,14.08015,42.58862,25
65,10.49185,43.54416,29
66,10.50518,46.85312,1439
67,10.68640,43.18303,386
68,13.76182,42.50550,560
69,11.70021,45.95339,631
70,14.70747,41.55390,508
71,11.67053,46.71739,587
72,15.30559,38.20179,15
73,13.60543,37.66822,477
74,9.43041,45.94472,1039
75,8.48020,45.32513,116
76,9.39106,44.44818,1019
77,12.08592,43.62126,503
78,10.24802,44.72017,150
79,11.17117,44.14839,677
80,11.62260,45.45230,24
81,14.71755,41.11420,329
82,15.43608,41.48983,92
83,8.38030,46.42537,2351
84,15.74200,38.23697,625
85,14.43372,42.19318,176
86,9.14198,45.25764,86
87,14.88693,37.53894,109
88,14.34402,42.02993,187
89,8.04280,45.55714,401
90,14.36909,42.24436,219
91,7.51279,44.36543,591
92,11.54859,45.28046,11
93,10.35494,46.05124,441
94,9.81022,45.87961,827
95,7.43992,44.97160,273
96,12.03267,43.86130,844
97,12.20049,43.74835,553
98,14.42249,42.26288,179
99,12.35582,41.91367,40
100,11.48871,45.56583,39
101,15.72162,40.60100,763
102,14.74989,41.56999,544
103,18.29288,40.13996,92
104,10.63078,43.31522,265
105,12.58470,42.04463,33
106,10.74174,43.38356,378
107,14.58556,41.82423,418
108,11.00211,45.83888,158
109,14.88492,41.83936,202
110,15.38296,41.52028,116
111,8.52165,40.72834,160
112,11.60082,42.37597,41
113,10.61596,43.70910,12
114,16.66226,40.32217,40
115,11.99875,45.34380,5
116,10.25277,42.76095,32
117,11.34034,46.26196,962
118,10.97063,44.31912,537
119,12.54829,46.07919,586
120,9.48551,45.60291,192
121,15.76778,40.12610,720
122,13.22612,46.19056,225
123,16.28282,40.52018,283
124,8.80432,45.59150,213
125,9.19726,39.94868,937
126,12.70304,46.05830,141
127,18.32486,40.19866,79
128,12.79672,45.86908,13
129,10.65659,43.49420,121
130,11.49674,45.18395,6
131,11.65361,45.33929,70
132,9.19352,45.67910,245
133,7.08848,45.67179,1479
134,11.23624,43.20395,190
135,12.14762,45.03673,-4
136,11.21927,45.63635,770
137,10.21938,45.75788,895
138,13.31800,43.33580,208
139,14.45195,42.24739,179
140,12.88521,42.00543,281
141,7.69492,45.79681,1482
142,13.99227,37.29773,168
143,10.65762,43.54744,125
144,11.91331,43.94871,263
145,7.70215,45.75545,1670
146,16.47171,40.73057,238
147,15.31627,40.83879,710
148,15.18112,37.17696,23
149,14.07871,41.87734,1272
150,12.35167,41.90331,34
151,15.91694,40.68854,1027
152,9.05722,45.46803,127
153,10.08124,44.04517,15
154,10.65576,43.51887,67
155,12.63509,42.24307,73
156,12.54339,41.72325,93
157,11.72788,45.91953,196
158,12.58012,46.07469,170
159,13.77537,45.61068,0
160,10.43887,43.68800,2
161,13.77596,42.61428,129
162,10.68307,46.43584,2658
163,12.74164,46.20382,577
164,14.75101,41.57418,575
165,13.75394,37.96802,6
166,14.88590,37.53996,110
167,13.17358,42.89238,895
168,11.76978,44.05541,720
169,8.19887,46.20857,872
170,16.28509,40.52030,277
171,9.45191,45.65744,242
172,10.64720,46.64163,1346
173,15.91708,40.68880,1027
174,12.98325,46.17583,247
175,11.00247,45.82325,152
176,13.05667,38.00594,192
177,14.29885,42.38572,41
178,13.48326,45.88363,23
179,9.87723,46.26899,971
180,12.05902,45.41769,8
181,12.71841,45.61778,-1
182,9.70234,45.09342,47
183,13.00751,45.96233,39
184,13.60699,37.67181,508
185,14.64477,42.19013,3
186,10.31492,43.58290,8
187,11.62651,44.09245,344
188,13.46586,46.10926,150
189,10.84451,43.43521,246
190,11.94359,43.92918,494
191,9.14757,45.55189,154
192,8.91977,45.91377,338
193,10.36923,43.74619,0
194,10.73374,44.11468,850
195,8.88199,44.43862,34
196,11.69941,44.15884,478
197,10.31270,43.56897,0
198,14.32131,42.16493,216
199,13.85207,42.67463,304
200,10.88136,45.88279,70
201,11.37386,44.46274,84
202,8.85604,45.93806,794
203,7.42884,45.08759,334
204,11.91733,45.39017,6
205,13.36792,37.92957,529
206,14.23089,41.03585,15
