category_id,voce_id,n,lunghezza_tot_m,lunghezza_media_m,sslm_media_m
acqua,acqua_calda,177,58530.9,330.7,323.3
acqua,acqua_dolce,4248,2668523.3,628.2,500.5
acqua,acque_reflue,90,24349.0,270.5,82.7
acqua,impianto_depurazione,4356,0.0,,223.6
acqua,impianto_trattamento_acque,1832,0.0,,570.7
acqua,stazione_pompaggio_acque,148,0.0,,131.2
acqua,stazione_pompaggio_altro,776,0.0,,176.3
acqua,stazione_pompaggio_reflui,10,0.0,,107.3
acqua,vapore,73,28265.7,387.2,474.0
apparecchiature_manovra,compensatore_altro,27,0.0,,145.6
apparecchiature_manovra,conversione_dc,25,0.0,,183.9
apparecchiature_manovra,current_transformer,5,0.0,,999.0
apparecchiature_manovra,interruttore,107,0.0,,501.6
apparecchiature_manovra,organo_manovra_generico,4466,0.0,,176.7
apparecchiature_manovra,reattanza_shunt,1,0.0,,982.0
apparecchiature_manovra,sezionatore,154,0.0,,548.0
apparecchiature_manovra,trasformatore,5874,0.0,,172.4
centrali_elettriche,batterie,11,0.0,,188.1
centrali_elettriche,biomassa,81,0.0,,202.1
centrali_elettriche,carbone,7,0.0,,91.1
centrali_elettriche,eolico,97,0.0,,748.9
centrali_elettriche,gas_petrolio,142,0.0,,141.0
centrali_elettriche,geotermico,24,0.0,,430.7
centrali_elettriche,idroelettrico,632,0.0,,524.5
centrali_elettriche,other_unknown,276,0.0,,285.7
centrali_elettriche,solare,5751,0.0,,168.1
centrali_elettriche,termovalorizzatore,24,0.0,,155.2
gas,gas_dist_high,23,374929.8,16301.3,23.8
gas,gas_dist_low,2917,4560636.4,1563.5,404.2
gas,gas_tx_dn700,7,167261.9,23894.6,594.0
gas,gas_tx_lt_dn300,18,86135.8,4785.3,636.0
generatori,generatore_altro,1714,0.0,,342.5
generatori,pannello_solare,81052,0.0,,141.9
generatori,pannello_solare_nodo,4287,0.0,,272.4
generatori,turbina_eolica,9500,0.0,,632.7
linee_elettriche,ge_10kv,4904,4870128.6,993.1,395.3
linee_elettriche,ge_132kv,11503,41804054.4,3634.2,204.0
linee_elettriche,ge_220kv,2015,9394041.2,4662.1,217.0
linee_elettriche,ge_25kv,74,192034.4,2595.1,283.9
linee_elettriche,ge_310kv,3859,11056407.0,2865.1,239.7
linee_elettriche,ge_52kv,695,2740109.5,3942.6,177.9
linee_elettriche,ge_550kv,3,10988.2,3662.7,453.0
linee_elettriche,hvdc,37,1426205.6,38546.1,394.1
linee_elettriche,lt_10kv,41186,31908357.6,774.7,305.5
linee_elettriche,trazione,9,55799.1,6199.9,523.6
other_pipelines,altro_pipeline,2527,988593.9,391.2,229.1
other_pipelines,oxygen,1,1227.7,1227.7,130.0
petrolio,carburante,24,86460.7,3602.5,43.4
petrolio,infrastrutture_petrolifere,2446,0.0,,166.6
petrolio,petrolio_oil,153,375208.3,2452.3,114.0
petrolio,prodotti_intermedi,1,113.5,113.5,11.0
supporti_linee,palo_elettrico,329733,0.0,,324.4
supporti_linee,palo_transizione,2837,0.0,,286.5
supporti_linee,torre_traliccio,285604,2931.5,29.9,311.9
supporti_linee,traliccio_transizione,922,0.0,,220.7
telecomunicazioni,armadio,6994,0.0,,235.2
telecomunicazioni,cavo,93,13678966.5,147085.7,268.8
telecomunicazioni,centrale_telefonica,502,0.0,,179.8
telecomunicazioni,datacenter,73,0.0,,132.4
telecomunicazioni,torre_palo_telecom,42574,0.0,,298.1
