country,year,iso_code,population,gdp,metric,value
Italy,2005,ITA,58519696.0,2029243417217.0,biofuel_cons_change_pct,-30.07
Italy,2006,ITA,58754434.0,2086553648584.0,biofuel_cons_change_pct,11.5
Italy,2007,ITA,59108723.0,2134371774096.0,biofuel_cons_change_pct,-9.417
Italy,2008,ITA,59561687.0,2129113318512.0,biofuel_cons_change_pct,297.113
Italy,2009,ITA,59904016.0,2029023036275.0,biofuel_cons_change_pct,57.772
Italy,2010,ITA,60164212.0,2080545936781.0,biofuel_cons_change_pct,23.837
Italy,2011,ITA,60367882.0,2110883320816.0,biofuel_cons_change_pct,-1.628
Italy,2012,ITA,60531522.0,2047959835066.0,biofuel_cons_change_pct,-1.535
Italy,2013,ITA,60653864.0,2010255414011.0,biofuel_cons_change_pct,-8.041
Italy,2014,ITA,60664169.0,2010164047423.0,biofuel_cons_change_pct,-13.848
Italy,2015,ITA,60575314.0,2025809415322.0,biofuel_cons_change_pct,9.232
Italy,2016,ITA,60478103.0,2052012434345.0,biofuel_cons_change_pct,-11.053
Italy,2017,ITA,60390317.0,2086237040647.0,biofuel_cons_change_pct,1.999
Italy,2018,ITA,60277496.0,2105551772855.0,biofuel_cons_change_pct,17.873
Italy,2019,ITA,60130136.0,2115725732767.0,biofuel_cons_change_pct,2.156
Italy,2020,ITA,59912763.0,1925751927111.0,biofuel_cons_change_pct,-0.68
Italy,2021,ITA,59729353.0,2060299944789.0,biofuel_cons_change_pct,11.818
Italy,2022,ITA,59619106.0,2136009300257.0,biofuel_cons_change_pct,-2.018
Italy,2023,ITA,59499452.0,,biofuel_cons_change_pct,-4.834
Italy,2024,ITA,59342870.0,,biofuel_cons_change_pct,-11.341
Italy,1966,ITA,51919068.0,662465744179.0,biofuel_cons_change_twh,0.0
Italy,1967,ITA,52338335.0,709741860656.0,biofuel_cons_change_twh,0.0
Italy,1968,ITA,52712156.0,768994548476.0,biofuel_cons_change_twh,0.0
Italy,1969,ITA,53060141.0,812977616000.0,biofuel_cons_change_twh,0.0
Italy,1970,ITA,53390231.0,831317785406.0,biofuel_cons_change_twh,0.0
Italy,1971,ITA,53707794.0,846968256500.0,biofuel_cons_change_twh,0.0
Italy,1972,ITA,54067562.0,871751794687.0,biofuel_cons_change_twh,0.0
Italy,1973,ITA,54450571.0,928806501562.0,biofuel_cons_change_twh,0.0
Italy,1974,ITA,54821114.0,972368721304.0,biofuel_cons_change_twh,0.0
Italy,1975,ITA,55166046.0,951557550058.0,biofuel_cons_change_twh,0.0
Italy,1976,ITA,55459415.0,1013301897480.0,biofuel_cons_change_twh,0.0
Italy,1977,ITA,55714552.0,1042645918097.0,biofuel_cons_change_twh,0.0
Italy,1978,ITA,55938969.0,1081497979335.0,biofuel_cons_change_twh,0.0
Italy,1979,ITA,56132382.0,1142855339257.0,biofuel_cons_change_twh,0.0
Italy,1980,ITA,56412086.0,1183161666878.0,biofuel_cons_change_twh,0.0
Italy,1981,ITA,56646752.0,1188868855925.0,biofuel_cons_change_twh,0.0
Italy,1982,ITA,56719178.0,1194202254410.0,biofuel_cons_change_twh,0.0
Italy,1983,ITA,56766114.0,1208770101503.0,biofuel_cons_change_twh,0.0
Italy,1984,ITA,56810355.0,1239849227203.0,biofuel_cons_change_twh,0.0
Italy,1985,ITA,56855499.0,1274693666324.0,biofuel_cons_change_twh,0.0
Italy,1986,ITA,56875982.0,1310891922914.0,biofuel_cons_change_twh,0.0
Italy,1987,ITA,56891919.0,1351528447250.0,biofuel_cons_change_twh,0.0
Italy,1988,ITA,56928748.0,1403770038566.0,biofuel_cons_change_twh,0.0
Italy,1989,ITA,56976750.0,1444197021007.0,biofuel_cons_change_twh,0.0
Italy,1990,ITA,57031457.0,1475485283347.0,biofuel_cons_change_twh,0.0
Italy,1991,ITA,57075394.0,1509175668697.0,biofuel_cons_change_twh,0.0
Italy,1992,ITA,57124993.0,1531924051790.0,biofuel_cons_change_twh,0.0
Italy,1993,ITA,57170762.0,1529550155063.0,biofuel_cons_change_twh,0.0
Italy,1994,ITA,57420136.0,1573414707872.0,biofuel_cons_change_twh,0.0
Italy,1995,ITA,57403342.0,1630199200435.0,biofuel_cons_change_twh,0.0
Italy,1996,ITA,57162098.0,1662793011167.0,biofuel_cons_change_twh,0.0
Italy,1997,ITA,57189272.0,1705188033729.0,biofuel_cons_change_twh,0.0
Italy,1998,ITA,57215190.0,1744897501196.0,biofuel_cons_change_twh,0.0
Italy,1999,ITA,57240796.0,1784529161518.0,biofuel_cons_change_twh,0.0
Italy,2000,ITA,57272200.0,1863751547560.0,biofuel_cons_change_twh,0.0
Italy,2001,ITA,57305760.0,1910272015654.0,biofuel_cons_change_twh,0.0
Italy,2002,ITA,57420636.0,1929301903714.0,biofuel_cons_change_twh,0.0
Italy,2003,ITA,57739697.0,1947667703883.0,biofuel_cons_change_twh,0.0
Italy,2004,ITA,58176736.0,1994293720592.0,biofuel_cons_change_twh,2.939
Italy,2005,ITA,58519696.0,2029243417217.0,biofuel_cons_change_twh,-0.884
Italy,2006,ITA,58754434.0,2086553648584.0,biofuel_cons_change_twh,0.236
Italy,2007,ITA,59108723.0,2134371774096.0,biofuel_cons_change_twh,-0.216
Italy,2008,ITA,59561687.0,2129113318512.0,biofuel_cons_change_twh,6.168
