Entity,Year,biomass_nox,brown_coal_nox,coal_coke_nox,diesel_oil_nox,hard_coal_nox,heavy_oil_nox,light_oil_nox,natural_gas_nox,process_nox,biomass_so2,brown_coal_so2,coal_coke_so2,diesel_oil_so2,hard_coal_so2,heavy_oil_so2,light_oil_so2,natural_gas_so2,process_so2,biomass_co,brown_coal_co,coal_coke_co,diesel_oil_co,hard_coal_co,heavy_oil_co,light_oil_co,natural_gas_co,process_co,biomass_oc,brown_coal_oc,coal_coke_oc,diesel_oil_oc,hard_coal_oc,heavy_oil_oc,light_oil_oc,natural_gas_oc,process_oc,biomass_nmvoc,brown_coal_nmvoc,coal_coke_nmvoc,diesel_oil_nmvoc,hard_coal_nmvoc,heavy_oil_nmvoc,light_oil_nmvoc,natural_gas_nmvoc,process_nmvoc,biomass_bc,brown_coal_bc,coal_coke_bc,diesel_oil_bc,hard_coal_bc,heavy_oil_bc,light_oil_bc,natural_gas_bc,process_bc,biomass_nh3,brown_coal_nh3,coal_coke_nh3,diesel_oil_nh3,hard_coal_nh3,heavy_oil_nh3,light_oil_nh3,natural_gas_nh3,process_nh3
Italy,1750,4735.48045869481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.651772798241,3828.54116828664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912446.93843503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36203.7691433473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158219.224175503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32327.9280503553,3599.70530438774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.9733243522252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65070.08182969059
Italy,1751,4748.70507561867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.957468566511,3835.14705395108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915458.84460345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36254.5656259721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158435.717347204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32439.403664322,3605.02893751881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.291003726406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65294.4614222068
Italy,1752,4761.90835490653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.263164334781,3841.70760641666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918446.12713992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36304.8532144346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158649.948729489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32550.879278288696,3610.30384801222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.594964738086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65518.8410147231
Italy,1753,4775.09029655839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.5688601030501,3848.22282568338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1921408.78604445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36354.631908734606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158861.918322359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32662.3548922554,3615.53003586795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.88520738726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65743.2206072391
Italy,1754,4788.2509005742695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.87455587132,3854.69271175125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924346.82131703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36403.901708872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159071.626125812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32773.8305062222,3620.707501086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.161731673926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65967.6001997554
Italy,1755,4801.39016695415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.180251639591,3861.11726462028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1927260.2329577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36452.6626148474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159279.072139851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32885.306120189,3625.83624366642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.424537598096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66191.9797922716
Italy,1756,4814.50809569803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.485947407861,3867.49648429045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1930149.02096642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36500.9146266603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159484.25636447602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32996.781734155695,3630.91626360914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968.67362515976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66416.35938478769
Italy,1757,4827.604686805919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.7916431761301,3873.83037076175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933013.1853432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36548.6577443106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159687.17879968302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33108.2573481225,3635.9475609142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.908994358917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66640.73897730399
Italy,1758,4840.67994027781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0973389444,3880.11892403421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935852.72608805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36595.8919677986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159887.839445476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33219.732962089205,3640.93013558159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.130645195573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66865.1185698201
Italy,1759,4853.733856113709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.40303471267,3886.36214410782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938667.64320096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36642.6172971244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160086.238301853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33331.2085760559,3645.86398761133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.338577669728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67089.4981623363
Italy,1760,4866.76643431362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.70873048094,3892.56003098258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1941457.93668193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36688.8337322876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160282.375368814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33442.6841900228,3650.74911700339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.532791781376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67313.8777548525
Italy,1761,4880.336705427961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.059450241218,3899.1592237448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944446.33807025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36738.7496065766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160494.634911528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33558.0037906779,3656.00431004758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.82495132792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67545.99457469661
Italy,1762,4893.88490312581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.410170001499,3905.71152009446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947409.26673589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36788.139038629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160704.554672089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33673.323391333295,3661.20910036318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.1029194649868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67778.1113945413
Italy,1763,4907.41102740706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.760889761777,3912.21692003148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950346.72267884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36837.0020284441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160912.13465049502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33788.642991988505,3666.36348795014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.36669619256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68010.22821438551
Italy,1764,4920.91507827178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.111609522055,3918.6754235559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953258.70589909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36885.3385760224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161117.374846747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33903.9625926436,3671.46747280847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.6162815106492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68242.3450342296
