Entity,Year,biomass_nox_per_capita,brown_coal_nox_per_capita,coal_coke_nox_per_capita,diesel_oil_nox_per_capita,hard_coal_nox_per_capita,heavy_oil_nox_per_capita,light_oil_nox_per_capita,natural_gas_nox_per_capita,process_nox_per_capita,biomass_so2_per_capita,brown_coal_so2_per_capita,coal_coke_so2_per_capita,diesel_oil_so2_per_capita,hard_coal_so2_per_capita,heavy_oil_so2_per_capita,light_oil_so2_per_capita,natural_gas_so2_per_capita,process_so2_per_capita,biomass_co_per_capita,brown_coal_co_per_capita,coal_coke_co_per_capita,diesel_oil_co_per_capita,hard_coal_co_per_capita,heavy_oil_co_per_capita,light_oil_co_per_capita,natural_gas_co_per_capita,process_co_per_capita,biomass_oc_per_capita,brown_coal_oc_per_capita,coal_coke_oc_per_capita,diesel_oil_oc_per_capita,hard_coal_oc_per_capita,heavy_oil_oc_per_capita,light_oil_oc_per_capita,natural_gas_oc_per_capita,process_oc_per_capita,biomass_nmvoc_per_capita,brown_coal_nmvoc_per_capita,coal_coke_nmvoc_per_capita,diesel_oil_nmvoc_per_capita,hard_coal_nmvoc_per_capita,heavy_oil_nmvoc_per_capita,light_oil_nmvoc_per_capita,natural_gas_nmvoc_per_capita,process_nmvoc_per_capita,biomass_bc_per_capita,brown_coal_bc_per_capita,coal_coke_bc_per_capita,diesel_oil_bc_per_capita,hard_coal_bc_per_capita,heavy_oil_bc_per_capita,light_oil_bc_per_capita,natural_gas_bc_per_capita,process_bc_per_capita,biomass_nh3_per_capita,brown_coal_nh3_per_capita,coal_coke_nh3_per_capita,diesel_oil_nh3_per_capita,hard_coal_nh3_per_capita,heavy_oil_nh3_per_capita,light_oil_nh3_per_capita,natural_gas_nh3_per_capita,process_nh3_per_capita
Italy,1750,0.2974702928120321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237858976951903,0.240498777749585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.13483229968634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2742245273543014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.938911025926098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030754494084855,0.2261239171554687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603657894215864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08752954721641
Italy,1760,0.2955255475675732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023785800823767,0.2363686341068503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.89150508067408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.227862755422965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.732855970307217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030746223550746,0.2216851057875805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591160096234935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.087512900175793
Italy,1770,0.2935815158396048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237857604783385,0.2322390760051783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64847096466896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1815065453184164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.526825232895824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0307427790030004,0.217246846846941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0578663775205906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.087505966944463
Italy,1780,0.2916366078910853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237856481313246,0.2281088414025137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.40510116843907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1351440291609616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.320766979454149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0307331872185523,0.2128079587699645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566165782724387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.087486660473674
Italy,1790,0.2896917606373861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237855392602928,0.2239786785381518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.16176880432496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0887822561267533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.114712004151794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0307238922009887,0.2083691430665379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0553667989193051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.087467951339189
Italy,1800,0.28562904246291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236103637279547,0.2182304136448999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.11679014026736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0273881834596263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84308897773321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015768034570221,0.2024293899498247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537187162472526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.057364602978864
Italy,1801,0.2855616261151081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236930359217709,0.2179163163877734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.94160062738592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0236765208870344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.826518700472601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016654348502908,0.2020776867399375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536182495422434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.068554418020859
Italy,1802,0.2854907362377672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237754965138274,0.2175993405007589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.76496821392372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019937436233447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.809828487395215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.017517314448359,0.2017232616796379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0535170544328386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.079705287803622
Italy,1803,0.2854163761027186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238577427064029,0.2172794976135619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.586899342231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016171065134928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.793018943356666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018356908138518,0.2013661276548197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534151345866511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090816836450104
Italy,1804,0.2853385788373009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02393977420238,0.2169568220691591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.40741170011478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01237775394242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77609159217043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0191733165094314,0.2010063185977106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053312499253717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1018891166852285
