Entity,Year,Births outside of marriage (% of all births)
Italy,1960,2.4
Italy,1961,2.4
Italy,1962,2.2
Italy,1963,2.2
Italy,1964,2.0
Italy,1965,2.0
Italy,1966,2.0
Italy,1967,2.0
Italy,1968,2.0
Italy,1969,2.0
Italy,1970,2.2
Italy,1971,2.3
Italy,1972,2.5
Italy,1973,2.5
Italy,1974,2.6
Italy,1975,2.6
Italy,1976,3.1
Italy,1977,3.5
Italy,1978,3.9
Italy,1979,3.9
Italy,1980,4.3
Italy,1981,4.4
Italy,1982,4.7
Italy,1983,4.9
Italy,1984,5.1
Italy,1985,5.4
Italy,1986,5.6
Italy,1987,5.8
Italy,1988,5.8
Italy,1989,6.1
Italy,1990,6.5
Italy,1991,6.7
Italy,1992,6.7
Italy,1993,7.4
Italy,1994,7.8
Italy,1995,8.1
Italy,1996,8.3
Italy,1997,7.0
Italy,1998,8.7
Italy,1999,9.2
Italy,2000,9.7
Italy,2001,9.9
Italy,2002,10.9
Italy,2003,13.0
Italy,2005,15.2
Italy,2006,16.2
Italy,2007,17.7
Italy,2008,18.9
Italy,2009,19.8
Italy,2010,21.5
Italy,2011,23.4
Italy,2012,24.5
Italy,2013,26.9
Italy,2014,28.8
