Entity,Year,Manuscript production per century,Production of printed books per half century,Annual per capita consumption of books
Italy,500,10194.0,,
Italy,600,4478.0,,
Italy,700,6536.0,,
Italy,800,20307.0,,
Italy,900,15215.0,,
Italy,1000,38768.0,,
Italy,1100,95207.0,,
Italy,1200,253013.0,,
Italy,1300,879364.0,,
Italy,1400,1423668.0,,
Italy,1475,,4532000.0,0.0068
Italy,1525,,16719000.0,0.0213
Italy,1575,,41641000.0,0.051
Italy,1625,,35067000.0,0.0421
Italy,1675,,43293000.0,0.0563
Italy,1725,,37930000.0,0.0484
Italy,1775,,75500000.0,0.0865
