Entity,Year,GDP per capita (OWID based on World Bank),GDP (OWID based on World Bank),Population (OWID based on World Bank),CO2 emissions (OWID based on World Bank),CO2 emissions per capita (OWID based on World Bank),Methane emissions (OWID based on World Bank),Methane emissions per capita (OWID based on World Bank),Nitrous oxide emissions (OWID based on World Bank),Nitrous oxide per capita (OWID based on World Bank),Energy use per capita (OWID based on World Bank),Energy use (OWID based on World Bank)
Italy,1990,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100
Italy,1991,101.0,102.0,100,102.0,101.0,98.0,98.0,101.0,101.0,102,102
Italy,1992,102.0,102.0,100,101.0,101.0,98.0,98.0,99.0,99.0,102,102
Italy,1993,101.0,102.0,100,99.0,98.0,97.0,97.0,98.0,97.0,101,101
Italy,1994,103.0,104.0,100,98.0,97.0,99.0,98.0,92.0,92.0,100,100
Italy,1995,106.0,107.0,100,103.0,103.0,99.0,98.0,94.0,94.0,108,109
Italy,1996,108.0,108.0,100,102.0,102.0,101.0,100.0,95.0,94.0,108,108
Italy,1997,110.0,110.0,100,103.0,103.0,100.0,100.0,96.0,96.0,110,110
Italy,1998,111.0,112.0,100,105.0,105.0,99.0,99.0,97.0,97.0,113,113
Italy,1999,113.0,114.0,100,106.0,105.0,98.0,98.0,97.0,97.0,114,115
Italy,2000,117.0,118.0,100,108.0,107.0,99.0,99.0,96.0,96.0,117,117
Italy,2001,119.0,120.0,100,108.0,107.0,95.0,94.0,96.0,95.0,117,117
Italy,2002,119.0,120.0,101,108.0,108.0,93.0,92.0,94.0,94.0,118,118
Italy,2003,119.0,120.0,101,112.0,111.0,90.0,89.0,91.0,90.0,123,124
Italy,2004,120.0,122.0,102,114.0,112.0,87.0,86.0,92.0,91.0,123,125
Italy,2005,121.0,123.0,102,113.0,111.0,85.0,83.0,91.0,89.0,124,127
Italy,2006,123.0,126.0,103,112.0,110.0,82.0,80.0,75.0,73.0,123,126
Italy,2007,124.0,128.0,103,111.0,108.0,81.0,79.0,72.0,69.0,122,126
Italy,2008,122.0,126.0,104,107.0,103.0,79.0,76.0,68.0,66.0,119,124
Italy,2009,115.0,119.0,104,96.0,92.0,79.0,76.0,65.0,62.0,111,116
Italy,2010,116.0,121.0,105,97.0,93.0,80.0,76.0,62.0,59.0,113,119
Italy,2011,117.0,122.0,105,95.0,91.0,77.0,74.0,63.0,60.0,109,115
Italy,2012,113.0,119.0,105,88.0,84.0,75.0,71.0,64.0,61.0,105,110
Italy,2013,110.0,117.0,106,83.0,78.0,,,,,100,106
Italy,2014,109.0,117.0,107,,,,,,,93,100
Italy,2015,110.0,118.0,107,,,,,,,96,103
